,date,value,name_B08VP1Y66G
0,2021-02-09,18028.0,Shower Caddies
1,2021-02-10,18028.0,Shower Caddies
2,2021-02-11,18028.0,Shower Caddies
3,2021-02-12,18028.0,Shower Caddies
4,2021-02-13,15828.0,Shower Caddies
5,2021-02-14,15828.0,Shower Caddies
6,2021-02-15,15828.0,Shower Caddies
7,2021-02-16,15828.0,Shower Caddies
8,2021-02-17,15008.0,Shower Caddies
9,2021-02-18,15008.0,Shower Caddies
10,2021-02-19,15008.0,Shower Caddies
11,2021-02-20,15008.0,Shower Caddies
12,2021-02-21,19011.0,Shower Caddies
13,2021-02-22,18143.0,Shower Caddies
14,2021-02-23,18143.0,Shower Caddies
15,2021-02-24,15807.0,Shower Caddies
16,2021-02-25,15807.0,Shower Caddies
17,2021-02-26,15807.0,Shower Caddies
18,2021-02-27,15807.0,Shower Caddies
19,2021-02-28,19221.0,Shower Caddies
20,2021-03-01,24213.0,Shower Caddies
21,2021-03-02,23035.0,Shower Caddies
22,2021-03-03,23572.0,Shower Caddies
23,2021-03-04,23572.0,Shower Caddies
24,2021-03-05,23572.0,Shower Caddies
25,2021-03-06,23572.0,Shower Caddies
26,2021-03-07,18383.0,Shower Caddies
27,2021-03-08,19248.0,Shower Caddies
28,2021-03-09,19248.0,Shower Caddies
29,2021-03-10,19248.0,Shower Caddies
30,2021-03-11,19248.0,Shower Caddies
31,2021-03-12,19248.0,Shower Caddies
32,2021-03-13,19248.0,Shower Caddies
33,2021-03-14,19248.0,Shower Caddies
34,2021-03-15,22797.0,Shower Caddies
35,2021-03-16,26235.0,Shower Caddies
36,2021-03-17,23442.0,Shower Caddies
37,2021-03-18,23442.0,Shower Caddies
38,2021-03-19,23442.0,Shower Caddies
39,2021-03-20,23442.0,Shower Caddies
40,2021-03-21,23442.0,Shower Caddies
41,2021-03-22,24019.0,Shower Caddies
42,2021-03-23,24019.0,Shower Caddies
43,2021-03-24,24019.0,Shower Caddies
44,2021-03-25,16051.0,Shower Caddies
45,2021-03-26,16051.0,Shower Caddies
46,2021-03-27,16051.0,Shower Caddies
47,2021-03-28,16051.0,Shower Caddies
48,2021-03-29,15317.0,Shower Caddies
49,2021-03-30,15317.0,Shower Caddies
50,2021-03-31,12203.0,Shower Caddies
51,2021-04-01,10790.0,Shower Caddies
52,2021-04-02,10718.0,Shower Caddies
53,2021-04-03,12299.0,Shower Caddies
54,2021-04-04,11511.0,Shower Caddies
55,2021-04-05,11511.0,Shower Caddies
56,2021-04-06,11511.0,Shower Caddies
57,2021-04-07,11220.0,Shower Caddies
58,2021-04-08,11220.0,Shower Caddies
59,2021-04-09,11220.0,Shower Caddies
60,2021-04-10,14202.0,Shower Caddies
61,2021-04-11,14202.0,Shower Caddies
62,2021-04-12,12833.0,Shower Caddies
63,2021-04-13,12833.0,Shower Caddies
64,2021-04-14,19807.0,Shower Caddies
65,2021-04-15,21422.0,Shower Caddies
66,2021-04-16,16883.0,Shower Caddies
67,2021-04-17,16883.0,Shower Caddies
68,2021-04-18,16883.0,Shower Caddies
69,2021-04-19,16883.0,Shower Caddies
70,2021-04-20,17687.0,Shower Caddies
71,2021-04-21,22173.0,Shower Caddies
72,2021-04-22,20359.0,Shower Caddies
73,2021-04-23,20359.0,Shower Caddies
74,2021-04-24,20967.0,Shower Caddies
75,2021-04-25,20967.0,Shower Caddies
76,2021-04-26,19884.0,Shower Caddies
77,2021-04-27,21898.0,Shower Caddies
78,2021-04-28,18622.0,Shower Caddies
79,2021-04-29,18622.0,Shower Caddies
80,2021-04-30,18622.0,Shower Caddies
81,2021-05-01,16952.0,Shower Caddies
82,2021-05-02,16952.0,Shower Caddies
83,2021-05-03,21868.0,Shower Caddies
84,2021-05-04,21868.0,Shower Caddies
85,2021-05-05,21868.0,Shower Caddies
86,2021-05-06,21868.0,Shower Caddies
87,2021-05-07,21868.0,Shower Caddies
88,2021-05-08,18146.0,Shower Caddies
89,2021-05-09,18146.0,Shower Caddies
90,2021-05-10,16290.0,Shower Caddies
91,2021-05-11,16290.0,Shower Caddies
92,2021-05-12,15735.0,Shower Caddies
93,2021-05-13,12918.0,Shower Caddies
94,2021-05-14,16173.0,Shower Caddies
95,2021-05-15,16173.0,Shower Caddies
96,2021-05-16,16173.0,Shower Caddies
