,date,value,name_B07NVH7D8X
0,2020-05-26,18002.0,Envelope Mailers
1,2020-05-27,18002.0,Envelope Mailers
2,2020-05-28,18002.0,Envelope Mailers
3,2020-05-29,18002.0,Envelope Mailers
4,2020-05-30,18002.0,Envelope Mailers
5,2020-05-31,18002.0,Envelope Mailers
6,2020-06-01,30894.0,Envelope Mailers
7,2020-06-02,30894.0,Envelope Mailers
8,2020-06-03,20791.0,Envelope Mailers
9,2020-06-04,20791.0,Envelope Mailers
10,2020-06-05,20791.0,Envelope Mailers
11,2020-06-06,20791.0,Envelope Mailers
12,2020-06-07,20791.0,Envelope Mailers
13,2020-06-08,16188.0,Envelope Mailers
14,2020-06-09,16188.0,Envelope Mailers
15,2020-06-10,16188.0,Envelope Mailers
16,2020-06-11,16188.0,Envelope Mailers
17,2020-06-12,16188.0,Envelope Mailers
18,2020-06-13,16188.0,Envelope Mailers
19,2020-06-14,16188.0,Envelope Mailers
20,2020-06-15,16188.0,Envelope Mailers
21,2020-06-16,21533.0,Envelope Mailers
22,2020-06-17,21533.0,Envelope Mailers
23,2020-06-18,31423.0,Envelope Mailers
24,2020-06-19,31423.0,Envelope Mailers
25,2020-06-20,31423.0,Envelope Mailers
26,2020-06-21,31423.0,Envelope Mailers
27,2020-06-22,31423.0,Envelope Mailers
28,2020-06-23,31423.0,Envelope Mailers
29,2020-06-24,16221.0,Envelope Mailers
30,2020-06-25,19845.0,Envelope Mailers
31,2020-06-26,19845.0,Envelope Mailers
32,2020-06-27,19845.0,Envelope Mailers
33,2020-06-28,19845.0,Envelope Mailers
34,2020-06-29,19845.0,Envelope Mailers
35,2020-06-30,21069.0,Envelope Mailers
36,2020-07-01,23326.0,Envelope Mailers
37,2020-07-02,36349.0,Envelope Mailers
38,2020-07-03,23451.0,Envelope Mailers
39,2020-07-04,22224.0,Envelope Mailers
40,2020-07-05,22224.0,Envelope Mailers
41,2020-07-06,50452.0,Envelope Mailers
42,2020-07-07,34525.0,Envelope Mailers
43,2020-07-08,34525.0,Envelope Mailers
44,2020-07-09,34525.0,Envelope Mailers
45,2020-07-10,34525.0,Envelope Mailers
46,2020-07-11,34525.0,Envelope Mailers
47,2020-07-12,34525.0,Envelope Mailers
48,2020-07-13,62591.0,Envelope Mailers
49,2020-07-14,42040.0,Envelope Mailers
50,2020-07-15,42040.0,Envelope Mailers
51,2020-07-16,32049.0,Envelope Mailers
52,2020-07-17,32049.0,Envelope Mailers
53,2020-07-18,32049.0,Envelope Mailers
54,2020-07-19,32049.0,Envelope Mailers
55,2020-07-20,32049.0,Envelope Mailers
56,2020-07-21,26750.0,Envelope Mailers
57,2020-07-22,28411.0,Envelope Mailers
58,2020-07-23,28411.0,Envelope Mailers
59,2020-07-24,28411.0,Envelope Mailers
60,2020-07-25,28411.0,Envelope Mailers
61,2020-07-26,28411.0,Envelope Mailers
62,2020-07-27,25312.0,Envelope Mailers
63,2020-07-28,25312.0,Envelope Mailers
64,2020-07-29,46201.0,Envelope Mailers
65,2020-07-30,40456.0,Envelope Mailers
66,2020-07-31,40233.0,Envelope Mailers
67,2020-08-01,980.0,Envelope Mailers
68,2020-08-02,980.0,Envelope Mailers
69,2020-08-03,831.0,Envelope Mailers
70,2020-08-04,831.0,Envelope Mailers
71,2020-08-05,833.0,Envelope Mailers
72,2020-08-06,833.0,Envelope Mailers
73,2020-08-07,1073.0,Envelope Mailers
74,2020-08-08,1073.0,Envelope Mailers
75,2020-08-09,1073.0,Envelope Mailers
76,2020-08-10,964.0,Envelope Mailers
77,2020-08-11,1004.0,Envelope Mailers
78,2020-08-12,1049.0,Envelope Mailers
79,2020-08-13,956.0,Envelope Mailers
80,2020-08-14,956.0,Envelope Mailers
81,2020-08-15,1061.0,Envelope Mailers
82,2020-08-16,1061.0,Envelope Mailers
83,2020-08-17,1061.0,Envelope Mailers
84,2020-08-18,1282.0,Envelope Mailers
85,2020-08-19,1282.0,Envelope Mailers
86,2020-08-20,1282.0,Envelope Mailers
87,2020-08-21,1557.0,Envelope Mailers
88,2020-08-22,1557.0,Envelope Mailers
89,2020-08-23,1413.0,Envelope Mailers
90,2020-08-24,1413.0,Envelope Mailers
91,2020-08-25,1549.0,Envelope Mailers
92,2020-08-26,1477.0,Envelope Mailers
