,date,value,name_B08F39MQW8
0,2020-08-03,2824.0,Laser & Inkjet Printer Labels
1,2020-08-04,2824.0,Laser & Inkjet Printer Labels
2,2020-08-05,2824.0,Laser & Inkjet Printer Labels
3,2020-08-06,1631.0,Laser & Inkjet Printer Labels
4,2020-08-07,1631.0,Laser & Inkjet Printer Labels
5,2020-08-08,1902.0,Laser & Inkjet Printer Labels
6,2020-08-09,2623.0,Laser & Inkjet Printer Labels
7,2020-08-10,2623.0,Laser & Inkjet Printer Labels
8,2020-08-11,2664.0,Laser & Inkjet Printer Labels
9,2020-08-12,2919.0,Laser & Inkjet Printer Labels
10,2020-08-13,2540.0,Laser & Inkjet Printer Labels
11,2020-08-14,2540.0,Laser & Inkjet Printer Labels
12,2020-08-15,2540.0,Laser & Inkjet Printer Labels
13,2020-08-16,2858.0,Laser & Inkjet Printer Labels
14,2020-08-17,2827.0,Laser & Inkjet Printer Labels
15,2020-08-18,2827.0,Laser & Inkjet Printer Labels
16,2020-08-19,2107.0,Laser & Inkjet Printer Labels
17,2020-08-20,1865.0,Laser & Inkjet Printer Labels
18,2020-08-21,1865.0,Laser & Inkjet Printer Labels
19,2020-08-22,1865.0,Laser & Inkjet Printer Labels
20,2020-08-23,2364.0,Laser & Inkjet Printer Labels
21,2020-08-24,2364.0,Laser & Inkjet Printer Labels
22,2020-08-25,2248.0,Laser & Inkjet Printer Labels
23,2020-08-26,2188.0,Laser & Inkjet Printer Labels
24,2020-08-27,1967.0,Laser & Inkjet Printer Labels
25,2020-08-28,1967.0,Laser & Inkjet Printer Labels
26,2020-08-29,1708.0,Laser & Inkjet Printer Labels
27,2020-08-30,1708.0,Laser & Inkjet Printer Labels
28,2020-08-31,1872.0,Laser & Inkjet Printer Labels
29,2020-09-01,1760.0,Laser & Inkjet Printer Labels
30,2020-09-02,1839.0,Laser & Inkjet Printer Labels
31,2020-09-03,1520.0,Laser & Inkjet Printer Labels
32,2020-09-04,1520.0,Laser & Inkjet Printer Labels
33,2020-09-05,1520.0,Laser & Inkjet Printer Labels
34,2020-09-06,2045.0,Laser & Inkjet Printer Labels
35,2020-09-07,2432.0,Laser & Inkjet Printer Labels
36,2020-09-08,2612.0,Laser & Inkjet Printer Labels
37,2020-09-09,1662.0,Laser & Inkjet Printer Labels
38,2020-09-10,1702.0,Laser & Inkjet Printer Labels
39,2020-09-11,1346.0,Laser & Inkjet Printer Labels
40,2020-09-12,1614.0,Laser & Inkjet Printer Labels
41,2020-09-13,1614.0,Laser & Inkjet Printer Labels
42,2020-09-14,1943.0,Laser & Inkjet Printer Labels
43,2020-09-15,1653.0,Laser & Inkjet Printer Labels
44,2020-09-16,1308.0,Laser & Inkjet Printer Labels
45,2020-09-17,1094.0,Laser & Inkjet Printer Labels
46,2020-09-18,1094.0,Laser & Inkjet Printer Labels
47,2020-09-19,1452.0,Laser & Inkjet Printer Labels
48,2020-09-20,1598.0,Laser & Inkjet Printer Labels
49,2020-09-21,1879.0,Laser & Inkjet Printer Labels
50,2020-09-22,1253.0,Laser & Inkjet Printer Labels
51,2020-09-23,1205.0,Laser & Inkjet Printer Labels
52,2020-09-24,1642.0,Laser & Inkjet Printer Labels
53,2020-09-25,1232.0,Laser & Inkjet Printer Labels
54,2020-09-26,1191.0,Laser & Inkjet Printer Labels
55,2020-09-27,1947.0,Laser & Inkjet Printer Labels
56,2020-09-28,1837.0,Laser & Inkjet Printer Labels
57,2020-09-29,1605.0,Laser & Inkjet Printer Labels
58,2020-09-30,1318.0,Laser & Inkjet Printer Labels
59,2020-10-01,1193.0,Laser & Inkjet Printer Labels
60,2020-10-02,1303.0,Laser & Inkjet Printer Labels
61,2020-10-03,1303.0,Laser & Inkjet Printer Labels
62,2020-10-04,1303.0,Laser & Inkjet Printer Labels
63,2020-10-05,1777.0,Laser & Inkjet Printer Labels
64,2020-10-06,1657.0,Laser & Inkjet Printer Labels
65,2020-10-07,1657.0,Laser & Inkjet Printer Labels
66,2020-10-08,1657.0,Laser & Inkjet Printer Labels
67,2020-10-09,1095.0,Laser & Inkjet Printer Labels
68,2020-10-10,1095.0,Laser & Inkjet Printer Labels
69,2020-10-11,1095.0,Laser & Inkjet Printer Labels
70,2020-10-12,1789.0,Laser & Inkjet Printer Labels
71,2020-10-13,1247.0,Laser & Inkjet Printer Labels
72,2020-10-14,1345.0,Laser & Inkjet Printer Labels
73,2020-10-15,1345.0,Laser & Inkjet Printer Labels
74,2020-10-16,1345.0,Laser & Inkjet Printer Labels
75,2020-10-17,1551.0,Laser & Inkjet Printer Labels
76,2020-10-18,1551.0,Laser & Inkjet Printer Labels
77,2020-10-19,1551.0,Laser & Inkjet Printer Labels
78,2020-10-20,1226.0,Laser & Inkjet Printer Labels
79,2020-10-21,1126.0,Laser & Inkjet Printer Labels
80,2020-10-22,1304.0,Laser & Inkjet Printer Labels
81,2020-10-23,1442.0,Laser & Inkjet Printer Labels
82,2020-10-24,1422.0,Laser & Inkjet Printer Labels
83,2020-10-25,1422.0,Laser & Inkjet Printer Labels
84,2020-10-26,1422.0,Laser & Inkjet Printer Labels
85,2020-10-27,1643.0,Laser & Inkjet Printer Labels
86,2020-10-28,1077.0,Laser & Inkjet Printer Labels
