,date,value,name_B07SHSHGD4
0,2020-05-22,1343.0,Vest Harnesses
1,2020-05-23,1299.0,Vest Harnesses
2,2020-05-24,1299.0,Vest Harnesses
3,2020-05-25,1299.0,Vest Harnesses
4,2020-05-26,1798.0,Vest Harnesses
5,2020-05-27,1484.0,Vest Harnesses
6,2020-05-28,1857.0,Vest Harnesses
7,2020-05-29,1959.0,Vest Harnesses
8,2020-05-30,1959.0,Vest Harnesses
9,2020-05-31,2333.0,Vest Harnesses
10,2020-06-01,2333.0,Vest Harnesses
11,2020-06-02,2299.0,Vest Harnesses
12,2020-06-03,2299.0,Vest Harnesses
13,2020-06-04,2628.0,Vest Harnesses
14,2020-06-05,2628.0,Vest Harnesses
15,2020-06-06,2580.0,Vest Harnesses
16,2020-06-07,2580.0,Vest Harnesses
17,2020-06-08,2580.0,Vest Harnesses
18,2020-06-09,2530.0,Vest Harnesses
19,2020-06-10,2580.0,Vest Harnesses
20,2020-06-11,3349.0,Vest Harnesses
21,2020-06-12,3349.0,Vest Harnesses
22,2020-06-13,3191.0,Vest Harnesses
23,2020-06-14,3191.0,Vest Harnesses
24,2020-06-15,2589.0,Vest Harnesses
25,2020-06-16,2742.0,Vest Harnesses
26,2020-06-17,2742.0,Vest Harnesses
27,2020-06-18,3195.0,Vest Harnesses
28,2020-06-19,3195.0,Vest Harnesses
29,2020-06-20,2962.0,Vest Harnesses
30,2020-06-21,2962.0,Vest Harnesses
31,2020-06-22,3466.0,Vest Harnesses
32,2020-06-23,3466.0,Vest Harnesses
33,2020-06-24,3466.0,Vest Harnesses
34,2020-06-25,3328.0,Vest Harnesses
35,2020-06-26,3328.0,Vest Harnesses
36,2020-06-27,3328.0,Vest Harnesses
37,2020-06-28,3328.0,Vest Harnesses
38,2020-06-29,5269.0,Vest Harnesses
39,2020-06-30,4568.0,Vest Harnesses
40,2020-07-01,4386.0,Vest Harnesses
41,2020-07-02,4386.0,Vest Harnesses
42,2020-07-03,3004.0,Vest Harnesses
43,2020-07-04,3004.0,Vest Harnesses
44,2020-07-05,3004.0,Vest Harnesses
45,2020-07-06,3160.0,Vest Harnesses
46,2020-07-07,3415.0,Vest Harnesses
47,2020-07-08,2962.0,Vest Harnesses
48,2020-07-09,2962.0,Vest Harnesses
49,2020-07-10,2419.0,Vest Harnesses
50,2020-07-11,2065.0,Vest Harnesses
51,2020-07-12,2440.0,Vest Harnesses
52,2020-07-13,2478.0,Vest Harnesses
53,2020-07-14,2478.0,Vest Harnesses
54,2020-07-15,2478.0,Vest Harnesses
55,2020-07-16,2478.0,Vest Harnesses
56,2020-07-17,1732.0,Vest Harnesses
57,2020-07-18,1732.0,Vest Harnesses
58,2020-07-19,1732.0,Vest Harnesses
59,2020-07-20,2042.0,Vest Harnesses
60,2020-07-21,2042.0,Vest Harnesses
61,2020-07-22,2042.0,Vest Harnesses
62,2020-07-23,2013.0,Vest Harnesses
63,2020-07-24,2013.0,Vest Harnesses
64,2020-07-25,2013.0,Vest Harnesses
65,2020-07-26,2102.0,Vest Harnesses
66,2020-07-27,2014.0,Vest Harnesses
67,2020-07-28,2254.0,Vest Harnesses
68,2020-07-29,2124.0,Vest Harnesses
69,2020-07-30,2124.0,Vest Harnesses
70,2020-07-31,2240.0,Vest Harnesses
71,2020-08-01,2240.0,Vest Harnesses
72,2020-08-02,2086.0,Vest Harnesses
73,2020-08-03,2086.0,Vest Harnesses
74,2020-08-04,2021.0,Vest Harnesses
75,2020-08-05,2021.0,Vest Harnesses
76,2020-08-06,2021.0,Vest Harnesses
77,2020-08-07,2146.0,Vest Harnesses
78,2020-08-08,2146.0,Vest Harnesses
79,2020-08-09,2149.0,Vest Harnesses
80,2020-08-10,1939.0,Vest Harnesses
81,2020-08-11,1939.0,Vest Harnesses
82,2020-08-12,1939.0,Vest Harnesses
83,2020-08-13,2024.0,Vest Harnesses
84,2020-08-14,1877.0,Vest Harnesses
85,2020-08-15,1877.0,Vest Harnesses
86,2020-08-16,2197.0,Vest Harnesses
87,2020-08-17,2197.0,Vest Harnesses
88,2020-08-18,2197.0,Vest Harnesses
89,2020-08-19,1980.0,Vest Harnesses
90,2020-08-20,1980.0,Vest Harnesses
91,2020-08-21,2064.0,Vest Harnesses
92,2020-08-22,2064.0,Vest Harnesses
93,2020-08-23,2313.0,Vest Harnesses
94,2020-08-24,2313.0,Vest Harnesses
95,2020-08-25,2281.0,Vest Harnesses
96,2020-08-26,2281.0,Vest Harnesses
97,2020-08-27,2281.0,Vest Harnesses
98,2020-08-28,1974.0,Vest Harnesses
99,2020-08-29,1974.0,Vest Harnesses
100,2020-08-30,1974.0,Vest Harnesses
101,2020-08-31,2299.0,Vest Harnesses
102,2020-09-01,2041.0,Vest Harnesses
103,2020-09-02,2161.0,Vest Harnesses
104,2020-09-03,1872.0,Vest Harnesses
105,2020-09-04,1893.0,Vest Harnesses
106,2020-09-05,1893.0,Vest Harnesses
107,2020-09-06,1893.0,Vest Harnesses
108,2020-09-07,1778.0,Vest Harnesses
109,2020-09-08,1778.0,Vest Harnesses
110,2020-09-09,1587.0,Vest Harnesses
111,2020-09-10,1797.0,Vest Harnesses
112,2020-09-11,1797.0,Vest Harnesses
113,2020-09-12,1797.0,Vest Harnesses
114,2020-09-13,1878.0,Vest Harnesses
115,2020-09-14,1911.0,Vest Harnesses
116,2020-09-15,1911.0,Vest Harnesses
117,2020-09-16,3940.0,Vest Harnesses
118,2020-09-17,3258.0,Vest Harnesses
119,2020-09-18,1603.0,Vest Harnesses
120,2020-09-19,1424.0,Vest Harnesses
121,2020-09-20,1691.0,Vest Harnesses
122,2020-09-21,1691.0,Vest Harnesses
123,2020-09-22,2027.0,Vest Harnesses
124,2020-09-23,1901.0,Vest Harnesses
125,2020-09-24,1901.0,Vest Harnesses
126,2020-09-25,1804.0,Vest Harnesses
127,2020-09-26,1804.0,Vest Harnesses
128,2020-09-27,1804.0,Vest Harnesses
129,2020-09-28,1753.0,Vest Harnesses
130,2020-09-29,1753.0,Vest Harnesses
131,2020-09-30,1753.0,Vest Harnesses
132,2020-10-01,1612.0,Vest Harnesses
133,2020-10-02,1612.0,Vest Harnesses
134,2020-10-03,1612.0,Vest Harnesses
135,2020-10-04,2080.0,Vest Harnesses
136,2020-10-05,2080.0,Vest Harnesses
137,2020-10-06,2080.0,Vest Harnesses
138,2020-10-07,2260.0,Vest Harnesses
139,2020-10-08,2346.0,Vest Harnesses
140,2020-10-09,2346.0,Vest Harnesses
141,2020-10-10,2346.0,Vest Harnesses
142,2020-10-11,2347.0,Vest Harnesses
143,2020-10-12,2386.0,Vest Harnesses
144,2020-10-13,2386.0,Vest Harnesses
145,2020-10-14,2157.0,Vest Harnesses
146,2020-10-15,2157.0,Vest Harnesses
147,2020-10-16,2288.0,Vest Harnesses
148,2020-10-17,2431.0,Vest Harnesses
149,2020-10-18,2431.0,Vest Harnesses
150,2020-10-19,2102.0,Vest Harnesses
151,2020-10-20,2102.0,Vest Harnesses
152,2020-10-21,2102.0,Vest Harnesses
153,2020-10-22,2472.0,Vest Harnesses
154,2020-10-23,2472.0,Vest Harnesses
155,2020-10-24,2472.0,Vest Harnesses
156,2020-10-25,2227.0,Vest Harnesses
157,2020-10-26,2432.0,Vest Harnesses
158,2020-10-27,1513.0,Vest Harnesses
159,2020-10-28,1513.0,Vest Harnesses
160,2020-10-29,1509.0,Vest Harnesses
161,2020-10-30,1321.0,Vest Harnesses
162,2020-10-31,1457.0,Vest Harnesses
163,2020-11-01,1457.0,Vest Harnesses
164,2020-11-02,1359.0,Vest Harnesses
165,2020-11-03,2129.0,Vest Harnesses
166,2020-11-04,2129.0,Vest Harnesses
167,2020-11-05,1925.0,Vest Harnesses
168,2020-11-06,2269.0,Vest Harnesses
169,2020-11-07,2269.0,Vest Harnesses
170,2020-11-08,2269.0,Vest Harnesses
171,2020-11-09,2252.0,Vest Harnesses
172,2020-11-10,2010.0,Vest Harnesses
173,2020-11-11,2135.0,Vest Harnesses
174,2020-11-12,2136.0,Vest Harnesses
175,2020-11-13,2128.0,Vest Harnesses
176,2020-11-14,2202.0,Vest Harnesses
177,2020-11-15,2202.0,Vest Harnesses
178,2020-11-16,2202.0,Vest Harnesses
179,2020-11-17,2202.0,Vest Harnesses
180,2020-11-18,2202.0,Vest Harnesses
181,2020-11-19,2292.0,Vest Harnesses
182,2020-11-20,2394.0,Vest Harnesses
183,2020-11-21,2394.0,Vest Harnesses
184,2020-11-22,2193.0,Vest Harnesses
185,2020-11-23,2099.0,Vest Harnesses
186,2020-11-24,2069.0,Vest Harnesses
187,2020-11-25,1704.0,Vest Harnesses
188,2020-11-26,1704.0,Vest Harnesses
189,2020-11-27,2189.0,Vest Harnesses
190,2020-11-28,688.0,Vest Harnesses
191,2020-11-29,688.0,Vest Harnesses
192,2020-11-30,1770.0,Vest Harnesses
193,2020-12-01,1770.0,Vest Harnesses
194,2020-12-02,2123.0,Vest Harnesses
195,2020-12-03,1931.0,Vest Harnesses
196,2020-12-04,2357.0,Vest Harnesses
197,2020-12-05,2357.0,Vest Harnesses
198,2020-12-06,2357.0,Vest Harnesses
199,2020-12-07,2698.0,Vest Harnesses
200,2020-12-08,2698.0,Vest Harnesses
201,2020-12-09,2370.0,Vest Harnesses
202,2020-12-10,2319.0,Vest Harnesses
203,2020-12-11,2324.0,Vest Harnesses
204,2020-12-12,2385.0,Vest Harnesses
205,2020-12-13,2711.0,Vest Harnesses
206,2020-12-14,2765.0,Vest Harnesses
207,2020-12-15,2209.0,Vest Harnesses
208,2020-12-16,2476.0,Vest Harnesses
209,2020-12-17,2629.0,Vest Harnesses
210,2020-12-18,2757.0,Vest Harnesses
211,2020-12-19,2269.0,Vest Harnesses
212,2020-12-20,2414.0,Vest Harnesses
213,2020-12-21,2341.0,Vest Harnesses
214,2020-12-22,2341.0,Vest Harnesses
215,2020-12-23,2341.0,Vest Harnesses
216,2020-12-24,2341.0,Vest Harnesses
217,2020-12-25,2341.0,Vest Harnesses
218,2020-12-26,2341.0,Vest Harnesses
219,2020-12-27,2341.0,Vest Harnesses
220,2020-12-28,2341.0,Vest Harnesses
221,2020-12-29,2341.0,Vest Harnesses
222,2020-12-30,2341.0,Vest Harnesses
223,2020-12-31,2341.0,Vest Harnesses
224,2021-01-01,2341.0,Vest Harnesses
225,2021-01-02,2341.0,Vest Harnesses
226,2021-01-03,2341.0,Vest Harnesses
227,2021-01-04,2341.0,Vest Harnesses
228,2021-01-05,2341.0,Vest Harnesses
229,2021-01-06,2341.0,Vest Harnesses
230,2021-01-07,2341.0,Vest Harnesses
231,2021-01-08,2341.0,Vest Harnesses
232,2021-01-09,2341.0,Vest Harnesses
233,2021-01-10,2341.0,Vest Harnesses
234,2021-01-11,2341.0,Vest Harnesses
235,2021-01-12,2341.0,Vest Harnesses
236,2021-01-13,2341.0,Vest Harnesses
237,2021-01-14,2341.0,Vest Harnesses
238,2021-01-15,2341.0,Vest Harnesses
239,2021-01-16,2341.0,Vest Harnesses
240,2021-01-17,2341.0,Vest Harnesses
241,2021-01-18,2341.0,Vest Harnesses
242,2021-01-19,2341.0,Vest Harnesses
243,2021-01-20,2341.0,Vest Harnesses
