,date,value,name_B0855WDT13
0,2020-02-28,156.0,Herbs
1,2020-02-29,156.0,Herbs
2,2020-03-01,34.0,Herbs
3,2020-03-02,50.0,Herbs
4,2020-03-03,87.0,Herbs
5,2020-03-04,108.0,Herbs
6,2020-03-05,213.0,Herbs
7,2020-03-06,213.0,Herbs
8,2020-03-07,213.0,Herbs
9,2020-03-08,213.0,Herbs
10,2020-03-09,-1.0,Herbs
11,2020-03-10,-1.0,Herbs
12,2020-03-11,-1.0,Herbs
13,2020-03-12,-1.0,Herbs
14,2020-03-13,176.0,Herbs
15,2020-03-14,176.0,Herbs
16,2020-03-15,85.0,Herbs
17,2020-03-16,85.0,Herbs
18,2020-03-17,85.0,Herbs
19,2020-03-18,85.0,Herbs
20,2020-03-19,85.0,Herbs
21,2020-03-20,93.0,Herbs
22,2020-03-21,93.0,Herbs
23,2020-03-22,93.0,Herbs
24,2020-03-23,68.0,Herbs
25,2020-03-24,68.0,Herbs
26,2020-03-25,74.0,Herbs
27,2020-03-26,76.0,Herbs
28,2020-03-27,76.0,Herbs
29,2020-03-28,91.0,Herbs
30,2020-03-29,94.0,Herbs
31,2020-03-30,95.0,Herbs
32,2020-03-31,120.0,Herbs
33,2020-04-01,111.0,Herbs
34,2020-04-02,98.0,Herbs
35,2020-04-03,91.0,Herbs
36,2020-04-04,77.0,Herbs
37,2020-04-05,77.0,Herbs
38,2020-04-06,72.0,Herbs
39,2020-04-07,120.0,Herbs
40,2020-04-08,319.0,Herbs
41,2020-04-09,470.0,Herbs
42,2020-04-10,575.0,Herbs
43,2020-04-11,548.0,Herbs
44,2020-04-12,896.0,Herbs
45,2020-04-13,774.0,Herbs
46,2020-04-14,787.0,Herbs
47,2020-04-15,614.0,Herbs
48,2020-04-16,794.0,Herbs
49,2020-04-17,972.0,Herbs
50,2020-04-18,1316.0,Herbs
51,2020-04-19,1316.0,Herbs
52,2020-04-20,1997.0,Herbs
53,2020-04-21,2297.0,Herbs
54,2020-04-22,2201.0,Herbs
55,2020-04-23,2927.0,Herbs
56,2020-04-24,2927.0,Herbs
57,2020-04-25,2927.0,Herbs
58,2020-04-26,1662.0,Herbs
59,2020-04-27,806.0,Herbs
60,2020-04-28,528.0,Herbs
61,2020-04-29,791.0,Herbs
62,2020-04-30,798.0,Herbs
63,2020-05-01,911.0,Herbs
64,2020-05-02,1063.0,Herbs
65,2020-05-03,1063.0,Herbs
66,2020-05-04,1063.0,Herbs
67,2020-05-05,1469.0,Herbs
68,2020-05-06,1469.0,Herbs
69,2020-05-07,1019.0,Herbs
70,2020-05-08,904.0,Herbs
71,2020-05-09,962.0,Herbs
72,2020-05-10,1484.0,Herbs
73,2020-05-11,1484.0,Herbs
74,2020-05-12,1484.0,Herbs
75,2020-05-13,743.0,Herbs
76,2020-05-14,634.0,Herbs
77,2020-05-15,550.0,Herbs
78,2020-05-16,682.0,Herbs
79,2020-05-17,682.0,Herbs
80,2020-05-18,449.0,Herbs
81,2020-05-19,355.0,Herbs
82,2020-05-20,384.0,Herbs
83,2020-05-21,384.0,Herbs
84,2020-05-22,433.0,Herbs
85,2020-05-23,433.0,Herbs
86,2020-05-24,433.0,Herbs
87,2020-05-25,523.0,Herbs
88,2020-05-26,570.0,Herbs
89,2020-05-27,570.0,Herbs
90,2020-05-28,750.0,Herbs
91,2020-05-29,683.0,Herbs
92,2020-05-30,683.0,Herbs
93,2020-05-31,502.0,Herbs
94,2020-06-01,502.0,Herbs
95,2020-06-02,627.0,Herbs
96,2020-06-03,780.0,Herbs
97,2020-06-04,919.0,Herbs
98,2020-06-05,919.0,Herbs
99,2020-06-06,709.0,Herbs
100,2020-06-07,746.0,Herbs
101,2020-06-08,799.0,Herbs
102,2020-06-09,893.0,Herbs
103,2020-06-10,920.0,Herbs
104,2020-06-11,797.0,Herbs
105,2020-06-12,797.0,Herbs
106,2020-06-13,982.0,Herbs
107,2020-06-14,982.0,Herbs
108,2020-06-15,911.0,Herbs
109,2020-06-16,911.0,Herbs
110,2020-06-17,898.0,Herbs
111,2020-06-18,856.0,Herbs
112,2020-06-19,980.0,Herbs
113,2020-06-20,980.0,Herbs
114,2020-06-21,998.0,Herbs
115,2020-06-22,998.0,Herbs
116,2020-06-23,760.0,Herbs
117,2020-06-24,689.0,Herbs
118,2020-06-25,788.0,Herbs
119,2020-06-26,788.0,Herbs
120,2020-06-27,640.0,Herbs
121,2020-06-28,640.0,Herbs
122,2020-06-29,817.0,Herbs
123,2020-06-30,817.0,Herbs
124,2020-07-01,753.0,Herbs
125,2020-07-02,661.0,Herbs
126,2020-07-03,661.0,Herbs
127,2020-07-04,687.0,Herbs
128,2020-07-05,754.0,Herbs
129,2020-07-06,828.0,Herbs
130,2020-07-07,828.0,Herbs
131,2020-07-08,825.0,Herbs
132,2020-07-09,886.0,Herbs
133,2020-07-10,817.0,Herbs
134,2020-07-11,817.0,Herbs
135,2020-07-12,713.0,Herbs
136,2020-07-13,724.0,Herbs
137,2020-07-14,724.0,Herbs
138,2020-07-15,724.0,Herbs
139,2020-07-16,642.0,Herbs
140,2020-07-17,642.0,Herbs
141,2020-07-18,595.0,Herbs
142,2020-07-19,657.0,Herbs
143,2020-07-20,657.0,Herbs
144,2020-07-21,657.0,Herbs
145,2020-07-22,634.0,Herbs
146,2020-07-23,611.0,Herbs
147,2020-07-24,611.0,Herbs
148,2020-07-25,631.0,Herbs
149,2020-07-26,542.0,Herbs
150,2020-07-27,609.0,Herbs
151,2020-07-28,568.0,Herbs
152,2020-07-29,568.0,Herbs
153,2020-07-30,568.0,Herbs
154,2020-07-31,622.0,Herbs
155,2020-08-01,622.0,Herbs
156,2020-08-02,509.0,Herbs
157,2020-08-03,509.0,Herbs
158,2020-08-04,509.0,Herbs
159,2020-08-05,591.0,Herbs
160,2020-08-06,511.0,Herbs
161,2020-08-07,544.0,Herbs
162,2020-08-08,544.0,Herbs
163,2020-08-09,510.0,Herbs
164,2020-08-10,510.0,Herbs
165,2020-08-11,586.0,Herbs
166,2020-08-12,586.0,Herbs
167,2020-08-13,524.0,Herbs
168,2020-08-14,519.0,Herbs
169,2020-08-15,595.0,Herbs
170,2020-08-16,376.0,Herbs
171,2020-08-17,376.0,Herbs
172,2020-08-18,442.0,Herbs
173,2020-08-19,442.0,Herbs
174,2020-08-20,472.0,Herbs
175,2020-08-21,472.0,Herbs
176,2020-08-22,472.0,Herbs
177,2020-08-23,485.0,Herbs
178,2020-08-24,485.0,Herbs
179,2020-08-25,397.0,Herbs
180,2020-08-26,397.0,Herbs
181,2020-08-27,397.0,Herbs
182,2020-08-28,382.0,Herbs
183,2020-08-29,382.0,Herbs
184,2020-08-30,382.0,Herbs
185,2020-08-31,445.0,Herbs
186,2020-09-01,395.0,Herbs
187,2020-09-02,395.0,Herbs
188,2020-09-03,365.0,Herbs
189,2020-09-04,389.0,Herbs
190,2020-09-05,389.0,Herbs
191,2020-09-06,363.0,Herbs
192,2020-09-07,363.0,Herbs
193,2020-09-08,413.0,Herbs
194,2020-09-09,413.0,Herbs
195,2020-09-10,364.0,Herbs
196,2020-09-11,376.0,Herbs
197,2020-09-12,376.0,Herbs
198,2020-09-13,378.0,Herbs
199,2020-09-14,378.0,Herbs
200,2020-09-15,412.0,Herbs
201,2020-09-16,412.0,Herbs
202,2020-09-17,433.0,Herbs
203,2020-09-18,433.0,Herbs
204,2020-09-19,433.0,Herbs
205,2020-09-20,412.0,Herbs
206,2020-09-21,412.0,Herbs
207,2020-09-22,318.0,Herbs
208,2020-09-23,318.0,Herbs
209,2020-09-24,348.0,Herbs
210,2020-09-25,348.0,Herbs
211,2020-09-26,348.0,Herbs
212,2020-09-27,298.0,Herbs
213,2020-09-28,275.0,Herbs
214,2020-09-29,308.0,Herbs
215,2020-09-30,308.0,Herbs
216,2020-10-01,291.0,Herbs
217,2020-10-02,331.0,Herbs
218,2020-10-03,383.0,Herbs
219,2020-10-04,383.0,Herbs
220,2020-10-05,383.0,Herbs
221,2020-10-06,305.0,Herbs
222,2020-10-07,319.0,Herbs
223,2020-10-08,319.0,Herbs
224,2020-10-09,288.0,Herbs
225,2020-10-10,288.0,Herbs
226,2020-10-11,288.0,Herbs
227,2020-10-12,267.0,Herbs
228,2020-10-13,267.0,Herbs
229,2020-10-14,83.0,Herbs
230,2020-10-15,134.0,Herbs
231,2020-10-16,134.0,Herbs
232,2020-10-17,134.0,Herbs
233,2020-10-18,147.0,Herbs
234,2020-10-19,147.0,Herbs
235,2020-10-20,243.0,Herbs
236,2020-10-21,243.0,Herbs
237,2020-10-22,243.0,Herbs
238,2020-10-23,278.0,Herbs
239,2020-10-24,278.0,Herbs
240,2020-10-25,278.0,Herbs
241,2020-10-26,181.0,Herbs
242,2020-10-27,249.0,Herbs
243,2020-10-28,258.0,Herbs
244,2020-10-29,258.0,Herbs
245,2020-10-30,258.0,Herbs
246,2020-10-31,211.0,Herbs
247,2020-11-01,211.0,Herbs
248,2020-11-02,189.0,Herbs
249,2020-11-03,182.0,Herbs
250,2020-11-04,182.0,Herbs
251,2020-11-05,148.0,Herbs
252,2020-11-06,148.0,Herbs
253,2020-11-07,148.0,Herbs
254,2020-11-08,230.0,Herbs
255,2020-11-09,230.0,Herbs
256,2020-11-10,241.0,Herbs
257,2020-11-11,154.0,Herbs
258,2020-11-12,154.0,Herbs
259,2020-11-13,154.0,Herbs
260,2020-11-14,181.0,Herbs
261,2020-11-15,181.0,Herbs
262,2020-11-16,181.0,Herbs
263,2020-11-17,160.0,Herbs
264,2020-11-18,153.0,Herbs
265,2020-11-19,153.0,Herbs
266,2020-11-20,153.0,Herbs
267,2020-11-21,153.0,Herbs
268,2020-11-22,145.0,Herbs
269,2020-11-23,110.0,Herbs
270,2020-11-24,110.0,Herbs
271,2020-11-25,124.0,Herbs
272,2020-11-26,124.0,Herbs
273,2020-11-27,124.0,Herbs
274,2020-11-28,58.0,Herbs
275,2020-11-29,58.0,Herbs
276,2020-11-30,30.0,Herbs
277,2020-12-01,60.0,Herbs
278,2020-12-02,60.0,Herbs
279,2020-12-03,60.0,Herbs
280,2020-12-04,80.0,Herbs
281,2020-12-05,80.0,Herbs
282,2020-12-06,80.0,Herbs
283,2020-12-07,71.0,Herbs
284,2020-12-08,72.0,Herbs
285,2020-12-09,75.0,Herbs
286,2020-12-10,71.0,Herbs
287,2020-12-11,68.0,Herbs
288,2020-12-12,80.0,Herbs
289,2020-12-13,57.0,Herbs
290,2020-12-14,67.0,Herbs
291,2020-12-15,73.0,Herbs
292,2020-12-16,71.0,Herbs
293,2020-12-17,74.0,Herbs
294,2020-12-18,51.0,Herbs
295,2020-12-19,54.0,Herbs
296,2020-12-20,66.0,Herbs
297,2020-12-21,60.0,Herbs
298,2020-12-22,69.0,Herbs
299,2020-12-23,61.0,Herbs
300,2020-12-24,69.0,Herbs
301,2020-12-25,58.0,Herbs
302,2020-12-26,20.0,Herbs
303,2020-12-27,24.0,Herbs
304,2020-12-28,42.0,Herbs
305,2020-12-29,43.0,Herbs
306,2020-12-30,45.0,Herbs
307,2020-12-31,45.0,Herbs
308,2021-01-01,46.0,Herbs
309,2021-01-02,50.0,Herbs
310,2021-01-03,54.0,Herbs
311,2021-01-04,46.0,Herbs
312,2021-01-05,53.0,Herbs
313,2021-01-06,52.0,Herbs
314,2021-01-07,62.0,Herbs
315,2021-01-08,52.0,Herbs
316,2021-01-09,59.0,Herbs
317,2021-01-10,43.0,Herbs
318,2021-01-11,51.0,Herbs
319,2021-01-12,53.0,Herbs
320,2021-01-13,47.0,Herbs
321,2021-01-14,51.0,Herbs
322,2021-01-15,53.0,Herbs
323,2021-01-16,46.0,Herbs
324,2021-01-17,46.0,Herbs
325,2021-01-18,54.0,Herbs
326,2021-01-19,54.0,Herbs
327,2021-01-20,49.0,Herbs
328,2021-01-21,49.0,Herbs
329,2021-01-22,59.0,Herbs
330,2021-01-23,59.0,Herbs
331,2021-01-24,59.0,Herbs
332,2021-01-25,52.0,Herbs
333,2021-01-26,52.0,Herbs
334,2021-01-27,68.0,Herbs
335,2021-01-28,68.0,Herbs
336,2021-01-29,68.0,Herbs
337,2021-01-30,77.0,Herbs
338,2021-01-31,77.0,Herbs
339,2021-02-01,75.0,Herbs
340,2021-02-02,84.0,Herbs
341,2021-02-03,84.0,Herbs
342,2021-02-04,84.0,Herbs
343,2021-02-05,92.0,Herbs
344,2021-02-06,92.0,Herbs
345,2021-02-07,92.0,Herbs
346,2021-02-08,75.0,Herbs
347,2021-02-09,75.0,Herbs
348,2021-02-10,75.0,Herbs
349,2021-02-11,66.0,Herbs
350,2021-02-12,66.0,Herbs
351,2021-02-13,88.0,Herbs
352,2021-02-14,88.0,Herbs
353,2021-02-15,88.0,Herbs
354,2021-02-16,80.0,Herbs
355,2021-02-17,80.0,Herbs
356,2021-02-18,80.0,Herbs
357,2021-02-19,100.0,Herbs
358,2021-02-20,93.0,Herbs
359,2021-02-21,93.0,Herbs
360,2021-02-22,82.0,Herbs
361,2021-02-23,82.0,Herbs
362,2021-02-24,82.0,Herbs
363,2021-02-25,113.0,Herbs
364,2021-02-26,113.0,Herbs
365,2021-02-27,96.0,Herbs
