,date,value,name_B08PKSQ1VX
0,2020-12-09,7211.0,Picnic Baskets
1,2020-12-10,8310.0,Picnic Baskets
2,2020-12-11,8310.0,Picnic Baskets
3,2020-12-12,8310.0,Picnic Baskets
4,2020-12-13,8310.0,Picnic Baskets
5,2020-12-14,9282.0,Picnic Baskets
6,2020-12-15,7336.0,Picnic Baskets
7,2020-12-16,7336.0,Picnic Baskets
8,2020-12-17,7336.0,Picnic Baskets
9,2020-12-18,3821.0,Picnic Baskets
10,2020-12-19,3821.0,Picnic Baskets
11,2020-12-20,3821.0,Picnic Baskets
12,2020-12-21,3256.0,Picnic Baskets
13,2020-12-22,4170.0,Picnic Baskets
14,2020-12-23,4170.0,Picnic Baskets
15,2020-12-24,4170.0,Picnic Baskets
16,2020-12-25,7046.0,Picnic Baskets
17,2020-12-26,8412.0,Picnic Baskets
18,2020-12-27,8412.0,Picnic Baskets
19,2020-12-28,9158.0,Picnic Baskets
20,2020-12-29,10750.0,Picnic Baskets
21,2020-12-30,10750.0,Picnic Baskets
22,2020-12-31,10750.0,Picnic Baskets
23,2021-01-01,10750.0,Picnic Baskets
24,2021-01-02,6467.0,Picnic Baskets
25,2021-01-03,5341.0,Picnic Baskets
26,2021-01-04,5341.0,Picnic Baskets
27,2021-01-05,5341.0,Picnic Baskets
28,2021-01-06,5341.0,Picnic Baskets
29,2021-01-07,5341.0,Picnic Baskets
30,2021-01-08,10735.0,Picnic Baskets
31,2021-01-09,10735.0,Picnic Baskets
32,2021-01-10,10735.0,Picnic Baskets
33,2021-01-11,10735.0,Picnic Baskets
34,2021-01-12,10735.0,Picnic Baskets
35,2021-01-13,4766.0,Picnic Baskets
36,2021-01-14,4766.0,Picnic Baskets
37,2021-01-15,4766.0,Picnic Baskets
38,2021-01-16,9853.0,Picnic Baskets
39,2021-01-17,9853.0,Picnic Baskets
40,2021-01-18,9853.0,Picnic Baskets
41,2021-01-19,14895.0,Picnic Baskets
42,2021-01-20,8614.0,Picnic Baskets
43,2021-01-21,8614.0,Picnic Baskets
44,2021-01-22,8614.0,Picnic Baskets
45,2021-01-23,8614.0,Picnic Baskets
46,2021-01-24,8614.0,Picnic Baskets
47,2021-01-25,10912.0,Picnic Baskets
48,2021-01-26,10912.0,Picnic Baskets
49,2021-01-27,10912.0,Picnic Baskets
50,2021-01-28,7608.0,Picnic Baskets
51,2021-01-29,7608.0,Picnic Baskets
52,2021-01-30,7248.0,Picnic Baskets
53,2021-01-31,7248.0,Picnic Baskets
54,2021-02-01,7248.0,Picnic Baskets
55,2021-02-02,7248.0,Picnic Baskets
56,2021-02-03,5589.0,Picnic Baskets
57,2021-02-04,5589.0,Picnic Baskets
58,2021-02-05,5589.0,Picnic Baskets
59,2021-02-06,5589.0,Picnic Baskets
60,2021-02-07,5132.0,Picnic Baskets
61,2021-02-08,5132.0,Picnic Baskets
62,2021-02-09,5132.0,Picnic Baskets
63,2021-02-10,3366.0,Picnic Baskets
64,2021-02-11,3366.0,Picnic Baskets
65,2021-02-12,1647.0,Picnic Baskets
66,2021-02-13,1647.0,Picnic Baskets
67,2021-02-14,1647.0,Picnic Baskets
68,2021-02-15,4918.0,Picnic Baskets
69,2021-02-16,4918.0,Picnic Baskets
70,2021-02-17,4196.0,Picnic Baskets
71,2021-02-18,4196.0,Picnic Baskets
72,2021-02-19,4196.0,Picnic Baskets
73,2021-02-20,3696.0,Picnic Baskets
74,2021-02-21,5758.0,Picnic Baskets
75,2021-02-22,5392.0,Picnic Baskets
76,2021-02-23,5392.0,Picnic Baskets
77,2021-02-24,5392.0,Picnic Baskets
78,2021-02-25,5148.0,Picnic Baskets
79,2021-02-26,3383.0,Picnic Baskets
80,2021-02-27,3383.0,Picnic Baskets
81,2021-02-28,3383.0,Picnic Baskets
82,2021-03-01,3383.0,Picnic Baskets
83,2021-03-02,4279.0,Picnic Baskets
