,date,value,name_B07CJNV97W
0,2020-05-28,7306.0,Bully Sticks
1,2020-05-29,7306.0,Bully Sticks
2,2020-05-30,7306.0,Bully Sticks
3,2020-05-31,7306.0,Bully Sticks
4,2020-06-01,7306.0,Bully Sticks
5,2020-06-02,9713.0,Bully Sticks
6,2020-06-03,7841.0,Bully Sticks
7,2020-06-04,7841.0,Bully Sticks
8,2020-06-05,7841.0,Bully Sticks
9,2020-06-06,6952.0,Bully Sticks
10,2020-06-07,6952.0,Bully Sticks
11,2020-06-08,6952.0,Bully Sticks
12,2020-06-09,6952.0,Bully Sticks
13,2020-06-10,7808.0,Bully Sticks
14,2020-06-11,7808.0,Bully Sticks
15,2020-06-12,7210.0,Bully Sticks
16,2020-06-13,7210.0,Bully Sticks
17,2020-06-14,8035.0,Bully Sticks
18,2020-06-15,6424.0,Bully Sticks
19,2020-06-16,6424.0,Bully Sticks
20,2020-06-17,6424.0,Bully Sticks
21,2020-06-18,9117.0,Bully Sticks
22,2020-06-19,8324.0,Bully Sticks
23,2020-06-20,8324.0,Bully Sticks
24,2020-06-21,8324.0,Bully Sticks
25,2020-06-22,8584.0,Bully Sticks
26,2020-06-23,8584.0,Bully Sticks
27,2020-06-24,8584.0,Bully Sticks
28,2020-06-25,8584.0,Bully Sticks
29,2020-06-26,8529.0,Bully Sticks
30,2020-06-27,8194.0,Bully Sticks
31,2020-06-28,8194.0,Bully Sticks
32,2020-06-29,8194.0,Bully Sticks
33,2020-06-30,8194.0,Bully Sticks
34,2020-07-01,8194.0,Bully Sticks
35,2020-07-02,7621.0,Bully Sticks
36,2020-07-03,7621.0,Bully Sticks
37,2020-07-04,7621.0,Bully Sticks
38,2020-07-05,7796.0,Bully Sticks
39,2020-07-06,7796.0,Bully Sticks
40,2020-07-07,7796.0,Bully Sticks
41,2020-07-08,6390.0,Bully Sticks
42,2020-07-09,8685.0,Bully Sticks
43,2020-07-10,8685.0,Bully Sticks
44,2020-07-11,8473.0,Bully Sticks
45,2020-07-12,8473.0,Bully Sticks
46,2020-07-13,8473.0,Bully Sticks
