,date,value,name_B08D3SWPZ5
151,2021-01-10,87036.0,Tablecloths
152,2021-01-11,87036.0,Tablecloths
153,2021-01-12,87036.0,Tablecloths
154,2021-01-13,87036.0,Tablecloths
155,2021-01-14,87036.0,Tablecloths
156,2021-01-15,87036.0,Tablecloths
157,2021-01-16,90422.0,Tablecloths
158,2021-01-17,90422.0,Tablecloths
159,2021-01-18,90422.0,Tablecloths
160,2021-01-19,90422.0,Tablecloths
161,2021-01-20,90422.0,Tablecloths
162,2021-01-21,90422.0,Tablecloths
163,2021-01-22,90422.0,Tablecloths
164,2021-01-23,90422.0,Tablecloths
165,2021-01-24,90422.0,Tablecloths
166,2021-01-25,90422.0,Tablecloths
167,2021-01-26,90422.0,Tablecloths
168,2021-01-27,90422.0,Tablecloths
169,2021-01-28,90422.0,Tablecloths
170,2021-01-29,90422.0,Tablecloths
171,2021-01-30,90422.0,Tablecloths
172,2021-01-31,90422.0,Tablecloths
173,2021-02-01,90422.0,Tablecloths
174,2021-02-02,207466.0,Tablecloths
175,2021-02-03,207466.0,Tablecloths
176,2021-02-04,207466.0,Tablecloths
177,2021-02-05,207466.0,Tablecloths
178,2021-02-06,207466.0,Tablecloths
179,2021-02-07,155341.0,Tablecloths
180,2021-02-08,155341.0,Tablecloths
181,2021-02-09,155341.0,Tablecloths
182,2021-02-10,155341.0,Tablecloths
183,2021-02-11,155341.0,Tablecloths
184,2021-02-12,5937.0,Tablecloths
185,2021-02-13,5937.0,Tablecloths
186,2021-02-14,5937.0,Tablecloths
187,2021-02-15,5937.0,Tablecloths
188,2021-02-16,8810.0,Tablecloths
189,2021-02-17,8810.0,Tablecloths
190,2021-02-18,8810.0,Tablecloths
191,2021-02-19,8395.0,Tablecloths
192,2021-02-20,7237.0,Tablecloths
193,2021-02-21,5908.0,Tablecloths
194,2021-02-22,5908.0,Tablecloths
195,2021-02-23,9141.0,Tablecloths
196,2021-02-24,9668.0,Tablecloths
197,2021-02-25,9950.0,Tablecloths
198,2021-02-26,7663.0,Tablecloths
199,2021-02-27,7663.0,Tablecloths
200,2021-02-28,7663.0,Tablecloths
201,2021-03-01,7663.0,Tablecloths
202,2021-03-02,8359.0,Tablecloths
203,2021-03-03,9224.0,Tablecloths
204,2021-03-04,9224.0,Tablecloths
205,2021-03-05,9224.0,Tablecloths
206,2021-03-06,9326.0,Tablecloths
207,2021-03-07,9326.0,Tablecloths
208,2021-03-08,9326.0,Tablecloths
209,2021-03-09,5634.0,Tablecloths
210,2021-03-10,5634.0,Tablecloths
211,2021-03-11,5634.0,Tablecloths
212,2021-03-12,5634.0,Tablecloths
213,2021-03-13,5634.0,Tablecloths
214,2021-03-14,6086.0,Tablecloths
215,2021-03-15,6086.0,Tablecloths
216,2021-03-16,6086.0,Tablecloths
217,2021-03-17,6086.0,Tablecloths
218,2021-03-18,8392.0,Tablecloths
219,2021-03-19,8392.0,Tablecloths
