,date,value,name_B08WN3QYS5
0,2021-02-17,586.0,Woodcrafts
1,2021-02-18,647.0,Woodcrafts
2,2021-02-19,698.0,Woodcrafts
3,2021-02-20,717.0,Woodcrafts
4,2021-02-21,772.0,Woodcrafts
5,2021-02-22,707.0,Woodcrafts
6,2021-02-23,682.0,Woodcrafts
7,2021-02-24,611.0,Woodcrafts
8,2021-02-25,539.0,Woodcrafts
9,2021-02-26,539.0,Woodcrafts
10,2021-02-27,655.0,Woodcrafts
11,2021-02-28,646.0,Woodcrafts
12,2021-03-01,697.0,Woodcrafts
13,2021-03-02,617.0,Woodcrafts
14,2021-03-03,665.0,Woodcrafts
15,2021-03-04,619.0,Woodcrafts
16,2021-03-05,582.0,Woodcrafts
17,2021-03-06,604.0,Woodcrafts
18,2021-03-07,649.0,Woodcrafts
19,2021-03-08,681.0,Woodcrafts
20,2021-03-09,626.0,Woodcrafts
21,2021-03-10,679.0,Woodcrafts
22,2021-03-11,813.0,Woodcrafts
23,2021-03-12,746.0,Woodcrafts
24,2021-03-13,860.0,Woodcrafts
25,2021-03-14,858.0,Woodcrafts
26,2021-03-15,834.0,Woodcrafts
27,2021-03-16,733.0,Woodcrafts
28,2021-03-17,902.0,Woodcrafts
29,2021-03-18,803.0,Woodcrafts
30,2021-03-19,834.0,Woodcrafts
31,2021-03-20,834.0,Woodcrafts
32,2021-03-21,663.0,Woodcrafts
33,2021-03-22,744.0,Woodcrafts
34,2021-03-23,675.0,Woodcrafts
35,2021-03-24,675.0,Woodcrafts
36,2021-03-25,513.0,Woodcrafts
37,2021-03-26,668.0,Woodcrafts
38,2021-03-27,650.0,Woodcrafts
39,2021-03-28,681.0,Woodcrafts
40,2021-03-29,841.0,Woodcrafts
41,2021-03-30,690.0,Woodcrafts
42,2021-03-31,849.0,Woodcrafts
43,2021-04-01,727.0,Woodcrafts
44,2021-04-02,649.0,Woodcrafts
45,2021-04-03,649.0,Woodcrafts
46,2021-04-04,719.0,Woodcrafts
47,2021-04-05,719.0,Woodcrafts
48,2021-04-06,545.0,Woodcrafts
49,2021-04-07,635.0,Woodcrafts
50,2021-04-08,717.0,Woodcrafts
51,2021-04-09,717.0,Woodcrafts
52,2021-04-10,614.0,Woodcrafts
53,2021-04-11,614.0,Woodcrafts
54,2021-04-12,605.0,Woodcrafts
55,2021-04-13,524.0,Woodcrafts
56,2021-04-14,606.0,Woodcrafts
57,2021-04-15,657.0,Woodcrafts
58,2021-04-16,666.0,Woodcrafts
59,2021-04-17,716.0,Woodcrafts
60,2021-04-18,716.0,Woodcrafts
61,2021-04-19,652.0,Woodcrafts
62,2021-04-20,652.0,Woodcrafts
63,2021-04-21,710.0,Woodcrafts
64,2021-04-22,710.0,Woodcrafts
65,2021-04-23,711.0,Woodcrafts
66,2021-04-24,660.0,Woodcrafts
67,2021-04-25,621.0,Woodcrafts
68,2021-04-26,838.0,Woodcrafts
69,2021-04-27,676.0,Woodcrafts
70,2021-04-28,559.0,Woodcrafts
71,2021-04-29,699.0,Woodcrafts
72,2021-04-30,699.0,Woodcrafts
73,2021-05-01,704.0,Woodcrafts
74,2021-05-02,704.0,Woodcrafts
75,2021-05-03,1118.0,Woodcrafts
76,2021-05-04,1146.0,Woodcrafts
77,2021-05-05,1157.0,Woodcrafts
78,2021-05-06,1093.0,Woodcrafts
79,2021-05-07,1154.0,Woodcrafts
80,2021-05-08,1174.0,Woodcrafts
81,2021-05-09,986.0,Woodcrafts
82,2021-05-10,920.0,Woodcrafts
83,2021-05-11,948.0,Woodcrafts
84,2021-05-12,948.0,Woodcrafts
85,2021-05-13,1183.0,Woodcrafts
86,2021-05-14,1183.0,Woodcrafts
87,2021-05-15,836.0,Woodcrafts
88,2021-05-16,877.0,Woodcrafts
89,2021-05-17,1234.0,Woodcrafts
90,2021-05-18,1086.0,Woodcrafts
91,2021-05-19,1086.0,Woodcrafts
92,2021-05-20,923.0,Woodcrafts
93,2021-05-21,1186.0,Woodcrafts
94,2021-05-22,1186.0,Woodcrafts
95,2021-05-23,915.0,Woodcrafts
96,2021-05-24,1212.0,Woodcrafts
97,2021-05-25,1212.0,Woodcrafts
98,2021-05-26,982.0,Woodcrafts
99,2021-05-27,1074.0,Woodcrafts
100,2021-05-28,1093.0,Woodcrafts
101,2021-05-29,959.0,Woodcrafts
102,2021-05-30,959.0,Woodcrafts
103,2021-05-31,1206.0,Woodcrafts
104,2021-06-01,1742.0,Woodcrafts
105,2021-06-02,1412.0,Woodcrafts
106,2021-06-03,1515.0,Woodcrafts
107,2021-06-04,1081.0,Woodcrafts
108,2021-06-05,1178.0,Woodcrafts
109,2021-06-06,1178.0,Woodcrafts
110,2021-06-07,1178.0,Woodcrafts
111,2021-06-08,1678.0,Woodcrafts
112,2021-06-09,1678.0,Woodcrafts
113,2021-06-10,1278.0,Woodcrafts
114,2021-06-11,1278.0,Woodcrafts
115,2021-06-12,1083.0,Woodcrafts
116,2021-06-13,1083.0,Woodcrafts
117,2021-06-14,1567.0,Woodcrafts
118,2021-06-15,1619.0,Woodcrafts
119,2021-06-16,1142.0,Woodcrafts
120,2021-06-17,1274.0,Woodcrafts
121,2021-06-18,1486.0,Woodcrafts
122,2021-06-19,1486.0,Woodcrafts
123,2021-06-20,1486.0,Woodcrafts
124,2021-06-21,1592.0,Woodcrafts
125,2021-06-22,2134.0,Woodcrafts
126,2021-06-23,2118.0,Woodcrafts
127,2021-06-24,2118.0,Woodcrafts
128,2021-06-25,1503.0,Woodcrafts
129,2021-06-26,1601.0,Woodcrafts
130,2021-06-27,1866.0,Woodcrafts
131,2021-06-28,1185.0,Woodcrafts
132,2021-06-29,1077.0,Woodcrafts
133,2021-06-30,1267.0,Woodcrafts
134,2021-07-01,1160.0,Woodcrafts
135,2021-07-02,1160.0,Woodcrafts
136,2021-07-03,1084.0,Woodcrafts
137,2021-07-04,1123.0,Woodcrafts
138,2021-07-05,1123.0,Woodcrafts
139,2021-07-06,1123.0,Woodcrafts
140,2021-07-07,1059.0,Woodcrafts
141,2021-07-08,1148.0,Woodcrafts
142,2021-07-09,1247.0,Woodcrafts
143,2021-07-10,1251.0,Woodcrafts
