,date,value,name_B08M9T7LSZ
0,2020-11-03,18755.0,Kitchen & Dining Features
1,2020-11-04,18755.0,Kitchen & Dining Features
2,2020-11-05,18755.0,Kitchen & Dining Features
3,2020-11-06,18755.0,Kitchen & Dining Features
4,2020-11-07,18755.0,Kitchen & Dining Features
5,2020-11-08,18755.0,Kitchen & Dining Features
6,2020-11-09,18755.0,Kitchen & Dining Features
7,2020-11-10,18755.0,Kitchen & Dining Features
8,2020-11-11,24731.0,Kitchen & Dining Features
9,2020-11-12,28588.0,Kitchen & Dining Features
10,2020-11-13,28588.0,Kitchen & Dining Features
11,2020-11-14,28588.0,Kitchen & Dining Features
12,2020-11-15,28588.0,Kitchen & Dining Features
13,2020-11-16,24788.0,Kitchen & Dining Features
14,2020-11-17,24788.0,Kitchen & Dining Features
15,2020-11-18,24788.0,Kitchen & Dining Features
16,2020-11-19,38722.0,Kitchen & Dining Features
17,2020-11-20,38722.0,Kitchen & Dining Features
18,2020-11-21,38722.0,Kitchen & Dining Features
19,2020-11-22,38722.0,Kitchen & Dining Features
20,2020-11-23,37873.0,Kitchen & Dining Features
21,2020-11-24,37873.0,Kitchen & Dining Features
22,2020-11-25,37211.0,Kitchen & Dining Features
23,2020-11-26,42205.0,Kitchen & Dining Features
24,2020-11-27,42205.0,Kitchen & Dining Features
25,2020-11-28,42205.0,Kitchen & Dining Features
26,2020-11-29,42205.0,Kitchen & Dining Features
27,2020-11-30,87397.0,Kitchen & Dining Features
28,2020-12-01,57440.0,Kitchen & Dining Features
29,2020-12-02,57440.0,Kitchen & Dining Features
30,2020-12-03,57440.0,Kitchen & Dining Features
31,2020-12-04,41684.0,Kitchen & Dining Features
32,2020-12-05,41684.0,Kitchen & Dining Features
33,2020-12-06,41684.0,Kitchen & Dining Features
34,2020-12-07,44043.0,Kitchen & Dining Features
35,2020-12-08,44043.0,Kitchen & Dining Features
36,2020-12-09,44043.0,Kitchen & Dining Features
37,2020-12-10,44043.0,Kitchen & Dining Features
38,2020-12-11,58807.0,Kitchen & Dining Features
39,2020-12-12,66396.0,Kitchen & Dining Features
40,2020-12-13,95922.0,Kitchen & Dining Features
41,2020-12-14,95922.0,Kitchen & Dining Features
42,2020-12-15,95922.0,Kitchen & Dining Features
43,2020-12-16,64590.0,Kitchen & Dining Features
44,2020-12-17,64590.0,Kitchen & Dining Features
45,2020-12-18,64590.0,Kitchen & Dining Features
46,2020-12-19,83620.0,Kitchen & Dining Features
47,2020-12-20,83620.0,Kitchen & Dining Features
48,2020-12-21,64931.0,Kitchen & Dining Features
49,2020-12-22,70282.0,Kitchen & Dining Features
50,2020-12-23,70282.0,Kitchen & Dining Features
51,2020-12-24,47948.0,Kitchen & Dining Features
52,2020-12-25,47948.0,Kitchen & Dining Features
53,2020-12-26,47948.0,Kitchen & Dining Features
54,2020-12-27,39123.0,Kitchen & Dining Features
55,2020-12-28,39123.0,Kitchen & Dining Features
56,2020-12-29,39123.0,Kitchen & Dining Features
57,2020-12-30,25551.0,Kitchen & Dining Features
58,2020-12-31,25551.0,Kitchen & Dining Features
59,2021-01-01,25551.0,Kitchen & Dining Features
60,2021-01-02,23400.0,Kitchen & Dining Features
61,2021-01-03,20797.0,Kitchen & Dining Features
62,2021-01-04,20797.0,Kitchen & Dining Features
63,2021-01-05,20797.0,Kitchen & Dining Features
64,2021-01-06,23315.0,Kitchen & Dining Features
65,2021-01-07,23315.0,Kitchen & Dining Features
66,2021-01-08,23315.0,Kitchen & Dining Features
67,2021-01-09,23315.0,Kitchen & Dining Features
68,2021-01-10,27247.0,Kitchen & Dining Features
69,2021-01-11,27247.0,Kitchen & Dining Features
70,2021-01-12,22764.0,Kitchen & Dining Features
71,2021-01-13,22764.0,Kitchen & Dining Features
72,2021-01-14,22764.0,Kitchen & Dining Features
73,2021-01-15,22764.0,Kitchen & Dining Features
74,2021-01-16,25223.0,Kitchen & Dining Features
75,2021-01-17,21041.0,Kitchen & Dining Features
76,2021-01-18,21041.0,Kitchen & Dining Features
77,2021-01-19,21041.0,Kitchen & Dining Features
78,2021-01-20,21041.0,Kitchen & Dining Features
79,2021-01-21,22110.0,Kitchen & Dining Features
80,2021-01-22,22110.0,Kitchen & Dining Features
81,2021-01-23,22110.0,Kitchen & Dining Features
82,2021-01-24,22110.0,Kitchen & Dining Features
83,2021-01-25,22110.0,Kitchen & Dining Features
84,2021-01-26,28819.0,Kitchen & Dining Features
85,2021-01-27,28819.0,Kitchen & Dining Features
86,2021-01-28,41093.0,Kitchen & Dining Features
87,2021-01-29,57747.0,Kitchen & Dining Features
88,2021-01-30,57747.0,Kitchen & Dining Features
89,2021-01-31,57747.0,Kitchen & Dining Features
90,2021-02-01,54049.0,Kitchen & Dining Features
91,2021-02-02,55948.0,Kitchen & Dining Features
92,2021-02-03,55948.0,Kitchen & Dining Features
93,2021-02-04,55948.0,Kitchen & Dining Features
94,2021-02-05,50746.0,Kitchen & Dining Features
95,2021-02-06,50746.0,Kitchen & Dining Features
96,2021-02-07,50746.0,Kitchen & Dining Features
97,2021-02-08,60602.0,Kitchen & Dining Features
98,2021-02-09,68437.0,Kitchen & Dining Features
99,2021-02-10,68437.0,Kitchen & Dining Features
100,2021-02-11,68437.0,Kitchen & Dining Features
101,2021-02-12,68437.0,Kitchen & Dining Features
102,2021-02-13,43849.0,Kitchen & Dining Features
103,2021-02-14,43849.0,Kitchen & Dining Features
104,2021-02-15,35771.0,Kitchen & Dining Features
105,2021-02-16,35771.0,Kitchen & Dining Features
106,2021-02-17,35771.0,Kitchen & Dining Features
107,2021-02-18,32168.0,Kitchen & Dining Features
108,2021-02-19,36798.0,Kitchen & Dining Features
109,2021-02-20,36798.0,Kitchen & Dining Features
110,2021-02-21,36798.0,Kitchen & Dining Features
111,2021-02-22,20347.0,Kitchen & Dining Features
112,2021-02-23,23934.0,Kitchen & Dining Features
113,2021-02-24,29192.0,Kitchen & Dining Features
114,2021-02-25,29192.0,Kitchen & Dining Features
115,2021-02-26,29192.0,Kitchen & Dining Features
116,2021-02-27,25186.0,Kitchen & Dining Features
117,2021-02-28,25186.0,Kitchen & Dining Features
118,2021-03-01,24499.0,Kitchen & Dining Features
119,2021-03-02,24499.0,Kitchen & Dining Features
120,2021-03-03,24499.0,Kitchen & Dining Features
121,2021-03-04,18979.0,Kitchen & Dining Features
122,2021-03-05,14882.0,Kitchen & Dining Features
123,2021-03-06,14882.0,Kitchen & Dining Features
124,2021-03-07,14882.0,Kitchen & Dining Features
125,2021-03-08,21245.0,Kitchen & Dining Features
126,2021-03-09,21245.0,Kitchen & Dining Features
127,2021-03-10,31362.0,Kitchen & Dining Features
128,2021-03-11,31362.0,Kitchen & Dining Features
129,2021-03-12,31362.0,Kitchen & Dining Features
