,date,value,name_B08KZ9FT4Q
0,2020-10-13,5067.0,Umbrellas
1,2020-10-14,4174.0,Umbrellas
2,2020-10-15,4174.0,Umbrellas
3,2020-10-16,6075.0,Umbrellas
4,2020-10-17,4657.0,Umbrellas
5,2020-10-18,4657.0,Umbrellas
6,2020-10-19,5695.0,Umbrellas
7,2020-10-20,3874.0,Umbrellas
8,2020-10-21,3874.0,Umbrellas
9,2020-10-22,6407.0,Umbrellas
10,2020-10-23,6984.0,Umbrellas
11,2020-10-24,6984.0,Umbrellas
12,2020-10-25,8130.0,Umbrellas
13,2020-10-26,6813.0,Umbrellas
14,2020-10-27,8315.0,Umbrellas
15,2020-10-28,8315.0,Umbrellas
16,2020-10-29,7832.0,Umbrellas
17,2020-10-30,7832.0,Umbrellas
18,2020-10-31,7832.0,Umbrellas
19,2020-11-01,7363.0,Umbrellas
20,2020-11-02,7418.0,Umbrellas
21,2020-11-03,6046.0,Umbrellas
22,2020-11-04,6046.0,Umbrellas
23,2020-11-05,5083.0,Umbrellas
24,2020-11-06,5083.0,Umbrellas
25,2020-11-07,5083.0,Umbrellas
26,2020-11-08,5083.0,Umbrellas
27,2020-11-09,7905.0,Umbrellas
28,2020-11-10,7905.0,Umbrellas
29,2020-11-11,7974.0,Umbrellas
30,2020-11-12,7974.0,Umbrellas
31,2020-11-13,10905.0,Umbrellas
32,2020-11-14,10905.0,Umbrellas
33,2020-11-15,7104.0,Umbrellas
34,2020-11-16,7104.0,Umbrellas
35,2020-11-17,7104.0,Umbrellas
36,2020-11-18,7063.0,Umbrellas
37,2020-11-19,7063.0,Umbrellas
38,2020-11-20,7063.0,Umbrellas
39,2020-11-21,6570.0,Umbrellas
40,2020-11-22,6570.0,Umbrellas
41,2020-11-23,7325.0,Umbrellas
42,2020-11-24,9740.0,Umbrellas
43,2020-11-25,9740.0,Umbrellas
44,2020-11-26,9740.0,Umbrellas
45,2020-11-27,13247.0,Umbrellas
46,2020-11-28,13247.0,Umbrellas
47,2020-11-29,9561.0,Umbrellas
48,2020-11-30,9561.0,Umbrellas
49,2020-12-01,15260.0,Umbrellas
50,2020-12-02,15260.0,Umbrellas
51,2020-12-03,15260.0,Umbrellas
52,2020-12-04,14337.0,Umbrellas
53,2020-12-05,14337.0,Umbrellas
54,2020-12-06,14337.0,Umbrellas
55,2020-12-07,14066.0,Umbrellas
56,2020-12-08,14066.0,Umbrellas
57,2020-12-09,14066.0,Umbrellas
58,2020-12-10,14066.0,Umbrellas
59,2020-12-11,14066.0,Umbrellas
60,2020-12-12,14066.0,Umbrellas
61,2020-12-13,14066.0,Umbrellas
62,2020-12-14,12834.0,Umbrellas
63,2020-12-15,12834.0,Umbrellas
64,2020-12-16,13722.0,Umbrellas
65,2020-12-17,11676.0,Umbrellas
66,2020-12-18,11676.0,Umbrellas
67,2020-12-19,11676.0,Umbrellas
68,2020-12-20,11676.0,Umbrellas
69,2020-12-21,11676.0,Umbrellas
70,2020-12-22,14396.0,Umbrellas
71,2020-12-23,13702.0,Umbrellas
72,2020-12-24,15626.0,Umbrellas
73,2020-12-25,15626.0,Umbrellas
74,2020-12-26,15626.0,Umbrellas
75,2020-12-27,15626.0,Umbrellas
76,2020-12-28,15626.0,Umbrellas
77,2020-12-29,15626.0,Umbrellas
78,2020-12-30,8017.0,Umbrellas
79,2020-12-31,8017.0,Umbrellas
80,2021-01-01,8017.0,Umbrellas
81,2021-01-02,8017.0,Umbrellas
82,2021-01-03,8017.0,Umbrellas
83,2021-01-04,6777.0,Umbrellas
84,2021-01-05,5905.0,Umbrellas
85,2021-01-06,5905.0,Umbrellas
86,2021-01-07,5905.0,Umbrellas
87,2021-01-08,7231.0,Umbrellas
88,2021-01-09,7231.0,Umbrellas
89,2021-01-10,7231.0,Umbrellas
90,2021-01-11,6489.0,Umbrellas
91,2021-01-12,4964.0,Umbrellas
92,2021-01-13,5784.0,Umbrellas
93,2021-01-14,5784.0,Umbrellas
94,2021-01-15,6830.0,Umbrellas
95,2021-01-16,5582.0,Umbrellas
96,2021-01-17,5582.0,Umbrellas
97,2021-01-18,4622.0,Umbrellas
98,2021-01-19,3620.0,Umbrellas
99,2021-01-20,5238.0,Umbrellas
100,2021-01-21,5238.0,Umbrellas
101,2021-01-22,5800.0,Umbrellas
102,2021-01-23,5800.0,Umbrellas
103,2021-01-24,5800.0,Umbrellas
104,2021-01-25,3892.0,Umbrellas
105,2021-01-26,3892.0,Umbrellas
106,2021-01-27,4602.0,Umbrellas
107,2021-01-28,4602.0,Umbrellas
108,2021-01-29,4088.0,Umbrellas
109,2021-01-30,4088.0,Umbrellas
110,2021-01-31,4088.0,Umbrellas
111,2021-02-01,2842.0,Umbrellas
112,2021-02-02,4943.0,Umbrellas
113,2021-02-03,4140.0,Umbrellas
114,2021-02-04,4140.0,Umbrellas
115,2021-02-05,4847.0,Umbrellas
116,2021-02-06,4847.0,Umbrellas
117,2021-02-07,3068.0,Umbrellas
118,2021-02-08,4837.0,Umbrellas
119,2021-02-09,4837.0,Umbrellas
120,2021-02-10,5640.0,Umbrellas
121,2021-02-11,5640.0,Umbrellas
122,2021-02-12,5640.0,Umbrellas
123,2021-02-13,4984.0,Umbrellas
124,2021-02-14,4984.0,Umbrellas
125,2021-02-15,6263.0,Umbrellas
126,2021-02-16,6263.0,Umbrellas
127,2021-02-17,6263.0,Umbrellas
128,2021-02-18,5184.0,Umbrellas
129,2021-02-19,5184.0,Umbrellas
130,2021-02-20,9291.0,Umbrellas
131,2021-02-21,9291.0,Umbrellas
132,2021-02-22,4013.0,Umbrellas
133,2021-02-23,4013.0,Umbrellas
134,2021-02-24,4013.0,Umbrellas
135,2021-02-25,2823.0,Umbrellas
136,2021-02-26,2823.0,Umbrellas
137,2021-02-27,2823.0,Umbrellas
138,2021-02-28,2823.0,Umbrellas
139,2021-03-01,4409.0,Umbrellas
140,2021-03-02,4409.0,Umbrellas
141,2021-03-03,4409.0,Umbrellas
142,2021-03-04,9115.0,Umbrellas
143,2021-03-05,9115.0,Umbrellas
144,2021-03-06,9115.0,Umbrellas
145,2021-03-07,11527.0,Umbrellas
