,date,value,name_B08B5XZVH3
0,2020-08-20,17455.0,Kiddie Pools
1,2020-08-21,16107.0,Kiddie Pools
2,2020-08-22,16107.0,Kiddie Pools
3,2020-08-23,16107.0,Kiddie Pools
4,2020-08-24,12017.0,Kiddie Pools
5,2020-08-25,12017.0,Kiddie Pools
6,2020-08-26,12017.0,Kiddie Pools
7,2020-08-27,13092.0,Kiddie Pools
8,2020-08-28,13092.0,Kiddie Pools
9,2020-08-29,10938.0,Kiddie Pools
10,2020-08-30,10938.0,Kiddie Pools
11,2020-08-31,10938.0,Kiddie Pools
12,2020-09-01,9397.0,Kiddie Pools
13,2020-09-02,7152.0,Kiddie Pools
14,2020-09-03,8211.0,Kiddie Pools
15,2020-09-04,15731.0,Kiddie Pools
16,2020-09-05,15731.0,Kiddie Pools
17,2020-09-06,15731.0,Kiddie Pools
18,2020-09-07,24919.0,Kiddie Pools
19,2020-09-08,17394.0,Kiddie Pools
20,2020-09-09,17394.0,Kiddie Pools
21,2020-09-10,17394.0,Kiddie Pools
22,2020-09-11,53148.0,Kiddie Pools
23,2020-09-12,53148.0,Kiddie Pools
24,2020-09-13,53148.0,Kiddie Pools
25,2020-09-14,57301.0,Kiddie Pools
26,2020-09-15,57301.0,Kiddie Pools
27,2020-09-16,57301.0,Kiddie Pools
28,2020-09-17,57301.0,Kiddie Pools
29,2020-09-18,57301.0,Kiddie Pools
30,2020-09-19,57301.0,Kiddie Pools
31,2020-09-20,75375.0,Kiddie Pools
32,2020-09-21,84117.0,Kiddie Pools
33,2020-09-22,84117.0,Kiddie Pools
34,2020-09-23,121291.0,Kiddie Pools
35,2020-09-24,121291.0,Kiddie Pools
36,2020-09-25,121291.0,Kiddie Pools
37,2020-09-26,121291.0,Kiddie Pools
38,2020-09-27,97252.0,Kiddie Pools
39,2020-09-28,97252.0,Kiddie Pools
40,2020-09-29,97252.0,Kiddie Pools
41,2020-09-30,97252.0,Kiddie Pools
42,2020-10-01,97252.0,Kiddie Pools
43,2020-10-02,97252.0,Kiddie Pools
44,2020-10-03,97252.0,Kiddie Pools
45,2020-10-04,97252.0,Kiddie Pools
46,2020-10-05,92852.0,Kiddie Pools
47,2020-10-06,92852.0,Kiddie Pools
48,2020-10-07,22111.0,Kiddie Pools
49,2020-10-08,20734.0,Kiddie Pools
50,2020-10-09,20734.0,Kiddie Pools
51,2020-10-10,24911.0,Kiddie Pools
52,2020-10-11,24911.0,Kiddie Pools
53,2020-10-12,24911.0,Kiddie Pools
54,2020-10-13,23794.0,Kiddie Pools
55,2020-10-14,23794.0,Kiddie Pools
56,2020-10-15,23794.0,Kiddie Pools
57,2020-10-16,21326.0,Kiddie Pools
58,2020-10-17,21326.0,Kiddie Pools
59,2020-10-18,21326.0,Kiddie Pools
60,2020-10-19,25089.0,Kiddie Pools
61,2020-10-20,25089.0,Kiddie Pools
62,2020-10-21,25089.0,Kiddie Pools
63,2020-10-22,41481.0,Kiddie Pools
64,2020-10-23,41481.0,Kiddie Pools
65,2020-10-24,33197.0,Kiddie Pools
66,2020-10-25,57233.0,Kiddie Pools
67,2020-10-26,57233.0,Kiddie Pools
68,2020-10-27,57233.0,Kiddie Pools
69,2020-10-28,57233.0,Kiddie Pools
70,2020-10-29,99335.0,Kiddie Pools
71,2020-10-30,99335.0,Kiddie Pools
72,2020-10-31,99335.0,Kiddie Pools
73,2020-11-01,99335.0,Kiddie Pools
74,2020-11-02,99335.0,Kiddie Pools
75,2020-11-03,99335.0,Kiddie Pools
76,2020-11-04,99335.0,Kiddie Pools
77,2020-11-05,99335.0,Kiddie Pools
78,2020-11-06,99335.0,Kiddie Pools
79,2020-11-07,99335.0,Kiddie Pools
80,2020-11-08,99335.0,Kiddie Pools
81,2020-11-09,99335.0,Kiddie Pools
82,2020-11-10,99335.0,Kiddie Pools
83,2020-11-11,99335.0,Kiddie Pools
84,2020-11-12,99335.0,Kiddie Pools
85,2020-11-13,99335.0,Kiddie Pools
86,2020-11-14,99335.0,Kiddie Pools
87,2020-11-15,99335.0,Kiddie Pools
88,2020-11-16,99335.0,Kiddie Pools
89,2020-11-17,99335.0,Kiddie Pools
90,2020-11-18,275010.0,Kiddie Pools
91,2020-11-19,275010.0,Kiddie Pools
92,2020-11-20,275010.0,Kiddie Pools
93,2020-11-21,275010.0,Kiddie Pools
94,2020-11-22,275010.0,Kiddie Pools
95,2020-11-23,275010.0,Kiddie Pools
96,2020-11-24,275010.0,Kiddie Pools
97,2020-11-25,275010.0,Kiddie Pools
98,2020-11-26,275010.0,Kiddie Pools
99,2020-11-27,275010.0,Kiddie Pools
100,2020-11-28,275010.0,Kiddie Pools
101,2020-11-29,275010.0,Kiddie Pools
102,2020-11-30,275010.0,Kiddie Pools
103,2020-12-01,275010.0,Kiddie Pools
104,2020-12-02,275010.0,Kiddie Pools
105,2020-12-03,275010.0,Kiddie Pools
106,2020-12-04,275010.0,Kiddie Pools
107,2020-12-05,275010.0,Kiddie Pools
108,2020-12-06,275010.0,Kiddie Pools
109,2020-12-07,430442.0,Kiddie Pools
110,2020-12-08,430442.0,Kiddie Pools
111,2020-12-09,430442.0,Kiddie Pools
112,2020-12-10,430442.0,Kiddie Pools
113,2020-12-11,430442.0,Kiddie Pools
114,2020-12-12,430442.0,Kiddie Pools
115,2020-12-13,430442.0,Kiddie Pools
116,2020-12-14,447148.0,Kiddie Pools
117,2020-12-15,447148.0,Kiddie Pools
118,2020-12-16,447148.0,Kiddie Pools
119,2020-12-17,447148.0,Kiddie Pools
120,2020-12-18,447148.0,Kiddie Pools
