,date,value,name_B08RBVQJJK
0,2021-01-04,63457.0,Plush Pillows
1,2021-01-05,63457.0,Plush Pillows
2,2021-01-06,63457.0,Plush Pillows
3,2021-01-07,63457.0,Plush Pillows
4,2021-01-08,149040.0,Plush Pillows
5,2021-01-09,149040.0,Plush Pillows
6,2021-01-10,149040.0,Plush Pillows
7,2021-01-11,149040.0,Plush Pillows
8,2021-01-12,279578.0,Plush Pillows
9,2021-01-13,279578.0,Plush Pillows
10,2021-01-14,279578.0,Plush Pillows
11,2021-01-15,307655.0,Plush Pillows
12,2021-01-16,307655.0,Plush Pillows
13,2021-01-17,307655.0,Plush Pillows
14,2021-01-18,307655.0,Plush Pillows
15,2021-01-19,307655.0,Plush Pillows
16,2021-01-20,307655.0,Plush Pillows
17,2021-01-21,116670.0,Plush Pillows
18,2021-01-22,116670.0,Plush Pillows
19,2021-01-23,116670.0,Plush Pillows
20,2021-01-24,116670.0,Plush Pillows
21,2021-01-25,61923.0,Plush Pillows
22,2021-01-26,61923.0,Plush Pillows
23,2021-01-27,61923.0,Plush Pillows
24,2021-01-28,80431.0,Plush Pillows
25,2021-01-29,80431.0,Plush Pillows
26,2021-01-30,80431.0,Plush Pillows
27,2021-01-31,80431.0,Plush Pillows
28,2021-02-01,80431.0,Plush Pillows
29,2021-02-02,23874.0,Plush Pillows
30,2021-02-03,13011.0,Plush Pillows
31,2021-02-04,9577.0,Plush Pillows
32,2021-02-05,9577.0,Plush Pillows
33,2021-02-06,6176.0,Plush Pillows
34,2021-02-07,3985.0,Plush Pillows
35,2021-02-08,3564.0,Plush Pillows
36,2021-02-09,3176.0,Plush Pillows
37,2021-02-10,3007.0,Plush Pillows
38,2021-02-11,3007.0,Plush Pillows
39,2021-02-12,3007.0,Plush Pillows
40,2021-02-13,3007.0,Plush Pillows
41,2021-02-14,3435.0,Plush Pillows
42,2021-02-15,3435.0,Plush Pillows
43,2021-02-16,5365.0,Plush Pillows
44,2021-02-17,5365.0,Plush Pillows
45,2021-02-18,8011.0,Plush Pillows
46,2021-02-19,12595.0,Plush Pillows
47,2021-02-20,12595.0,Plush Pillows
48,2021-02-21,12595.0,Plush Pillows
49,2021-02-22,8893.0,Plush Pillows
50,2021-02-23,8893.0,Plush Pillows
51,2021-02-24,8893.0,Plush Pillows
52,2021-02-25,14613.0,Plush Pillows
53,2021-02-26,14613.0,Plush Pillows
54,2021-02-27,14726.0,Plush Pillows
55,2021-02-28,14726.0,Plush Pillows
56,2021-03-01,14726.0,Plush Pillows
57,2021-03-02,14726.0,Plush Pillows
58,2021-03-03,25139.0,Plush Pillows
59,2021-03-04,26282.0,Plush Pillows
60,2021-03-05,26282.0,Plush Pillows
61,2021-03-06,26282.0,Plush Pillows
62,2021-03-07,23492.0,Plush Pillows
63,2021-03-08,23463.0,Plush Pillows
64,2021-03-09,23318.0,Plush Pillows
65,2021-03-10,23318.0,Plush Pillows
66,2021-03-11,23318.0,Plush Pillows
67,2021-03-12,20575.0,Plush Pillows
68,2021-03-13,20575.0,Plush Pillows
69,2021-03-14,20575.0,Plush Pillows
70,2021-03-15,20575.0,Plush Pillows
71,2021-03-16,20575.0,Plush Pillows
72,2021-03-17,26679.0,Plush Pillows
73,2021-03-18,26679.0,Plush Pillows
74,2021-03-19,26679.0,Plush Pillows
75,2021-03-20,21731.0,Plush Pillows
76,2021-03-21,21731.0,Plush Pillows
77,2021-03-22,26766.0,Plush Pillows
78,2021-03-23,26766.0,Plush Pillows
79,2021-03-24,23935.0,Plush Pillows
80,2021-03-25,23935.0,Plush Pillows
81,2021-03-26,17873.0,Plush Pillows
82,2021-03-27,17873.0,Plush Pillows
83,2021-03-28,17873.0,Plush Pillows
84,2021-03-29,17873.0,Plush Pillows
85,2021-03-30,11388.0,Plush Pillows
86,2021-03-31,11388.0,Plush Pillows
87,2021-04-01,11388.0,Plush Pillows
88,2021-04-02,12301.0,Plush Pillows
89,2021-04-03,12301.0,Plush Pillows
90,2021-04-04,12301.0,Plush Pillows
91,2021-04-05,3296.0,Plush Pillows
92,2021-04-06,3296.0,Plush Pillows
93,2021-04-07,5946.0,Plush Pillows
94,2021-04-08,5946.0,Plush Pillows
95,2021-04-09,5946.0,Plush Pillows
96,2021-04-10,14813.0,Plush Pillows
97,2021-04-11,14813.0,Plush Pillows
98,2021-04-12,14813.0,Plush Pillows
99,2021-04-13,20127.0,Plush Pillows
100,2021-04-14,20127.0,Plush Pillows
101,2021-04-15,20127.0,Plush Pillows
102,2021-04-16,31629.0,Plush Pillows
103,2021-04-17,31629.0,Plush Pillows
104,2021-04-18,31629.0,Plush Pillows
105,2021-04-19,31629.0,Plush Pillows
106,2021-04-20,54097.0,Plush Pillows
107,2021-04-21,48329.0,Plush Pillows
108,2021-04-22,75884.0,Plush Pillows
109,2021-04-23,75884.0,Plush Pillows
110,2021-04-24,75884.0,Plush Pillows
111,2021-04-25,72673.0,Plush Pillows
112,2021-04-26,72673.0,Plush Pillows
113,2021-04-27,72673.0,Plush Pillows
114,2021-04-28,32698.0,Plush Pillows
115,2021-04-29,35533.0,Plush Pillows
116,2021-04-30,35533.0,Plush Pillows
117,2021-05-01,19062.0,Plush Pillows
118,2021-05-02,32022.0,Plush Pillows
119,2021-05-03,32022.0,Plush Pillows
120,2021-05-04,32022.0,Plush Pillows
121,2021-05-05,31407.0,Plush Pillows
122,2021-05-06,31407.0,Plush Pillows
123,2021-05-07,31407.0,Plush Pillows
124,2021-05-08,14785.0,Plush Pillows
125,2021-05-09,14785.0,Plush Pillows
126,2021-05-10,12613.0,Plush Pillows
127,2021-05-11,12613.0,Plush Pillows
128,2021-05-12,12613.0,Plush Pillows
129,2021-05-13,12635.0,Plush Pillows
130,2021-05-14,19732.0,Plush Pillows
131,2021-05-15,19732.0,Plush Pillows
132,2021-05-16,19732.0,Plush Pillows
133,2021-05-17,6362.0,Plush Pillows
134,2021-05-18,7147.0,Plush Pillows
135,2021-05-19,7147.0,Plush Pillows
136,2021-05-20,11178.0,Plush Pillows
137,2021-05-21,11178.0,Plush Pillows
138,2021-05-22,6982.0,Plush Pillows
139,2021-05-23,6982.0,Plush Pillows
140,2021-05-24,6982.0,Plush Pillows
141,2021-05-25,7613.0,Plush Pillows
142,2021-05-26,7613.0,Plush Pillows
143,2021-05-27,4582.0,Plush Pillows
144,2021-05-28,5337.0,Plush Pillows
145,2021-05-29,4353.0,Plush Pillows
146,2021-05-30,4353.0,Plush Pillows
147,2021-05-31,4675.0,Plush Pillows
148,2021-06-01,4793.0,Plush Pillows
149,2021-06-02,4727.0,Plush Pillows
150,2021-06-03,5290.0,Plush Pillows
151,2021-06-04,5763.0,Plush Pillows
