,date,value,name_B08N5Y94T6
0,2020-11-17,5081.0,Pots
1,2020-11-18,5081.0,Pots
2,2020-11-19,4285.0,Pots
3,2020-11-20,5681.0,Pots
4,2020-11-21,5681.0,Pots
5,2020-11-22,5681.0,Pots
6,2020-11-23,6283.0,Pots
7,2020-11-24,6283.0,Pots
8,2020-11-25,10451.0,Pots
9,2020-11-26,8942.0,Pots
10,2020-11-27,9153.0,Pots
11,2020-11-28,9153.0,Pots
12,2020-11-29,9153.0,Pots
13,2020-11-30,16587.0,Pots
14,2020-12-01,17376.0,Pots
15,2020-12-02,17376.0,Pots
16,2020-12-03,17376.0,Pots
17,2020-12-04,13087.0,Pots
18,2020-12-05,13087.0,Pots
19,2020-12-06,13087.0,Pots
20,2020-12-07,4177.0,Pots
21,2020-12-08,4177.0,Pots
22,2020-12-09,4177.0,Pots
23,2020-12-10,9725.0,Pots
24,2020-12-11,9725.0,Pots
25,2020-12-12,9725.0,Pots
26,2020-12-13,9725.0,Pots
27,2020-12-14,7218.0,Pots
28,2020-12-15,7455.0,Pots
29,2020-12-16,7455.0,Pots
30,2020-12-17,7455.0,Pots
31,2020-12-18,7484.0,Pots
32,2020-12-19,7393.0,Pots
33,2020-12-20,7393.0,Pots
34,2020-12-21,9243.0,Pots
35,2020-12-22,4487.0,Pots
36,2020-12-23,4487.0,Pots
37,2020-12-24,6584.0,Pots
38,2020-12-25,6584.0,Pots
39,2020-12-26,6584.0,Pots
40,2020-12-27,4069.0,Pots
41,2020-12-28,3464.0,Pots
42,2020-12-29,3464.0,Pots
43,2020-12-30,3464.0,Pots
44,2020-12-31,4549.0,Pots
45,2021-01-01,4549.0,Pots
46,2021-01-02,4549.0,Pots
47,2021-01-03,5086.0,Pots
48,2021-01-04,5086.0,Pots
49,2021-01-05,5086.0,Pots
50,2021-01-06,5462.0,Pots
51,2021-01-07,5462.0,Pots
52,2021-01-08,12145.0,Pots
53,2021-01-09,12145.0,Pots
54,2021-01-10,10286.0,Pots
55,2021-01-11,10286.0,Pots
56,2021-01-12,8972.0,Pots
57,2021-01-13,8972.0,Pots
58,2021-01-14,8465.0,Pots
59,2021-01-15,8465.0,Pots
60,2021-01-16,5199.0,Pots
61,2021-01-17,5199.0,Pots
62,2021-01-18,5199.0,Pots
63,2021-01-19,7641.0,Pots
64,2021-01-20,7641.0,Pots
65,2021-01-21,7641.0,Pots
66,2021-01-22,9250.0,Pots
67,2021-01-23,9250.0,Pots
68,2021-01-24,9250.0,Pots
69,2021-01-25,13267.0,Pots
70,2021-01-26,9100.0,Pots
71,2021-01-27,9100.0,Pots
72,2021-01-28,9100.0,Pots
73,2021-01-29,12591.0,Pots
74,2021-01-30,12591.0,Pots
75,2021-01-31,12591.0,Pots
76,2021-02-01,10113.0,Pots
77,2021-02-02,10113.0,Pots
78,2021-02-03,10113.0,Pots
79,2021-02-04,11757.0,Pots
80,2021-02-05,11757.0,Pots
81,2021-02-06,11757.0,Pots
82,2021-02-07,11757.0,Pots
83,2021-02-08,8084.0,Pots
84,2021-02-09,10194.0,Pots
85,2021-02-10,10194.0,Pots
86,2021-02-11,10194.0,Pots
87,2021-02-12,10194.0,Pots
88,2021-02-13,10194.0,Pots
89,2021-02-14,10194.0,Pots
90,2021-02-15,37744.0,Pots
91,2021-02-16,37744.0,Pots
92,2021-02-17,37744.0,Pots
93,2021-02-18,49344.0,Pots
94,2021-02-19,49344.0,Pots
95,2021-02-20,49344.0,Pots
96,2021-02-21,49344.0,Pots
97,2021-02-22,14822.0,Pots
98,2021-02-23,13274.0,Pots
99,2021-02-24,13274.0,Pots
100,2021-02-25,13274.0,Pots
101,2021-02-26,19431.0,Pots
102,2021-02-27,20231.0,Pots
103,2021-02-28,20231.0,Pots
104,2021-03-01,20231.0,Pots
105,2021-03-02,15064.0,Pots
106,2021-03-03,15651.0,Pots
107,2021-03-04,15651.0,Pots
108,2021-03-05,15651.0,Pots
109,2021-03-06,15651.0,Pots
110,2021-03-07,15651.0,Pots
111,2021-03-08,16838.0,Pots
112,2021-03-09,16838.0,Pots
113,2021-03-10,16838.0,Pots
114,2021-03-11,9627.0,Pots
115,2021-03-12,9994.0,Pots
116,2021-03-13,9994.0,Pots
117,2021-03-14,9994.0,Pots
118,2021-03-15,7130.0,Pots
119,2021-03-16,7130.0,Pots
120,2021-03-17,5401.0,Pots
121,2021-03-18,5401.0,Pots
122,2021-03-19,5760.0,Pots
123,2021-03-20,5760.0,Pots
124,2021-03-21,5760.0,Pots
125,2021-03-22,5737.0,Pots
126,2021-03-23,5737.0,Pots
127,2021-03-24,4778.0,Pots
128,2021-03-25,4778.0,Pots
129,2021-03-26,4377.0,Pots
130,2021-03-27,4377.0,Pots
131,2021-03-28,4377.0,Pots
132,2021-03-29,5370.0,Pots
133,2021-03-30,5370.0,Pots
134,2021-03-31,5370.0,Pots
135,2021-04-01,11323.0,Pots
136,2021-04-02,11323.0,Pots
137,2021-04-03,13599.0,Pots
138,2021-04-04,13599.0,Pots
139,2021-04-05,13599.0,Pots
140,2021-04-06,35066.0,Pots
141,2021-04-07,28250.0,Pots
142,2021-04-08,28250.0,Pots
143,2021-04-09,21532.0,Pots
144,2021-04-10,21532.0,Pots
145,2021-04-11,21532.0,Pots
146,2021-04-12,48653.0,Pots
147,2021-04-13,48653.0,Pots
148,2021-04-14,17488.0,Pots
149,2021-04-15,17488.0,Pots
150,2021-04-16,17488.0,Pots
151,2021-04-17,17488.0,Pots
152,2021-04-18,17488.0,Pots
153,2021-04-19,8966.0,Pots
154,2021-04-20,8966.0,Pots
155,2021-04-21,8966.0,Pots
156,2021-04-22,6378.0,Pots
157,2021-04-23,6378.0,Pots
158,2021-04-24,5174.0,Pots
159,2021-04-25,5174.0,Pots
160,2021-04-26,4158.0,Pots
161,2021-04-27,4158.0,Pots
162,2021-04-28,4408.0,Pots
163,2021-04-29,4408.0,Pots
164,2021-04-30,3778.0,Pots
165,2021-05-01,3778.0,Pots
166,2021-05-02,3778.0,Pots
167,2021-05-03,4175.0,Pots
168,2021-05-04,4175.0,Pots
169,2021-05-05,3383.0,Pots
170,2021-05-06,4162.0,Pots
171,2021-05-07,4162.0,Pots
172,2021-05-08,5854.0,Pots
173,2021-05-09,6440.0,Pots
174,2021-05-10,5619.0,Pots
175,2021-05-11,5619.0,Pots
176,2021-05-12,5945.0,Pots
177,2021-05-13,4989.0,Pots
178,2021-05-14,4989.0,Pots
179,2021-05-15,4798.0,Pots
180,2021-05-16,4798.0,Pots
181,2021-05-17,3901.0,Pots
182,2021-05-18,3901.0,Pots
183,2021-05-19,2767.0,Pots
184,2021-05-20,2927.0,Pots
185,2021-05-21,2927.0,Pots
186,2021-05-22,3318.0,Pots
187,2021-05-23,3318.0,Pots
188,2021-05-24,4372.0,Pots
189,2021-05-25,4372.0,Pots
190,2021-05-26,3915.0,Pots
191,2021-05-27,3915.0,Pots
192,2021-05-28,3836.0,Pots
193,2021-05-29,3836.0,Pots
194,2021-05-30,3684.0,Pots
195,2021-05-31,3684.0,Pots
196,2021-06-01,3751.0,Pots
197,2021-06-02,3751.0,Pots
198,2021-06-03,3679.0,Pots
199,2021-06-04,3679.0,Pots
200,2021-06-05,3100.0,Pots
201,2021-06-06,3100.0,Pots
202,2021-06-07,4555.0,Pots
203,2021-06-08,4555.0,Pots
204,2021-06-09,4555.0,Pots
205,2021-06-10,3915.0,Pots
206,2021-06-11,3915.0,Pots
207,2021-06-12,3915.0,Pots
208,2021-06-13,4068.0,Pots
209,2021-06-14,4068.0,Pots
210,2021-06-15,4192.0,Pots
211,2021-06-16,4192.0,Pots
212,2021-06-17,3207.0,Pots
213,2021-06-18,3207.0,Pots
214,2021-06-19,4790.0,Pots
215,2021-06-20,4571.0,Pots
216,2021-06-21,4571.0,Pots
217,2021-06-22,4571.0,Pots
218,2021-06-23,2797.0,Pots
219,2021-06-24,2797.0,Pots
220,2021-06-25,4220.0,Pots
221,2021-06-26,4220.0,Pots
222,2021-06-27,4836.0,Pots
223,2021-06-28,4673.0,Pots
224,2021-06-29,4005.0,Pots
225,2021-06-30,4651.0,Pots
226,2021-07-01,4651.0,Pots
227,2021-07-02,5917.0,Pots
228,2021-07-03,5917.0,Pots
229,2021-07-04,5917.0,Pots
230,2021-07-05,4792.0,Pots
231,2021-07-06,4792.0,Pots
232,2021-07-07,4465.0,Pots
233,2021-07-08,4465.0,Pots
234,2021-07-09,4363.0,Pots
235,2021-07-10,4363.0,Pots
236,2021-07-11,4348.0,Pots
