,date,value,name_B07MGS8PRN
0,2018-12-29,101025.0,Aprons
1,2018-12-30,101025.0,Aprons
2,2018-12-31,101025.0,Aprons
3,2019-01-01,94894.0,Aprons
4,2019-01-02,94894.0,Aprons
5,2019-01-03,94894.0,Aprons
6,2019-01-04,94894.0,Aprons
7,2019-01-05,314460.0,Aprons
8,2019-01-06,314460.0,Aprons
9,2019-01-07,314460.0,Aprons
10,2019-01-08,159929.0,Aprons
11,2019-01-09,159929.0,Aprons
12,2019-01-10,159929.0,Aprons
13,2019-01-11,65782.0,Aprons
14,2019-01-12,65782.0,Aprons
15,2019-01-13,65782.0,Aprons
16,2019-01-14,266266.0,Aprons
17,2019-01-15,227048.0,Aprons
18,2019-01-16,227048.0,Aprons
19,2019-01-17,85753.0,Aprons
20,2019-01-18,99334.0,Aprons
21,2019-01-19,99334.0,Aprons
22,2019-01-20,131043.0,Aprons
23,2019-01-21,131043.0,Aprons
24,2019-01-22,250348.0,Aprons
25,2019-01-23,250348.0,Aprons
26,2019-01-24,250348.0,Aprons
27,2019-01-25,250348.0,Aprons
28,2019-01-26,250348.0,Aprons
29,2019-01-27,250348.0,Aprons
30,2019-01-28,122800.0,Aprons
31,2019-01-29,179170.0,Aprons
32,2019-01-30,179170.0,Aprons
33,2019-01-31,107099.0,Aprons
34,2019-02-01,107099.0,Aprons
35,2019-02-02,107099.0,Aprons
36,2019-02-03,107099.0,Aprons
37,2019-02-04,107099.0,Aprons
38,2019-02-05,161441.0,Aprons
39,2019-02-06,161441.0,Aprons
40,2019-02-07,128591.0,Aprons
41,2019-02-08,128591.0,Aprons
42,2019-02-09,101013.0,Aprons
43,2019-02-10,101013.0,Aprons
44,2019-02-11,154983.0,Aprons
45,2019-02-12,154983.0,Aprons
46,2019-02-13,154983.0,Aprons
47,2019-02-14,154983.0,Aprons
48,2019-02-15,114618.0,Aprons
49,2019-02-16,114618.0,Aprons
50,2019-02-17,114618.0,Aprons
51,2019-02-18,157530.0,Aprons
