,date,value,name_B07S37RXBM
0,2020-05-22,518.0,Seat Covers
1,2020-05-23,583.0,Seat Covers
2,2020-05-24,617.0,Seat Covers
3,2020-05-25,632.0,Seat Covers
4,2020-05-26,569.0,Seat Covers
5,2020-05-27,641.0,Seat Covers
6,2020-05-28,622.0,Seat Covers
7,2020-05-29,567.0,Seat Covers
8,2020-05-30,521.0,Seat Covers
9,2020-05-31,589.0,Seat Covers
10,2020-06-01,526.0,Seat Covers
11,2020-06-02,438.0,Seat Covers
12,2020-06-03,438.0,Seat Covers
13,2020-06-04,523.0,Seat Covers
14,2020-06-05,608.0,Seat Covers
15,2020-06-06,481.0,Seat Covers
16,2020-06-07,458.0,Seat Covers
17,2020-06-08,397.0,Seat Covers
18,2020-06-09,643.0,Seat Covers
19,2020-06-10,644.0,Seat Covers
20,2020-06-11,644.0,Seat Covers
21,2020-06-12,604.0,Seat Covers
22,2020-06-13,604.0,Seat Covers
23,2020-06-14,604.0,Seat Covers
24,2020-06-15,599.0,Seat Covers
25,2020-06-16,603.0,Seat Covers
26,2020-06-17,603.0,Seat Covers
27,2020-06-18,1679.0,Seat Covers
28,2020-06-19,1679.0,Seat Covers
29,2020-06-20,1549.0,Seat Covers
30,2020-06-21,1663.0,Seat Covers
31,2020-06-22,1072.0,Seat Covers
32,2020-06-23,922.0,Seat Covers
33,2020-06-24,790.0,Seat Covers
34,2020-06-25,575.0,Seat Covers
35,2020-06-26,575.0,Seat Covers
36,2020-06-27,630.0,Seat Covers
37,2020-06-28,548.0,Seat Covers
38,2020-06-29,455.0,Seat Covers
39,2020-06-30,480.0,Seat Covers
40,2020-07-01,475.0,Seat Covers
41,2020-07-02,441.0,Seat Covers
42,2020-07-03,541.0,Seat Covers
43,2020-07-04,514.0,Seat Covers
44,2020-07-05,514.0,Seat Covers
45,2020-07-06,495.0,Seat Covers
46,2020-07-07,495.0,Seat Covers
47,2020-07-08,495.0,Seat Covers
48,2020-07-09,428.0,Seat Covers
49,2020-07-10,517.0,Seat Covers
50,2020-07-11,540.0,Seat Covers
51,2020-07-12,518.0,Seat Covers
52,2020-07-13,470.0,Seat Covers
53,2020-07-14,475.0,Seat Covers
54,2020-07-15,576.0,Seat Covers
55,2020-07-16,645.0,Seat Covers
56,2020-07-17,602.0,Seat Covers
57,2020-07-18,602.0,Seat Covers
58,2020-07-19,662.0,Seat Covers
59,2020-07-20,682.0,Seat Covers
60,2020-07-21,682.0,Seat Covers
61,2020-07-22,870.0,Seat Covers
62,2020-07-23,980.0,Seat Covers
63,2020-07-24,907.0,Seat Covers
64,2020-07-25,1110.0,Seat Covers
65,2020-07-26,1110.0,Seat Covers
66,2020-07-27,1110.0,Seat Covers
67,2020-07-28,1166.0,Seat Covers
68,2020-07-29,1236.0,Seat Covers
69,2020-07-30,1535.0,Seat Covers
70,2020-07-31,1535.0,Seat Covers
71,2020-08-01,1535.0,Seat Covers
72,2020-08-02,1296.0,Seat Covers
73,2020-08-03,1296.0,Seat Covers
74,2020-08-04,1183.0,Seat Covers
75,2020-08-05,1080.0,Seat Covers
76,2020-08-06,979.0,Seat Covers
77,2020-08-07,977.0,Seat Covers
78,2020-08-08,998.0,Seat Covers
79,2020-08-09,748.0,Seat Covers
80,2020-08-10,851.0,Seat Covers
81,2020-08-11,851.0,Seat Covers
82,2020-08-12,835.0,Seat Covers
83,2020-08-13,720.0,Seat Covers
84,2020-08-14,791.0,Seat Covers
85,2020-08-15,874.0,Seat Covers
86,2020-08-16,874.0,Seat Covers
87,2020-08-17,853.0,Seat Covers
88,2020-08-18,853.0,Seat Covers
89,2020-08-19,930.0,Seat Covers
90,2020-08-20,879.0,Seat Covers
91,2020-08-21,856.0,Seat Covers
92,2020-08-22,839.0,Seat Covers
93,2020-08-23,890.0,Seat Covers
94,2020-08-24,792.0,Seat Covers
95,2020-08-25,714.0,Seat Covers
96,2020-08-26,845.0,Seat Covers
97,2020-08-27,915.0,Seat Covers
98,2020-08-28,824.0,Seat Covers
99,2020-08-29,856.0,Seat Covers
100,2020-08-30,856.0,Seat Covers
101,2020-08-31,774.0,Seat Covers
102,2020-09-01,874.0,Seat Covers
103,2020-09-02,841.0,Seat Covers
104,2020-09-03,841.0,Seat Covers
105,2020-09-04,791.0,Seat Covers
106,2020-09-05,882.0,Seat Covers
107,2020-09-06,941.0,Seat Covers
108,2020-09-07,730.0,Seat Covers
109,2020-09-08,747.0,Seat Covers
110,2020-09-09,930.0,Seat Covers
111,2020-09-10,930.0,Seat Covers
112,2020-09-11,869.0,Seat Covers
113,2020-09-12,809.0,Seat Covers
114,2020-09-13,738.0,Seat Covers
115,2020-09-14,665.0,Seat Covers
116,2020-09-15,906.0,Seat Covers
117,2020-09-16,898.0,Seat Covers
118,2020-09-17,898.0,Seat Covers
119,2020-09-18,813.0,Seat Covers
120,2020-09-19,833.0,Seat Covers
121,2020-09-20,831.0,Seat Covers
122,2020-09-21,657.0,Seat Covers
123,2020-09-22,779.0,Seat Covers
124,2020-09-23,827.0,Seat Covers
125,2020-09-24,635.0,Seat Covers
126,2020-09-25,716.0,Seat Covers
127,2020-09-26,788.0,Seat Covers
128,2020-09-27,722.0,Seat Covers
129,2020-09-28,648.0,Seat Covers
130,2020-09-29,779.0,Seat Covers
131,2020-09-30,973.0,Seat Covers
132,2020-10-01,851.0,Seat Covers
133,2020-10-02,1116.0,Seat Covers
134,2020-10-03,1093.0,Seat Covers
135,2020-10-04,878.0,Seat Covers
136,2020-10-05,793.0,Seat Covers
137,2020-10-06,753.0,Seat Covers
138,2020-10-07,753.0,Seat Covers
139,2020-10-08,832.0,Seat Covers
140,2020-10-09,832.0,Seat Covers
141,2020-10-10,848.0,Seat Covers
142,2020-10-11,848.0,Seat Covers
143,2020-10-12,712.0,Seat Covers
