,date,value,name_B082NY2PNF
0,2019-12-17,30507.0,Tablecloths
1,2019-12-18,30507.0,Tablecloths
2,2019-12-19,30507.0,Tablecloths
3,2019-12-20,14805.0,Tablecloths
4,2019-12-21,14127.0,Tablecloths
5,2019-12-22,12243.0,Tablecloths
6,2019-12-23,14976.0,Tablecloths
7,2019-12-24,14976.0,Tablecloths
8,2019-12-25,14264.0,Tablecloths
9,2019-12-26,19163.0,Tablecloths
10,2019-12-27,19163.0,Tablecloths
11,2019-12-28,7201.0,Tablecloths
12,2019-12-29,7201.0,Tablecloths
13,2019-12-30,7201.0,Tablecloths
14,2019-12-31,10911.0,Tablecloths
15,2020-01-01,10911.0,Tablecloths
16,2020-01-02,12389.0,Tablecloths
17,2020-01-03,12389.0,Tablecloths
18,2020-01-04,12389.0,Tablecloths
19,2020-01-05,12087.0,Tablecloths
20,2020-01-06,12087.0,Tablecloths
21,2020-01-07,9954.0,Tablecloths
22,2020-01-08,9819.0,Tablecloths
23,2020-01-09,9819.0,Tablecloths
24,2020-01-10,8767.0,Tablecloths
25,2020-01-11,6728.0,Tablecloths
26,2020-01-12,7713.0,Tablecloths
27,2020-01-13,7713.0,Tablecloths
28,2020-01-14,6749.0,Tablecloths
29,2020-01-15,9724.0,Tablecloths
30,2020-01-16,9724.0,Tablecloths
31,2020-01-17,9724.0,Tablecloths
32,2020-01-18,9724.0,Tablecloths
33,2020-01-19,9724.0,Tablecloths
34,2020-01-20,13155.0,Tablecloths
35,2020-01-21,10241.0,Tablecloths
36,2020-01-22,10241.0,Tablecloths
37,2020-01-23,10241.0,Tablecloths
38,2020-01-24,5090.0,Tablecloths
39,2020-01-25,5090.0,Tablecloths
40,2020-01-26,11211.0,Tablecloths
41,2020-01-27,11211.0,Tablecloths
42,2020-01-28,11211.0,Tablecloths
43,2020-01-29,10084.0,Tablecloths
44,2020-01-30,10084.0,Tablecloths
45,2020-01-31,6635.0,Tablecloths
46,2020-02-01,6635.0,Tablecloths
47,2020-02-02,6635.0,Tablecloths
48,2020-02-03,6635.0,Tablecloths
49,2020-02-04,6635.0,Tablecloths
50,2020-02-05,6635.0,Tablecloths
51,2020-02-06,5793.0,Tablecloths
52,2020-02-07,5793.0,Tablecloths
53,2020-02-08,5793.0,Tablecloths
54,2020-02-09,5793.0,Tablecloths
55,2020-02-10,5793.0,Tablecloths
56,2020-02-11,5793.0,Tablecloths
57,2020-02-12,5793.0,Tablecloths
58,2020-02-13,4806.0,Tablecloths
59,2020-02-14,4806.0,Tablecloths
60,2020-02-15,4806.0,Tablecloths
61,2020-02-16,4806.0,Tablecloths
62,2020-02-17,4806.0,Tablecloths
63,2020-02-18,4806.0,Tablecloths
64,2020-02-19,4806.0,Tablecloths
65,2020-02-20,4806.0,Tablecloths
66,2020-02-21,6793.0,Tablecloths
67,2020-02-22,6793.0,Tablecloths
68,2020-02-23,6793.0,Tablecloths
69,2020-02-24,6793.0,Tablecloths
70,2020-02-25,4891.0,Tablecloths
71,2020-02-26,4891.0,Tablecloths
72,2020-02-27,4891.0,Tablecloths
73,2020-02-28,4145.0,Tablecloths
74,2020-02-29,4145.0,Tablecloths
75,2020-03-01,6817.0,Tablecloths
76,2020-03-02,7810.0,Tablecloths
77,2020-03-03,7810.0,Tablecloths
78,2020-03-04,7810.0,Tablecloths
79,2020-03-05,7810.0,Tablecloths
80,2020-03-06,7810.0,Tablecloths
81,2020-03-07,6437.0,Tablecloths
82,2020-03-08,6437.0,Tablecloths
83,2020-03-09,6437.0,Tablecloths
84,2020-03-10,-1.0,Tablecloths
