,date,value,name_B085PY2HRL
0,2020-04-13,42184.0,Garden Hoses
1,2020-04-14,65332.0,Garden Hoses
2,2020-04-15,65332.0,Garden Hoses
3,2020-04-16,14645.0,Garden Hoses
4,2020-04-17,14645.0,Garden Hoses
5,2020-04-18,14645.0,Garden Hoses
6,2020-04-19,14645.0,Garden Hoses
7,2020-04-20,11261.0,Garden Hoses
8,2020-04-21,11261.0,Garden Hoses
9,2020-04-22,11261.0,Garden Hoses
10,2020-04-23,11261.0,Garden Hoses
11,2020-04-24,1985.0,Garden Hoses
12,2020-04-25,2658.0,Garden Hoses
13,2020-04-26,2658.0,Garden Hoses
14,2020-04-27,1111.0,Garden Hoses
15,2020-04-28,1111.0,Garden Hoses
16,2020-04-29,1111.0,Garden Hoses
17,2020-04-30,1910.0,Garden Hoses
18,2020-05-01,1910.0,Garden Hoses
19,2020-05-02,1803.0,Garden Hoses
20,2020-05-03,1803.0,Garden Hoses
21,2020-05-04,1803.0,Garden Hoses
22,2020-05-05,1329.0,Garden Hoses
23,2020-05-06,1329.0,Garden Hoses
24,2020-05-07,1504.0,Garden Hoses
25,2020-05-08,1504.0,Garden Hoses
26,2020-05-09,3430.0,Garden Hoses
27,2020-05-10,3430.0,Garden Hoses
28,2020-05-11,4610.0,Garden Hoses
29,2020-05-12,13389.0,Garden Hoses
30,2020-05-13,16460.0,Garden Hoses
31,2020-05-14,22947.0,Garden Hoses
32,2020-05-15,27377.0,Garden Hoses
33,2020-05-16,34202.0,Garden Hoses
34,2020-05-17,26526.0,Garden Hoses
35,2020-05-18,41950.0,Garden Hoses
36,2020-05-19,41950.0,Garden Hoses
37,2020-05-20,41950.0,Garden Hoses
38,2020-05-21,41950.0,Garden Hoses
39,2020-05-22,29953.0,Garden Hoses
40,2020-05-23,29953.0,Garden Hoses
41,2020-05-24,44076.0,Garden Hoses
42,2020-05-25,43746.0,Garden Hoses
43,2020-05-26,45812.0,Garden Hoses
44,2020-05-27,45812.0,Garden Hoses
45,2020-05-28,69436.0,Garden Hoses
46,2020-05-29,69436.0,Garden Hoses
47,2020-05-30,69436.0,Garden Hoses
48,2020-05-31,69436.0,Garden Hoses
49,2020-06-01,88524.0,Garden Hoses
50,2020-06-02,26530.0,Garden Hoses
51,2020-06-03,33661.0,Garden Hoses
52,2020-06-04,33661.0,Garden Hoses
53,2020-06-05,6001.0,Garden Hoses
54,2020-06-06,6001.0,Garden Hoses
55,2020-06-07,3683.0,Garden Hoses
56,2020-06-08,3683.0,Garden Hoses
57,2020-06-09,3683.0,Garden Hoses
58,2020-06-10,1055.0,Garden Hoses
59,2020-06-11,1055.0,Garden Hoses
60,2020-06-12,1055.0,Garden Hoses
61,2020-06-13,1022.0,Garden Hoses
62,2020-06-14,1022.0,Garden Hoses
63,2020-06-15,873.0,Garden Hoses
64,2020-06-16,885.0,Garden Hoses
65,2020-06-17,885.0,Garden Hoses
66,2020-06-18,1009.0,Garden Hoses
67,2020-06-19,1009.0,Garden Hoses
68,2020-06-20,1337.0,Garden Hoses
69,2020-06-21,1447.0,Garden Hoses
70,2020-06-22,1447.0,Garden Hoses
71,2020-06-23,1006.0,Garden Hoses
72,2020-06-24,687.0,Garden Hoses
73,2020-06-25,687.0,Garden Hoses
74,2020-06-26,845.0,Garden Hoses
75,2020-06-27,845.0,Garden Hoses
76,2020-06-28,845.0,Garden Hoses
77,2020-06-29,691.0,Garden Hoses
78,2020-06-30,691.0,Garden Hoses
79,2020-07-01,734.0,Garden Hoses
80,2020-07-02,734.0,Garden Hoses
81,2020-07-03,734.0,Garden Hoses
82,2020-07-04,734.0,Garden Hoses
83,2020-07-05,734.0,Garden Hoses
84,2020-07-06,805.0,Garden Hoses
85,2020-07-07,805.0,Garden Hoses
86,2020-07-08,805.0,Garden Hoses
87,2020-07-09,533.0,Garden Hoses
88,2020-07-10,533.0,Garden Hoses
89,2020-07-11,577.0,Garden Hoses
90,2020-07-12,577.0,Garden Hoses
91,2020-07-13,505.0,Garden Hoses
92,2020-07-14,505.0,Garden Hoses
93,2020-07-15,505.0,Garden Hoses
94,2020-07-16,405.0,Garden Hoses
95,2020-07-17,405.0,Garden Hoses
96,2020-07-18,543.0,Garden Hoses
97,2020-07-19,543.0,Garden Hoses
98,2020-07-20,543.0,Garden Hoses
99,2020-07-21,383.0,Garden Hoses
100,2020-07-22,383.0,Garden Hoses
101,2020-07-23,383.0,Garden Hoses
102,2020-07-24,616.0,Garden Hoses
103,2020-07-25,616.0,Garden Hoses
104,2020-07-26,616.0,Garden Hoses
105,2020-07-27,480.0,Garden Hoses
106,2020-07-28,480.0,Garden Hoses
107,2020-07-29,545.0,Garden Hoses
108,2020-07-30,545.0,Garden Hoses
109,2020-07-31,545.0,Garden Hoses
110,2020-08-01,634.0,Garden Hoses
111,2020-08-02,634.0,Garden Hoses
112,2020-08-03,634.0,Garden Hoses
113,2020-08-04,637.0,Garden Hoses
114,2020-08-05,637.0,Garden Hoses
115,2020-08-06,517.0,Garden Hoses
116,2020-08-07,517.0,Garden Hoses
117,2020-08-08,517.0,Garden Hoses
118,2020-08-09,653.0,Garden Hoses
119,2020-08-10,653.0,Garden Hoses
120,2020-08-11,653.0,Garden Hoses
121,2020-08-12,649.0,Garden Hoses
122,2020-08-13,649.0,Garden Hoses
123,2020-08-14,600.0,Garden Hoses
124,2020-08-15,675.0,Garden Hoses
125,2020-08-16,675.0,Garden Hoses
126,2020-08-17,608.0,Garden Hoses
127,2020-08-18,601.0,Garden Hoses
128,2020-08-19,614.0,Garden Hoses
129,2020-08-20,614.0,Garden Hoses
130,2020-08-21,634.0,Garden Hoses
131,2020-08-22,634.0,Garden Hoses
132,2020-08-23,694.0,Garden Hoses
133,2020-08-24,694.0,Garden Hoses
134,2020-08-25,694.0,Garden Hoses
135,2020-08-26,711.0,Garden Hoses
136,2020-08-27,711.0,Garden Hoses
137,2020-08-28,883.0,Garden Hoses
138,2020-08-29,824.0,Garden Hoses
139,2020-08-30,824.0,Garden Hoses
140,2020-08-31,960.0,Garden Hoses
141,2020-09-01,960.0,Garden Hoses
142,2020-09-02,960.0,Garden Hoses
143,2020-09-03,1326.0,Garden Hoses
144,2020-09-04,1326.0,Garden Hoses
145,2020-09-05,939.0,Garden Hoses
146,2020-09-06,939.0,Garden Hoses
147,2020-09-07,772.0,Garden Hoses
148,2020-09-08,772.0,Garden Hoses
149,2020-09-09,772.0,Garden Hoses
150,2020-09-10,967.0,Garden Hoses
151,2020-09-11,967.0,Garden Hoses
152,2020-09-12,834.0,Garden Hoses
153,2020-09-13,889.0,Garden Hoses
154,2020-09-14,900.0,Garden Hoses
155,2020-09-15,730.0,Garden Hoses
156,2020-09-16,730.0,Garden Hoses
157,2020-09-17,407.0,Garden Hoses
158,2020-09-18,407.0,Garden Hoses
159,2020-09-19,407.0,Garden Hoses
160,2020-09-20,361.0,Garden Hoses
161,2020-09-21,361.0,Garden Hoses
162,2020-09-22,361.0,Garden Hoses
163,2020-09-23,654.0,Garden Hoses
164,2020-09-24,547.0,Garden Hoses
165,2020-09-25,706.0,Garden Hoses
166,2020-09-26,473.0,Garden Hoses
167,2020-09-27,372.0,Garden Hoses
168,2020-09-28,330.0,Garden Hoses
169,2020-09-29,330.0,Garden Hoses
170,2020-09-30,330.0,Garden Hoses
171,2020-10-01,322.0,Garden Hoses
172,2020-10-02,348.0,Garden Hoses
173,2020-10-03,348.0,Garden Hoses
174,2020-10-04,348.0,Garden Hoses
175,2020-10-05,179.0,Garden Hoses
176,2020-10-06,224.0,Garden Hoses
177,2020-10-07,224.0,Garden Hoses
178,2020-10-08,224.0,Garden Hoses
179,2020-10-09,213.0,Garden Hoses
180,2020-10-10,213.0,Garden Hoses
181,2020-10-11,69.0,Garden Hoses
182,2020-10-12,118.0,Garden Hoses
183,2020-10-13,118.0,Garden Hoses
184,2020-10-14,80.0,Garden Hoses
185,2020-10-15,80.0,Garden Hoses
186,2020-10-16,80.0,Garden Hoses
187,2020-10-17,86.0,Garden Hoses
188,2020-10-18,86.0,Garden Hoses
189,2020-10-19,82.0,Garden Hoses
190,2020-10-20,49.0,Garden Hoses
191,2020-10-21,42.0,Garden Hoses
192,2020-10-22,35.0,Garden Hoses
193,2020-10-23,62.0,Garden Hoses
194,2020-10-24,62.0,Garden Hoses
195,2020-10-25,201.0,Garden Hoses
196,2020-10-26,201.0,Garden Hoses
197,2020-10-27,201.0,Garden Hoses
198,2020-10-28,226.0,Garden Hoses
199,2020-10-29,226.0,Garden Hoses
200,2020-10-30,224.0,Garden Hoses
201,2020-10-31,224.0,Garden Hoses
202,2020-11-01,224.0,Garden Hoses
203,2020-11-02,192.0,Garden Hoses
204,2020-11-03,258.0,Garden Hoses
205,2020-11-04,197.0,Garden Hoses
