,date,value,name_B08JB6QPDV
0,2020-09-18,53520.0,Barbecue Tool Sets
1,2020-09-19,53520.0,Barbecue Tool Sets
2,2020-09-20,53520.0,Barbecue Tool Sets
3,2020-09-21,40981.0,Barbecue Tool Sets
4,2020-09-22,40981.0,Barbecue Tool Sets
5,2020-09-23,40981.0,Barbecue Tool Sets
6,2020-09-24,40981.0,Barbecue Tool Sets
7,2020-09-25,80241.0,Barbecue Tool Sets
8,2020-09-26,80241.0,Barbecue Tool Sets
9,2020-09-27,80241.0,Barbecue Tool Sets
10,2020-09-28,125114.0,Barbecue Tool Sets
11,2020-09-29,130241.0,Barbecue Tool Sets
12,2020-09-30,130241.0,Barbecue Tool Sets
13,2020-10-01,130241.0,Barbecue Tool Sets
14,2020-10-02,130241.0,Barbecue Tool Sets
15,2020-10-03,130241.0,Barbecue Tool Sets
16,2020-10-04,130241.0,Barbecue Tool Sets
17,2020-10-05,130241.0,Barbecue Tool Sets
18,2020-10-06,87280.0,Barbecue Tool Sets
19,2020-10-07,39799.0,Barbecue Tool Sets
20,2020-10-08,39799.0,Barbecue Tool Sets
21,2020-10-09,39799.0,Barbecue Tool Sets
22,2020-10-10,39799.0,Barbecue Tool Sets
23,2020-10-11,39799.0,Barbecue Tool Sets
24,2020-10-12,142812.0,Barbecue Tool Sets
25,2020-10-13,64042.0,Barbecue Tool Sets
26,2020-10-14,64042.0,Barbecue Tool Sets
27,2020-10-15,78947.0,Barbecue Tool Sets
28,2020-10-16,78947.0,Barbecue Tool Sets
29,2020-10-17,78947.0,Barbecue Tool Sets
30,2020-10-18,78947.0,Barbecue Tool Sets
31,2020-10-19,78947.0,Barbecue Tool Sets
32,2020-10-20,167173.0,Barbecue Tool Sets
33,2020-10-21,167173.0,Barbecue Tool Sets
34,2020-10-22,176142.0,Barbecue Tool Sets
35,2020-10-23,176142.0,Barbecue Tool Sets
36,2020-10-24,176142.0,Barbecue Tool Sets
37,2020-10-25,176142.0,Barbecue Tool Sets
38,2020-10-26,63239.0,Barbecue Tool Sets
39,2020-10-27,63239.0,Barbecue Tool Sets
40,2020-10-28,63239.0,Barbecue Tool Sets
41,2020-10-29,41846.0,Barbecue Tool Sets
42,2020-10-30,41846.0,Barbecue Tool Sets
43,2020-10-31,41846.0,Barbecue Tool Sets
44,2020-11-01,41846.0,Barbecue Tool Sets
45,2020-11-02,41846.0,Barbecue Tool Sets
46,2020-11-03,41846.0,Barbecue Tool Sets
47,2020-11-04,164182.0,Barbecue Tool Sets
48,2020-11-05,164182.0,Barbecue Tool Sets
49,2020-11-06,164182.0,Barbecue Tool Sets
50,2020-11-07,44563.0,Barbecue Tool Sets
51,2020-11-08,44563.0,Barbecue Tool Sets
52,2020-11-09,44563.0,Barbecue Tool Sets
53,2020-11-10,44563.0,Barbecue Tool Sets
54,2020-11-11,44563.0,Barbecue Tool Sets
55,2020-11-12,44563.0,Barbecue Tool Sets
56,2020-11-13,44563.0,Barbecue Tool Sets
57,2020-11-14,44563.0,Barbecue Tool Sets
58,2020-11-15,44563.0,Barbecue Tool Sets
59,2020-11-16,56784.0,Barbecue Tool Sets
60,2020-11-17,56784.0,Barbecue Tool Sets
61,2020-11-18,56784.0,Barbecue Tool Sets
62,2020-11-19,93185.0,Barbecue Tool Sets
63,2020-11-20,93185.0,Barbecue Tool Sets
64,2020-11-21,75788.0,Barbecue Tool Sets
65,2020-11-22,75788.0,Barbecue Tool Sets
66,2020-11-23,75788.0,Barbecue Tool Sets
67,2020-11-24,43725.0,Barbecue Tool Sets
68,2020-11-25,43725.0,Barbecue Tool Sets
69,2020-11-26,43725.0,Barbecue Tool Sets
70,2020-11-27,43725.0,Barbecue Tool Sets
71,2020-11-28,43725.0,Barbecue Tool Sets
72,2020-11-29,43725.0,Barbecue Tool Sets
73,2020-11-30,43725.0,Barbecue Tool Sets
74,2020-12-01,43725.0,Barbecue Tool Sets
75,2020-12-02,46608.0,Barbecue Tool Sets
76,2020-12-03,88885.0,Barbecue Tool Sets
77,2020-12-04,88885.0,Barbecue Tool Sets
78,2020-12-05,88885.0,Barbecue Tool Sets
79,2020-12-06,88885.0,Barbecue Tool Sets
80,2020-12-07,133338.0,Barbecue Tool Sets
81,2020-12-08,133338.0,Barbecue Tool Sets
82,2020-12-09,133338.0,Barbecue Tool Sets
83,2020-12-10,133338.0,Barbecue Tool Sets
84,2020-12-11,72180.0,Barbecue Tool Sets
85,2020-12-12,72180.0,Barbecue Tool Sets
86,2020-12-13,72180.0,Barbecue Tool Sets
87,2020-12-14,72180.0,Barbecue Tool Sets
88,2020-12-15,72180.0,Barbecue Tool Sets
89,2020-12-16,29761.0,Barbecue Tool Sets
90,2020-12-17,29761.0,Barbecue Tool Sets
91,2020-12-18,29761.0,Barbecue Tool Sets
92,2020-12-19,29761.0,Barbecue Tool Sets
93,2020-12-20,4880.0,Barbecue Tool Sets
94,2020-12-21,4880.0,Barbecue Tool Sets
95,2020-12-22,4880.0,Barbecue Tool Sets
96,2020-12-23,2833.0,Barbecue Tool Sets
97,2020-12-24,2833.0,Barbecue Tool Sets
98,2020-12-25,2833.0,Barbecue Tool Sets
99,2020-12-26,8699.0,Barbecue Tool Sets
100,2020-12-27,8699.0,Barbecue Tool Sets
101,2020-12-28,8699.0,Barbecue Tool Sets
102,2020-12-29,20860.0,Barbecue Tool Sets
103,2020-12-30,20860.0,Barbecue Tool Sets
104,2020-12-31,20860.0,Barbecue Tool Sets
105,2021-01-01,20860.0,Barbecue Tool Sets
106,2021-01-02,20860.0,Barbecue Tool Sets
107,2021-01-03,20860.0,Barbecue Tool Sets
108,2021-01-04,79410.0,Barbecue Tool Sets
109,2021-01-05,79410.0,Barbecue Tool Sets
110,2021-01-06,31625.0,Barbecue Tool Sets
111,2021-01-07,31625.0,Barbecue Tool Sets
112,2021-01-08,31625.0,Barbecue Tool Sets
113,2021-01-09,69493.0,Barbecue Tool Sets
114,2021-01-10,69493.0,Barbecue Tool Sets
115,2021-01-11,69493.0,Barbecue Tool Sets
116,2021-01-12,79846.0,Barbecue Tool Sets
117,2021-01-13,83605.0,Barbecue Tool Sets
118,2021-01-14,83605.0,Barbecue Tool Sets
119,2021-01-15,83605.0,Barbecue Tool Sets
120,2021-01-16,83605.0,Barbecue Tool Sets
121,2021-01-17,83605.0,Barbecue Tool Sets
122,2021-01-18,119849.0,Barbecue Tool Sets
123,2021-01-19,119849.0,Barbecue Tool Sets
124,2021-01-20,119849.0,Barbecue Tool Sets
125,2021-01-21,85557.0,Barbecue Tool Sets
126,2021-01-22,85557.0,Barbecue Tool Sets
127,2021-01-23,85557.0,Barbecue Tool Sets
128,2021-01-24,85557.0,Barbecue Tool Sets
