,date,value,name_B07YYN74PR
0,2019-11-01,56029.0,Wine Glasses
1,2019-11-02,98224.0,Wine Glasses
2,2019-11-03,120529.0,Wine Glasses
3,2019-11-04,63194.0,Wine Glasses
4,2019-11-05,47372.0,Wine Glasses
5,2019-11-06,54975.0,Wine Glasses
6,2019-11-07,64888.0,Wine Glasses
7,2019-11-08,64888.0,Wine Glasses
8,2019-11-09,28730.0,Wine Glasses
9,2019-11-10,30239.0,Wine Glasses
10,2019-11-11,40327.0,Wine Glasses
11,2019-11-12,29981.0,Wine Glasses
12,2019-11-13,22647.0,Wine Glasses
13,2019-11-14,22647.0,Wine Glasses
14,2019-11-15,15483.0,Wine Glasses
15,2019-11-16,17075.0,Wine Glasses
16,2019-11-17,20046.0,Wine Glasses
17,2019-11-18,16406.0,Wine Glasses
18,2019-11-19,7481.0,Wine Glasses
19,2019-11-20,7438.0,Wine Glasses
20,2019-11-21,8764.0,Wine Glasses
21,2019-11-22,8764.0,Wine Glasses
22,2019-11-23,8764.0,Wine Glasses
23,2019-11-24,7531.0,Wine Glasses
24,2019-11-25,6187.0,Wine Glasses
25,2019-11-26,5412.0,Wine Glasses
26,2019-11-27,5370.0,Wine Glasses
27,2019-11-28,7685.0,Wine Glasses
28,2019-11-29,11743.0,Wine Glasses
29,2019-11-30,11177.0,Wine Glasses
30,2019-12-01,11177.0,Wine Glasses
31,2019-12-02,11177.0,Wine Glasses
32,2019-12-03,11177.0,Wine Glasses
33,2019-12-04,11177.0,Wine Glasses
34,2019-12-05,11177.0,Wine Glasses
35,2019-12-06,22696.0,Wine Glasses
36,2019-12-07,22696.0,Wine Glasses
37,2019-12-08,22696.0,Wine Glasses
38,2019-12-09,11605.0,Wine Glasses
39,2019-12-10,11605.0,Wine Glasses
40,2019-12-11,11605.0,Wine Glasses
41,2019-12-12,12524.0,Wine Glasses
42,2019-12-13,12524.0,Wine Glasses
43,2019-12-14,12524.0,Wine Glasses
44,2019-12-15,12524.0,Wine Glasses
45,2019-12-16,12524.0,Wine Glasses
46,2019-12-17,12524.0,Wine Glasses
47,2019-12-18,13186.0,Wine Glasses
48,2019-12-19,13186.0,Wine Glasses
49,2019-12-20,13186.0,Wine Glasses
50,2019-12-21,14377.0,Wine Glasses
51,2019-12-22,14377.0,Wine Glasses
52,2019-12-23,14377.0,Wine Glasses
53,2019-12-24,14377.0,Wine Glasses
54,2019-12-25,14377.0,Wine Glasses
55,2019-12-26,14377.0,Wine Glasses
56,2019-12-27,15612.0,Wine Glasses
57,2019-12-28,15612.0,Wine Glasses
58,2019-12-29,3405.0,Wine Glasses
59,2019-12-30,3405.0,Wine Glasses
60,2019-12-31,5658.0,Wine Glasses
61,2020-01-01,5658.0,Wine Glasses
62,2020-01-02,5658.0,Wine Glasses
63,2020-01-03,9076.0,Wine Glasses
64,2020-01-04,9076.0,Wine Glasses
65,2020-01-05,9076.0,Wine Glasses
66,2020-01-06,9076.0,Wine Glasses
67,2020-01-07,5640.0,Wine Glasses
68,2020-01-08,5640.0,Wine Glasses
69,2020-01-09,5640.0,Wine Glasses
70,2020-01-10,4606.0,Wine Glasses
71,2020-01-11,4606.0,Wine Glasses
72,2020-01-12,4606.0,Wine Glasses
73,2020-01-13,4606.0,Wine Glasses
74,2020-01-14,4606.0,Wine Glasses
75,2020-01-15,4618.0,Wine Glasses
76,2020-01-16,4618.0,Wine Glasses
77,2020-01-17,7138.0,Wine Glasses
78,2020-01-18,7138.0,Wine Glasses
79,2020-01-19,7138.0,Wine Glasses
80,2020-01-20,5184.0,Wine Glasses
81,2020-01-21,5184.0,Wine Glasses
82,2020-01-22,5184.0,Wine Glasses
83,2020-01-23,5184.0,Wine Glasses
84,2020-01-24,5184.0,Wine Glasses
85,2020-01-25,5184.0,Wine Glasses
86,2020-01-26,8412.0,Wine Glasses
87,2020-01-27,8412.0,Wine Glasses
88,2020-01-28,8412.0,Wine Glasses
89,2020-01-29,11552.0,Wine Glasses
90,2020-01-30,11552.0,Wine Glasses
91,2020-01-31,11552.0,Wine Glasses
92,2020-02-01,11552.0,Wine Glasses
93,2020-02-02,11552.0,Wine Glasses
94,2020-02-03,11552.0,Wine Glasses
95,2020-02-04,11552.0,Wine Glasses
96,2020-02-05,11552.0,Wine Glasses
97,2020-02-06,49340.0,Wine Glasses
98,2020-02-07,49340.0,Wine Glasses
99,2020-02-08,49340.0,Wine Glasses
100,2020-02-09,49340.0,Wine Glasses
101,2020-02-10,49340.0,Wine Glasses
102,2020-02-11,49340.0,Wine Glasses
103,2020-02-12,51746.0,Wine Glasses
104,2020-02-13,51746.0,Wine Glasses
105,2020-02-14,51746.0,Wine Glasses
106,2020-02-15,51746.0,Wine Glasses
107,2020-02-16,51746.0,Wine Glasses
108,2020-02-17,51746.0,Wine Glasses
109,2020-02-18,51746.0,Wine Glasses
110,2020-02-19,51746.0,Wine Glasses
