,date,value,name_B07ZTGT468
0,2019-11-03,19197.0,Sofa Slipcovers
1,2019-11-04,15107.0,Sofa Slipcovers
2,2019-11-05,16135.0,Sofa Slipcovers
3,2019-11-06,19968.0,Sofa Slipcovers
4,2019-11-07,18919.0,Sofa Slipcovers
5,2019-11-08,16097.0,Sofa Slipcovers
6,2019-11-09,12738.0,Sofa Slipcovers
7,2019-11-10,14003.0,Sofa Slipcovers
8,2019-11-11,12365.0,Sofa Slipcovers
9,2019-11-12,11915.0,Sofa Slipcovers
10,2019-11-13,15530.0,Sofa Slipcovers
11,2019-11-14,15206.0,Sofa Slipcovers
12,2019-11-15,16477.0,Sofa Slipcovers
13,2019-11-16,13126.0,Sofa Slipcovers
14,2019-11-17,12045.0,Sofa Slipcovers
15,2019-11-18,11978.0,Sofa Slipcovers
16,2019-11-19,13436.0,Sofa Slipcovers
17,2019-11-20,13436.0,Sofa Slipcovers
18,2019-11-21,13436.0,Sofa Slipcovers
19,2019-11-22,11527.0,Sofa Slipcovers
20,2019-11-23,11527.0,Sofa Slipcovers
21,2019-11-24,11527.0,Sofa Slipcovers
22,2019-11-25,11867.0,Sofa Slipcovers
23,2019-11-26,14979.0,Sofa Slipcovers
24,2019-11-27,15234.0,Sofa Slipcovers
25,2019-11-28,16528.0,Sofa Slipcovers
26,2019-11-29,21141.0,Sofa Slipcovers
27,2019-11-30,20871.0,Sofa Slipcovers
28,2019-12-01,20137.0,Sofa Slipcovers
29,2019-12-02,20155.0,Sofa Slipcovers
30,2019-12-03,20155.0,Sofa Slipcovers
31,2019-12-04,17883.0,Sofa Slipcovers
32,2019-12-05,16134.0,Sofa Slipcovers
33,2019-12-06,18245.0,Sofa Slipcovers
34,2019-12-07,18245.0,Sofa Slipcovers
35,2019-12-08,18245.0,Sofa Slipcovers
36,2019-12-09,18245.0,Sofa Slipcovers
37,2019-12-10,18245.0,Sofa Slipcovers
38,2019-12-11,20592.0,Sofa Slipcovers
39,2019-12-12,20592.0,Sofa Slipcovers
40,2019-12-13,20592.0,Sofa Slipcovers
41,2019-12-14,21882.0,Sofa Slipcovers
42,2019-12-15,21882.0,Sofa Slipcovers
43,2019-12-16,28485.0,Sofa Slipcovers
44,2019-12-17,28485.0,Sofa Slipcovers
45,2019-12-18,28485.0,Sofa Slipcovers
46,2019-12-19,20489.0,Sofa Slipcovers
47,2019-12-20,20489.0,Sofa Slipcovers
48,2019-12-21,20489.0,Sofa Slipcovers
49,2019-12-22,24488.0,Sofa Slipcovers
50,2019-12-23,24488.0,Sofa Slipcovers
51,2019-12-24,24488.0,Sofa Slipcovers
52,2019-12-25,21179.0,Sofa Slipcovers
53,2019-12-26,21179.0,Sofa Slipcovers
54,2019-12-27,21179.0,Sofa Slipcovers
55,2019-12-28,25281.0,Sofa Slipcovers
56,2019-12-29,21471.0,Sofa Slipcovers
57,2019-12-30,21471.0,Sofa Slipcovers
58,2019-12-31,21471.0,Sofa Slipcovers
59,2020-01-01,21471.0,Sofa Slipcovers
60,2020-01-02,12955.0,Sofa Slipcovers
61,2020-01-03,12955.0,Sofa Slipcovers
62,2020-01-04,12955.0,Sofa Slipcovers
63,2020-01-05,12955.0,Sofa Slipcovers
64,2020-01-06,13981.0,Sofa Slipcovers
65,2020-01-07,15831.0,Sofa Slipcovers
66,2020-01-08,15831.0,Sofa Slipcovers
67,2020-01-09,15831.0,Sofa Slipcovers
68,2020-01-10,15831.0,Sofa Slipcovers
69,2020-01-11,15831.0,Sofa Slipcovers
70,2020-01-12,15831.0,Sofa Slipcovers
71,2020-01-13,13192.0,Sofa Slipcovers
72,2020-01-14,13192.0,Sofa Slipcovers
73,2020-01-15,13192.0,Sofa Slipcovers
74,2020-01-16,13192.0,Sofa Slipcovers
75,2020-01-17,13192.0,Sofa Slipcovers
76,2020-01-18,13192.0,Sofa Slipcovers
77,2020-01-19,11992.0,Sofa Slipcovers
78,2020-01-20,15576.0,Sofa Slipcovers
79,2020-01-21,15576.0,Sofa Slipcovers
