,date,value,name_B07D36Q3Z7
0,2018-10-05,1444199.0,Throws
1,2018-10-06,1497868.0,Throws
2,2018-10-07,1546678.0,Throws
3,2018-10-08,1546678.0,Throws
4,2018-10-09,1641038.0,Throws
5,2018-10-10,1693386.0,Throws
6,2018-10-11,1750438.0,Throws
7,2018-10-12,1807939.0,Throws
8,2018-10-13,1880977.0,Throws
9,2018-10-14,1880977.0,Throws
10,2018-10-15,1880977.0,Throws
11,2018-10-16,2013568.0,Throws
12,2018-10-17,2038418.0,Throws
13,2018-10-18,2116314.0,Throws
14,2018-10-19,191685.0,Throws
15,2018-10-20,191685.0,Throws
16,2018-10-21,607577.0,Throws
17,2018-10-22,607577.0,Throws
18,2018-10-23,886855.0,Throws
19,2018-10-24,886855.0,Throws
20,2018-10-25,1092626.0,Throws
21,2018-10-26,1092626.0,Throws
22,2018-10-27,1345003.0,Throws
23,2018-10-28,1400070.0,Throws
24,2018-10-29,1450541.0,Throws
25,2018-10-30,1450541.0,Throws
26,2018-10-31,1450541.0,Throws
27,2018-11-01,1618968.0,Throws
28,2018-11-02,1674188.0,Throws
29,2018-11-03,1743640.0,Throws
30,2018-11-04,1808044.0,Throws
31,2018-11-05,1808044.0,Throws
32,2018-11-06,1808044.0,Throws
33,2018-11-07,1808044.0,Throws
34,2018-11-08,1808044.0,Throws
35,2018-11-09,1808044.0,Throws
36,2018-11-10,1808044.0,Throws
37,2018-11-11,1808044.0,Throws
38,2018-11-12,2242033.0,Throws
39,2018-11-13,2242033.0,Throws
40,2018-11-14,2343534.0,Throws
41,2018-11-15,2343534.0,Throws
42,2018-11-16,2343534.0,Throws
43,2018-11-17,2473203.0,Throws
44,2018-11-18,2527873.0,Throws
45,2018-11-19,2527873.0,Throws
46,2018-11-20,2599607.0,Throws
47,2018-11-21,2654791.0,Throws
48,2018-11-22,2654791.0,Throws
49,2018-11-23,2654791.0,Throws
50,2018-11-24,2788063.0,Throws
51,2018-11-25,2788063.0,Throws
52,2018-11-26,2839197.0,Throws
53,2018-11-27,2839197.0,Throws
54,2018-11-28,2839197.0,Throws
55,2018-11-29,2839197.0,Throws
56,2018-11-30,2839197.0,Throws
57,2018-12-01,2839197.0,Throws
58,2018-12-02,2839197.0,Throws
59,2018-12-03,2839197.0,Throws
60,2018-12-04,2839197.0,Throws
61,2018-12-05,787934.0,Throws
62,2018-12-06,787934.0,Throws
63,2018-12-07,787934.0,Throws
64,2018-12-08,787934.0,Throws
65,2018-12-09,787934.0,Throws
66,2018-12-10,787934.0,Throws
67,2018-12-11,787934.0,Throws
68,2018-12-12,787934.0,Throws
69,2018-12-13,787934.0,Throws
70,2018-12-14,1670560.0,Throws
71,2018-12-15,1670560.0,Throws
72,2018-12-16,1670560.0,Throws
73,2018-12-17,1670560.0,Throws
74,2018-12-18,1670560.0,Throws
75,2018-12-19,1670560.0,Throws
76,2018-12-20,1670560.0,Throws
77,2018-12-21,1670560.0,Throws
78,2018-12-22,1670560.0,Throws
79,2018-12-23,1670560.0,Throws
80,2018-12-24,1670560.0,Throws
81,2018-12-25,1670560.0,Throws
82,2018-12-26,1670560.0,Throws
83,2018-12-27,2203763.0,Throws
84,2018-12-28,2203763.0,Throws
85,2018-12-29,2203763.0,Throws
86,2018-12-30,2203763.0,Throws
87,2018-12-31,2203763.0,Throws
88,2019-01-01,2203763.0,Throws
89,2019-01-02,2203763.0,Throws
90,2019-01-03,2203763.0,Throws
91,2019-01-04,2203763.0,Throws
92,2019-01-05,2203763.0,Throws
93,2019-01-06,2203763.0,Throws
94,2019-01-07,2592804.0,Throws
95,2019-01-08,2592804.0,Throws
96,2019-01-09,2592804.0,Throws
97,2019-01-10,2592804.0,Throws
98,2019-01-11,2592804.0,Throws
99,2019-01-12,2592804.0,Throws
100,2019-01-13,2592804.0,Throws
101,2019-01-14,2592804.0,Throws
102,2019-01-15,2592804.0,Throws
103,2019-01-16,2592804.0,Throws
104,2019-01-17,2592804.0,Throws
105,2019-01-18,787001.0,Throws
106,2019-01-19,787001.0,Throws
107,2019-01-20,787001.0,Throws
108,2019-01-21,787001.0,Throws
109,2019-01-22,787001.0,Throws
110,2019-01-23,787001.0,Throws
111,2019-01-24,1518626.0,Throws
112,2019-01-25,1602933.0,Throws
113,2019-01-26,1602933.0,Throws
114,2019-01-27,1602933.0,Throws
115,2019-01-28,1602933.0,Throws
116,2019-01-29,1602933.0,Throws
117,2019-01-30,1602933.0,Throws
118,2019-01-31,1602933.0,Throws
119,2019-02-01,1933865.0,Throws
120,2019-02-02,1970654.0,Throws
121,2019-02-03,1970654.0,Throws
122,2019-02-04,1970654.0,Throws
123,2019-02-05,1970654.0,Throws
124,2019-02-06,1970654.0,Throws
125,2019-02-07,1970654.0,Throws
126,2019-02-08,1970654.0,Throws
127,2019-02-09,1970654.0,Throws
128,2019-02-10,2339290.0,Throws
129,2019-02-11,2390230.0,Throws
130,2019-02-12,2390230.0,Throws
131,2019-02-13,2433873.0,Throws
132,2019-02-14,2433873.0,Throws
133,2019-02-15,2433873.0,Throws
134,2019-02-16,2433873.0,Throws
135,2019-02-17,2433873.0,Throws
136,2019-02-18,2433873.0,Throws
137,2019-02-19,2433873.0,Throws
138,2019-02-20,1015406.0,Throws
139,2019-02-21,1202529.0,Throws
140,2019-02-22,1202529.0,Throws
141,2019-02-23,1202529.0,Throws
142,2019-02-24,1202529.0,Throws
143,2019-02-25,1202529.0,Throws
144,2019-02-26,1202529.0,Throws
145,2019-02-27,1202529.0,Throws
146,2019-02-28,1721795.0,Throws
147,2019-03-01,1721795.0,Throws
148,2019-03-02,1721795.0,Throws
149,2019-03-03,1877663.0,Throws
150,2019-03-04,1957138.0,Throws
151,2019-03-05,1957138.0,Throws
152,2019-03-06,1957138.0,Throws
153,2019-03-07,2101374.0,Throws
154,2019-03-08,2101374.0,Throws
155,2019-03-09,2101374.0,Throws
156,2019-03-10,2225245.0,Throws
157,2019-03-11,2225245.0,Throws
158,2019-03-12,2225245.0,Throws
159,2019-03-13,2225245.0,Throws
160,2019-03-14,2225245.0,Throws
161,2019-03-15,2225245.0,Throws
162,2019-03-16,2225245.0,Throws
163,2019-03-17,2225245.0,Throws
164,2019-03-18,505098.0,Throws
165,2019-03-19,505098.0,Throws
166,2019-03-20,505098.0,Throws
167,2019-03-21,505098.0,Throws
