,date,value,name_B088FQXDRY
0,2020-07-28,42288.0,Accessories
1,2020-07-29,42288.0,Accessories
2,2020-07-30,42288.0,Accessories
3,2020-07-31,42288.0,Accessories
4,2020-08-01,42288.0,Accessories
5,2020-08-02,42288.0,Accessories
6,2020-08-03,42288.0,Accessories
7,2020-08-04,42288.0,Accessories
8,2020-08-05,61891.0,Accessories
9,2020-08-06,61891.0,Accessories
10,2020-08-07,61891.0,Accessories
11,2020-08-08,103404.0,Accessories
12,2020-08-09,112083.0,Accessories
13,2020-08-10,123465.0,Accessories
14,2020-08-11,187365.0,Accessories
15,2020-08-12,187365.0,Accessories
16,2020-08-13,187365.0,Accessories
17,2020-08-14,187365.0,Accessories
18,2020-08-15,284632.0,Accessories
19,2020-08-16,284632.0,Accessories
20,2020-08-17,284632.0,Accessories
21,2020-08-18,284632.0,Accessories
22,2020-08-19,284632.0,Accessories
23,2020-08-20,284632.0,Accessories
24,2020-08-21,284632.0,Accessories
25,2020-08-22,284632.0,Accessories
26,2020-08-23,284632.0,Accessories
27,2020-08-24,284632.0,Accessories
28,2020-08-25,284632.0,Accessories
29,2020-08-26,77357.0,Accessories
30,2020-08-27,77357.0,Accessories
31,2020-08-28,77357.0,Accessories
32,2020-08-29,77357.0,Accessories
33,2020-08-30,77357.0,Accessories
34,2020-08-31,77357.0,Accessories
35,2020-09-01,77357.0,Accessories
36,2020-09-02,159691.0,Accessories
37,2020-09-03,159691.0,Accessories
38,2020-09-04,159691.0,Accessories
39,2020-09-05,159691.0,Accessories
40,2020-09-06,159691.0,Accessories
41,2020-09-07,159691.0,Accessories
42,2020-09-08,159691.0,Accessories
43,2020-09-09,159691.0,Accessories
44,2020-09-10,84804.0,Accessories
45,2020-09-11,84804.0,Accessories
46,2020-09-12,84804.0,Accessories
47,2020-09-13,108199.0,Accessories
48,2020-09-14,109776.0,Accessories
49,2020-09-15,109776.0,Accessories
50,2020-09-16,109776.0,Accessories
51,2020-09-17,109776.0,Accessories
52,2020-09-18,109776.0,Accessories
53,2020-09-19,109776.0,Accessories
54,2020-09-20,109776.0,Accessories
55,2020-09-21,109776.0,Accessories
56,2020-09-22,109776.0,Accessories
57,2020-09-23,80482.0,Accessories
58,2020-09-24,80482.0,Accessories
59,2020-09-25,80482.0,Accessories
60,2020-09-26,80482.0,Accessories
61,2020-09-27,74593.0,Accessories
62,2020-09-28,74593.0,Accessories
63,2020-09-29,74593.0,Accessories
64,2020-09-30,74593.0,Accessories
65,2020-10-01,74593.0,Accessories
66,2020-10-02,74593.0,Accessories
67,2020-10-03,74593.0,Accessories
68,2020-10-04,71525.0,Accessories
69,2020-10-05,71525.0,Accessories
70,2020-10-06,71525.0,Accessories
71,2020-10-07,71525.0,Accessories
72,2020-10-08,71525.0,Accessories
73,2020-10-09,102861.0,Accessories
74,2020-10-10,102861.0,Accessories
75,2020-10-11,102861.0,Accessories
76,2020-10-12,102861.0,Accessories
77,2020-10-13,102861.0,Accessories
78,2020-10-14,102861.0,Accessories
79,2020-10-15,136997.0,Accessories
80,2020-10-16,136997.0,Accessories
81,2020-10-17,136997.0,Accessories
82,2020-10-18,136997.0,Accessories
83,2020-10-19,136997.0,Accessories
84,2020-10-20,136997.0,Accessories
85,2020-10-21,101630.0,Accessories
86,2020-10-22,101630.0,Accessories
87,2020-10-23,101630.0,Accessories
88,2020-10-24,101630.0,Accessories
89,2020-10-25,101630.0,Accessories
90,2020-10-26,183363.0,Accessories
91,2020-10-27,183363.0,Accessories
92,2020-10-28,183363.0,Accessories
93,2020-10-29,183363.0,Accessories
94,2020-10-30,183363.0,Accessories
95,2020-10-31,183363.0,Accessories
96,2020-11-01,183363.0,Accessories
97,2020-11-02,183363.0,Accessories
98,2020-11-03,183363.0,Accessories
99,2020-11-04,183363.0,Accessories
100,2020-11-05,183363.0,Accessories
101,2020-11-06,183363.0,Accessories
102,2020-11-07,152829.0,Accessories
103,2020-11-08,152829.0,Accessories
104,2020-11-09,152829.0,Accessories
105,2020-11-10,152829.0,Accessories
106,2020-11-11,152829.0,Accessories
107,2020-11-12,152829.0,Accessories
