,date,value,name_B08YDNSV63
0,2021-03-24,34921.0,Shade Cloth
1,2021-03-25,34720.0,Shade Cloth
2,2021-03-26,34720.0,Shade Cloth
3,2021-03-27,34720.0,Shade Cloth
4,2021-03-28,34720.0,Shade Cloth
5,2021-03-29,38533.0,Shade Cloth
6,2021-03-30,48746.0,Shade Cloth
7,2021-03-31,48746.0,Shade Cloth
8,2021-04-01,48746.0,Shade Cloth
9,2021-04-02,48746.0,Shade Cloth
10,2021-04-03,38484.0,Shade Cloth
11,2021-04-04,40307.0,Shade Cloth
12,2021-04-05,40307.0,Shade Cloth
13,2021-04-06,40307.0,Shade Cloth
14,2021-04-07,40307.0,Shade Cloth
15,2021-04-08,43044.0,Shade Cloth
16,2021-04-09,43044.0,Shade Cloth
17,2021-04-10,43044.0,Shade Cloth
18,2021-04-11,43044.0,Shade Cloth
19,2021-04-12,43044.0,Shade Cloth
20,2021-04-13,45818.0,Shade Cloth
21,2021-04-14,45818.0,Shade Cloth
22,2021-04-15,78162.0,Shade Cloth
23,2021-04-16,78162.0,Shade Cloth
24,2021-04-17,78162.0,Shade Cloth
25,2021-04-18,57890.0,Shade Cloth
26,2021-04-19,57890.0,Shade Cloth
27,2021-04-20,57890.0,Shade Cloth
28,2021-04-21,47444.0,Shade Cloth
29,2021-04-22,66180.0,Shade Cloth
30,2021-04-23,99677.0,Shade Cloth
31,2021-04-24,99677.0,Shade Cloth
32,2021-04-25,99677.0,Shade Cloth
33,2021-04-26,99677.0,Shade Cloth
34,2021-04-27,44916.0,Shade Cloth
35,2021-04-28,44916.0,Shade Cloth
36,2021-04-29,26718.0,Shade Cloth
37,2021-04-30,17794.0,Shade Cloth
38,2021-05-01,20964.0,Shade Cloth
39,2021-05-02,17656.0,Shade Cloth
40,2021-05-03,17656.0,Shade Cloth
41,2021-05-04,21732.0,Shade Cloth
42,2021-05-05,21732.0,Shade Cloth
43,2021-05-06,19156.0,Shade Cloth
44,2021-05-07,19156.0,Shade Cloth
45,2021-05-08,18076.0,Shade Cloth
46,2021-05-09,15902.0,Shade Cloth
47,2021-05-10,15899.0,Shade Cloth
48,2021-05-11,15899.0,Shade Cloth
49,2021-05-12,15899.0,Shade Cloth
50,2021-05-13,14970.0,Shade Cloth
51,2021-05-14,14970.0,Shade Cloth
52,2021-05-15,14970.0,Shade Cloth
53,2021-05-16,19754.0,Shade Cloth
54,2021-05-17,17455.0,Shade Cloth
55,2021-05-18,17455.0,Shade Cloth
56,2021-05-19,17455.0,Shade Cloth
57,2021-05-20,19411.0,Shade Cloth
58,2021-05-21,19411.0,Shade Cloth
59,2021-05-22,19411.0,Shade Cloth
60,2021-05-23,19411.0,Shade Cloth
61,2021-05-24,21116.0,Shade Cloth
62,2021-05-25,21116.0,Shade Cloth
63,2021-05-26,18732.0,Shade Cloth
64,2021-05-27,18732.0,Shade Cloth
65,2021-05-28,18732.0,Shade Cloth
66,2021-05-29,13458.0,Shade Cloth
67,2021-05-30,11218.0,Shade Cloth
68,2021-05-31,11218.0,Shade Cloth
69,2021-06-01,11218.0,Shade Cloth
70,2021-06-02,12888.0,Shade Cloth
71,2021-06-03,12888.0,Shade Cloth
72,2021-06-04,11582.0,Shade Cloth
73,2021-06-05,13541.0,Shade Cloth
74,2021-06-06,15624.0,Shade Cloth
75,2021-06-07,15624.0,Shade Cloth
76,2021-06-08,15624.0,Shade Cloth
77,2021-06-09,15943.0,Shade Cloth
78,2021-06-10,15943.0,Shade Cloth
79,2021-06-11,8727.0,Shade Cloth
80,2021-06-12,8727.0,Shade Cloth
81,2021-06-13,8727.0,Shade Cloth
82,2021-06-14,8727.0,Shade Cloth
83,2021-06-15,7882.0,Shade Cloth
84,2021-06-16,7882.0,Shade Cloth
85,2021-06-17,8744.0,Shade Cloth
86,2021-06-18,8744.0,Shade Cloth
87,2021-06-19,8744.0,Shade Cloth
88,2021-06-20,8744.0,Shade Cloth
89,2021-06-21,9607.0,Shade Cloth
90,2021-06-22,9607.0,Shade Cloth
91,2021-06-23,7130.0,Shade Cloth
92,2021-06-24,7442.0,Shade Cloth
93,2021-06-25,7442.0,Shade Cloth
94,2021-06-26,7675.0,Shade Cloth
95,2021-06-27,7675.0,Shade Cloth
96,2021-06-28,7997.0,Shade Cloth
97,2021-06-29,10591.0,Shade Cloth
98,2021-06-30,11400.0,Shade Cloth
99,2021-07-01,12787.0,Shade Cloth
100,2021-07-02,12787.0,Shade Cloth
101,2021-07-03,10360.0,Shade Cloth
102,2021-07-04,10360.0,Shade Cloth
103,2021-07-05,13771.0,Shade Cloth
104,2021-07-06,14630.0,Shade Cloth
105,2021-07-07,14630.0,Shade Cloth
106,2021-07-08,14630.0,Shade Cloth
107,2021-07-09,14194.0,Shade Cloth
