,date,value,name_B08XMPZ2ND
0,2021-03-22,10812.0,Accessories
1,2021-03-23,12773.0,Accessories
2,2021-03-24,12773.0,Accessories
3,2021-03-25,12773.0,Accessories
4,2021-03-26,14881.0,Accessories
5,2021-03-27,9257.0,Accessories
6,2021-03-28,10277.0,Accessories
7,2021-03-29,10277.0,Accessories
8,2021-03-30,9593.0,Accessories
9,2021-03-31,10033.0,Accessories
10,2021-04-01,9470.0,Accessories
11,2021-04-02,9470.0,Accessories
12,2021-04-03,9470.0,Accessories
13,2021-04-04,9470.0,Accessories
14,2021-04-05,8781.0,Accessories
15,2021-04-06,8781.0,Accessories
16,2021-04-07,11449.0,Accessories
17,2021-04-08,12007.0,Accessories
18,2021-04-09,12079.0,Accessories
19,2021-04-10,12079.0,Accessories
20,2021-04-11,12079.0,Accessories
21,2021-04-12,11150.0,Accessories
22,2021-04-13,11150.0,Accessories
23,2021-04-14,14273.0,Accessories
24,2021-04-15,10641.0,Accessories
25,2021-04-16,7281.0,Accessories
26,2021-04-17,8898.0,Accessories
27,2021-04-18,8898.0,Accessories
28,2021-04-19,8898.0,Accessories
29,2021-04-20,10754.0,Accessories
30,2021-04-21,11713.0,Accessories
31,2021-04-22,11713.0,Accessories
32,2021-04-23,11713.0,Accessories
33,2021-04-24,10643.0,Accessories
34,2021-04-25,14918.0,Accessories
35,2021-04-26,14918.0,Accessories
36,2021-04-27,14215.0,Accessories
37,2021-04-28,14215.0,Accessories
38,2021-04-29,13553.0,Accessories
39,2021-04-30,13553.0,Accessories
40,2021-05-01,13553.0,Accessories
41,2021-05-02,13553.0,Accessories
42,2021-05-03,17016.0,Accessories
43,2021-05-04,17016.0,Accessories
44,2021-05-05,17016.0,Accessories
45,2021-05-06,15914.0,Accessories
46,2021-05-07,15914.0,Accessories
47,2021-05-08,15914.0,Accessories
48,2021-05-09,15914.0,Accessories
49,2021-05-10,9252.0,Accessories
50,2021-05-11,12039.0,Accessories
51,2021-05-12,12039.0,Accessories
52,2021-05-13,14398.0,Accessories
53,2021-05-14,14398.0,Accessories
54,2021-05-15,14398.0,Accessories
55,2021-05-16,14398.0,Accessories
56,2021-05-17,14398.0,Accessories
57,2021-05-18,12683.0,Accessories
58,2021-05-19,14355.0,Accessories
59,2021-05-20,14781.0,Accessories
60,2021-05-21,14781.0,Accessories
61,2021-05-22,14781.0,Accessories
62,2021-05-23,13054.0,Accessories
63,2021-05-24,11290.0,Accessories
64,2021-05-25,11290.0,Accessories
65,2021-05-26,11290.0,Accessories
66,2021-05-27,21669.0,Accessories
67,2021-05-28,19193.0,Accessories
68,2021-05-29,16598.0,Accessories
69,2021-05-30,16598.0,Accessories
70,2021-05-31,16598.0,Accessories
71,2021-06-01,12116.0,Accessories
72,2021-06-02,12116.0,Accessories
73,2021-06-03,12116.0,Accessories
74,2021-06-04,14585.0,Accessories
75,2021-06-05,11651.0,Accessories
76,2021-06-06,11651.0,Accessories
77,2021-06-07,16084.0,Accessories
78,2021-06-08,19880.0,Accessories
79,2021-06-09,13091.0,Accessories
80,2021-06-10,13091.0,Accessories
81,2021-06-11,14613.0,Accessories
82,2021-06-12,14613.0,Accessories
83,2021-06-13,14613.0,Accessories
84,2021-06-14,14613.0,Accessories
85,2021-06-15,16441.0,Accessories
86,2021-06-16,15594.0,Accessories
87,2021-06-17,15879.0,Accessories
88,2021-06-18,15879.0,Accessories
89,2021-06-19,15879.0,Accessories
90,2021-06-20,18367.0,Accessories
91,2021-06-21,20652.0,Accessories
92,2021-06-22,20652.0,Accessories
93,2021-06-23,20652.0,Accessories
94,2021-06-24,17397.0,Accessories
95,2021-06-25,20475.0,Accessories
96,2021-06-26,20098.0,Accessories
97,2021-06-27,20098.0,Accessories
98,2021-06-28,19961.0,Accessories
99,2021-06-29,23837.0,Accessories
100,2021-06-30,23837.0,Accessories
101,2021-07-01,26919.0,Accessories
102,2021-07-02,26919.0,Accessories
103,2021-07-03,26919.0,Accessories
104,2021-07-04,26919.0,Accessories
105,2021-07-05,26919.0,Accessories
106,2021-07-06,14818.0,Accessories
107,2021-07-07,14818.0,Accessories
108,2021-07-08,14818.0,Accessories
109,2021-07-09,9625.0,Accessories
