,date,value,name_B08175NC3Q
0,2019-12-17,805516.0,Shower Curtain Sets
1,2019-12-18,805516.0,Shower Curtain Sets
2,2019-12-19,805516.0,Shower Curtain Sets
3,2019-12-20,805516.0,Shower Curtain Sets
4,2019-12-21,591971.0,Shower Curtain Sets
5,2019-12-22,591971.0,Shower Curtain Sets
6,2019-12-23,591971.0,Shower Curtain Sets
7,2019-12-24,591971.0,Shower Curtain Sets
8,2019-12-25,591971.0,Shower Curtain Sets
9,2019-12-26,591971.0,Shower Curtain Sets
10,2019-12-27,591971.0,Shower Curtain Sets
11,2019-12-28,591971.0,Shower Curtain Sets
12,2019-12-29,591971.0,Shower Curtain Sets
13,2019-12-30,591971.0,Shower Curtain Sets
14,2019-12-31,591971.0,Shower Curtain Sets
15,2020-01-01,591971.0,Shower Curtain Sets
16,2020-01-02,591971.0,Shower Curtain Sets
17,2020-01-03,575394.0,Shower Curtain Sets
18,2020-01-04,575394.0,Shower Curtain Sets
19,2020-01-05,575394.0,Shower Curtain Sets
20,2020-01-06,575394.0,Shower Curtain Sets
21,2020-01-07,575394.0,Shower Curtain Sets
22,2020-01-08,575394.0,Shower Curtain Sets
23,2020-01-09,575394.0,Shower Curtain Sets
24,2020-01-10,575394.0,Shower Curtain Sets
25,2020-01-11,575394.0,Shower Curtain Sets
26,2020-01-12,684413.0,Shower Curtain Sets
27,2020-01-13,684413.0,Shower Curtain Sets
28,2020-01-14,684413.0,Shower Curtain Sets
29,2020-01-15,684413.0,Shower Curtain Sets
30,2020-01-16,684413.0,Shower Curtain Sets
31,2020-01-17,684413.0,Shower Curtain Sets
32,2020-01-18,684413.0,Shower Curtain Sets
33,2020-01-19,684413.0,Shower Curtain Sets
34,2020-01-20,684413.0,Shower Curtain Sets
35,2020-01-21,684413.0,Shower Curtain Sets
36,2020-01-22,684413.0,Shower Curtain Sets
37,2020-01-23,684413.0,Shower Curtain Sets
38,2020-01-24,143163.0,Shower Curtain Sets
39,2020-01-25,143163.0,Shower Curtain Sets
40,2020-01-26,143163.0,Shower Curtain Sets
41,2020-01-27,143163.0,Shower Curtain Sets
42,2020-01-28,143163.0,Shower Curtain Sets
43,2020-01-29,143163.0,Shower Curtain Sets
44,2020-01-30,143163.0,Shower Curtain Sets
45,2020-01-31,143163.0,Shower Curtain Sets
46,2020-02-01,197343.0,Shower Curtain Sets
47,2020-02-02,197343.0,Shower Curtain Sets
48,2020-02-03,197343.0,Shower Curtain Sets
49,2020-02-04,197343.0,Shower Curtain Sets
50,2020-02-05,197343.0,Shower Curtain Sets
51,2020-02-06,197343.0,Shower Curtain Sets
52,2020-02-07,197343.0,Shower Curtain Sets
53,2020-02-08,197343.0,Shower Curtain Sets
54,2020-02-09,197343.0,Shower Curtain Sets
55,2020-02-10,197343.0,Shower Curtain Sets
56,2020-02-11,197343.0,Shower Curtain Sets
57,2020-02-12,231008.0,Shower Curtain Sets
58,2020-02-13,231008.0,Shower Curtain Sets
59,2020-02-14,231008.0,Shower Curtain Sets
60,2020-02-15,231008.0,Shower Curtain Sets
61,2020-02-16,231008.0,Shower Curtain Sets
62,2020-02-17,231008.0,Shower Curtain Sets
63,2020-02-18,167707.0,Shower Curtain Sets
