,date,value,name_B081J3M4S4
0,2019-12-24,2213534.0,Bath Towels
1,2019-12-25,2213534.0,Bath Towels
2,2019-12-26,2213534.0,Bath Towels
3,2019-12-27,2213534.0,Bath Towels
4,2019-12-28,2213534.0,Bath Towels
5,2019-12-29,2213534.0,Bath Towels
6,2019-12-30,2213534.0,Bath Towels
7,2019-12-31,2213534.0,Bath Towels
8,2020-01-01,2213534.0,Bath Towels
9,2020-01-02,2213534.0,Bath Towels
10,2020-01-03,2213534.0,Bath Towels
11,2020-01-04,2213534.0,Bath Towels
12,2020-01-05,908211.0,Bath Towels
13,2020-01-06,908211.0,Bath Towels
14,2020-01-07,908211.0,Bath Towels
15,2020-01-08,908211.0,Bath Towels
16,2020-01-09,908211.0,Bath Towels
17,2020-01-10,908211.0,Bath Towels
18,2020-01-11,908211.0,Bath Towels
19,2020-01-12,908211.0,Bath Towels
20,2020-01-13,908211.0,Bath Towels
21,2020-01-14,908211.0,Bath Towels
22,2020-01-15,908211.0,Bath Towels
23,2020-01-16,908211.0,Bath Towels
24,2020-01-17,908211.0,Bath Towels
25,2020-01-18,908211.0,Bath Towels
26,2020-01-19,908211.0,Bath Towels
27,2020-01-20,908211.0,Bath Towels
28,2020-01-21,908211.0,Bath Towels
29,2020-01-22,550011.0,Bath Towels
30,2020-01-23,550011.0,Bath Towels
31,2020-01-24,550011.0,Bath Towels
32,2020-01-25,550011.0,Bath Towels
33,2020-01-26,550011.0,Bath Towels
34,2020-01-27,550011.0,Bath Towels
35,2020-01-28,550011.0,Bath Towels
36,2020-01-29,550011.0,Bath Towels
37,2020-01-30,413917.0,Bath Towels
38,2020-01-31,413917.0,Bath Towels
39,2020-02-01,413917.0,Bath Towels
40,2020-02-02,413917.0,Bath Towels
41,2020-02-03,413917.0,Bath Towels
42,2020-02-04,413917.0,Bath Towels
43,2020-02-05,413917.0,Bath Towels
44,2020-02-06,413917.0,Bath Towels
45,2020-02-07,413917.0,Bath Towels
46,2020-02-08,413917.0,Bath Towels
47,2020-02-09,102247.0,Bath Towels
48,2020-02-10,102247.0,Bath Towels
49,2020-02-11,102247.0,Bath Towels
50,2020-02-12,102247.0,Bath Towels
51,2020-02-13,102247.0,Bath Towels
52,2020-02-14,102247.0,Bath Towels
53,2020-02-15,102247.0,Bath Towels
54,2020-02-16,102247.0,Bath Towels
55,2020-02-17,102247.0,Bath Towels
56,2020-02-18,102247.0,Bath Towels
57,2020-02-19,102247.0,Bath Towels
58,2020-02-20,102247.0,Bath Towels
59,2020-02-21,184201.0,Bath Towels
60,2020-02-22,184201.0,Bath Towels
61,2020-02-23,184201.0,Bath Towels
62,2020-02-24,184201.0,Bath Towels
63,2020-02-25,184201.0,Bath Towels
64,2020-02-26,184201.0,Bath Towels
65,2020-02-27,184201.0,Bath Towels
66,2020-02-28,184201.0,Bath Towels
67,2020-02-29,184201.0,Bath Towels
68,2020-03-01,288305.0,Bath Towels
69,2020-03-02,288305.0,Bath Towels
70,2020-03-03,288305.0,Bath Towels
71,2020-03-04,288305.0,Bath Towels
72,2020-03-05,288305.0,Bath Towels
73,2020-03-06,288305.0,Bath Towels
74,2020-03-07,288305.0,Bath Towels
75,2020-03-08,288305.0,Bath Towels
76,2020-03-09,288305.0,Bath Towels
77,2020-03-10,288305.0,Bath Towels
78,2020-03-11,288305.0,Bath Towels
79,2020-03-12,288305.0,Bath Towels
80,2020-03-13,288305.0,Bath Towels
81,2020-03-14,288305.0,Bath Towels
82,2020-03-15,288305.0,Bath Towels
83,2020-03-16,288305.0,Bath Towels
84,2020-03-17,288305.0,Bath Towels
85,2020-03-18,288305.0,Bath Towels
86,2020-03-19,288305.0,Bath Towels
87,2020-03-20,288305.0,Bath Towels
88,2020-03-21,288305.0,Bath Towels
89,2020-03-22,288305.0,Bath Towels
90,2020-03-23,288305.0,Bath Towels
