,date,value,name_B07XCLFD2X
0,2019-10-07,457545.0,Wedges & Body Positioners
1,2019-10-08,432998.0,Wedges & Body Positioners
2,2019-10-09,345787.0,Wedges & Body Positioners
3,2019-10-10,267981.0,Wedges & Body Positioners
4,2019-10-11,287556.0,Wedges & Body Positioners
5,2019-10-12,112670.0,Wedges & Body Positioners
6,2019-10-13,64377.0,Wedges & Body Positioners
7,2019-10-14,105527.0,Wedges & Body Positioners
8,2019-10-15,73574.0,Wedges & Body Positioners
9,2019-10-16,81000.0,Wedges & Body Positioners
10,2019-10-17,88181.0,Wedges & Body Positioners
11,2019-10-18,123500.0,Wedges & Body Positioners
12,2019-10-19,96661.0,Wedges & Body Positioners
13,2019-10-20,150824.0,Wedges & Body Positioners
14,2019-10-21,138637.0,Wedges & Body Positioners
15,2019-10-22,152202.0,Wedges & Body Positioners
16,2019-10-23,190377.0,Wedges & Body Positioners
17,2019-10-24,204756.0,Wedges & Body Positioners
18,2019-10-25,150042.0,Wedges & Body Positioners
19,2019-10-26,181189.0,Wedges & Body Positioners
20,2019-10-27,156782.0,Wedges & Body Positioners
21,2019-10-28,128858.0,Wedges & Body Positioners
22,2019-10-29,97721.0,Wedges & Body Positioners
23,2019-10-30,99394.0,Wedges & Body Positioners
24,2019-10-31,87638.0,Wedges & Body Positioners
25,2019-11-01,89961.0,Wedges & Body Positioners
26,2019-11-02,89961.0,Wedges & Body Positioners
27,2019-11-03,89961.0,Wedges & Body Positioners
28,2019-11-04,59243.0,Wedges & Body Positioners
29,2019-11-05,59243.0,Wedges & Body Positioners
30,2019-11-06,69075.0,Wedges & Body Positioners
31,2019-11-07,69075.0,Wedges & Body Positioners
32,2019-11-08,69075.0,Wedges & Body Positioners
33,2019-11-09,69075.0,Wedges & Body Positioners
34,2019-11-10,69075.0,Wedges & Body Positioners
35,2019-11-11,100087.0,Wedges & Body Positioners
36,2019-11-12,100087.0,Wedges & Body Positioners
37,2019-11-13,61322.0,Wedges & Body Positioners
38,2019-11-14,61322.0,Wedges & Body Positioners
39,2019-11-15,92876.0,Wedges & Body Positioners
40,2019-11-16,92876.0,Wedges & Body Positioners
41,2019-11-17,92876.0,Wedges & Body Positioners
42,2019-11-18,67310.0,Wedges & Body Positioners
43,2019-11-19,75151.0,Wedges & Body Positioners
44,2019-11-20,97150.0,Wedges & Body Positioners
45,2019-11-21,90596.0,Wedges & Body Positioners
46,2019-11-22,64661.0,Wedges & Body Positioners
47,2019-11-23,64661.0,Wedges & Body Positioners
48,2019-11-24,64661.0,Wedges & Body Positioners
49,2019-11-25,64661.0,Wedges & Body Positioners
50,2019-11-26,83496.0,Wedges & Body Positioners
51,2019-11-27,83496.0,Wedges & Body Positioners
52,2019-11-28,83496.0,Wedges & Body Positioners
53,2019-11-29,83496.0,Wedges & Body Positioners
54,2019-11-30,83496.0,Wedges & Body Positioners
55,2019-12-01,83496.0,Wedges & Body Positioners
56,2019-12-02,52161.0,Wedges & Body Positioners
57,2019-12-03,52161.0,Wedges & Body Positioners
58,2019-12-04,52161.0,Wedges & Body Positioners
59,2019-12-05,52161.0,Wedges & Body Positioners
60,2019-12-06,52161.0,Wedges & Body Positioners
61,2019-12-07,61691.0,Wedges & Body Positioners
62,2019-12-08,83839.0,Wedges & Body Positioners
63,2019-12-09,83839.0,Wedges & Body Positioners
64,2019-12-10,83839.0,Wedges & Body Positioners
65,2019-12-11,78885.0,Wedges & Body Positioners
66,2019-12-12,66550.0,Wedges & Body Positioners
67,2019-12-13,41840.0,Wedges & Body Positioners
68,2019-12-14,41840.0,Wedges & Body Positioners
69,2019-12-15,53842.0,Wedges & Body Positioners
70,2019-12-16,59692.0,Wedges & Body Positioners
71,2019-12-17,59692.0,Wedges & Body Positioners
72,2019-12-18,59692.0,Wedges & Body Positioners
73,2019-12-19,60700.0,Wedges & Body Positioners
74,2019-12-20,48351.0,Wedges & Body Positioners
75,2019-12-21,48351.0,Wedges & Body Positioners
76,2019-12-22,48351.0,Wedges & Body Positioners
77,2019-12-23,65239.0,Wedges & Body Positioners
78,2019-12-24,65239.0,Wedges & Body Positioners
79,2019-12-25,65239.0,Wedges & Body Positioners
80,2019-12-26,65239.0,Wedges & Body Positioners
81,2019-12-27,65239.0,Wedges & Body Positioners
82,2019-12-28,65239.0,Wedges & Body Positioners
83,2019-12-29,41465.0,Wedges & Body Positioners
84,2019-12-30,41465.0,Wedges & Body Positioners
85,2019-12-31,41465.0,Wedges & Body Positioners
86,2020-01-01,41465.0,Wedges & Body Positioners
87,2020-01-02,41465.0,Wedges & Body Positioners
88,2020-01-03,27134.0,Wedges & Body Positioners
89,2020-01-04,27134.0,Wedges & Body Positioners
90,2020-01-05,27134.0,Wedges & Body Positioners
91,2020-01-06,27134.0,Wedges & Body Positioners
92,2020-01-07,26199.0,Wedges & Body Positioners
93,2020-01-08,21180.0,Wedges & Body Positioners
94,2020-01-09,21180.0,Wedges & Body Positioners
95,2020-01-10,21180.0,Wedges & Body Positioners
96,2020-01-11,21180.0,Wedges & Body Positioners
97,2020-01-12,14323.0,Wedges & Body Positioners
98,2020-01-13,23078.0,Wedges & Body Positioners
99,2020-01-14,23078.0,Wedges & Body Positioners
100,2020-01-15,19545.0,Wedges & Body Positioners
101,2020-01-16,19259.0,Wedges & Body Positioners
102,2020-01-17,19259.0,Wedges & Body Positioners
103,2020-01-18,19259.0,Wedges & Body Positioners
104,2020-01-19,19259.0,Wedges & Body Positioners
105,2020-01-20,19259.0,Wedges & Body Positioners
106,2020-01-21,35653.0,Wedges & Body Positioners
107,2020-01-22,35653.0,Wedges & Body Positioners
108,2020-01-23,35653.0,Wedges & Body Positioners
109,2020-01-24,35653.0,Wedges & Body Positioners
110,2020-01-25,35653.0,Wedges & Body Positioners
111,2020-01-26,24667.0,Wedges & Body Positioners
112,2020-01-27,24667.0,Wedges & Body Positioners
113,2020-01-28,24667.0,Wedges & Body Positioners
114,2020-01-29,13781.0,Wedges & Body Positioners
115,2020-01-30,13781.0,Wedges & Body Positioners
116,2020-01-31,13781.0,Wedges & Body Positioners
117,2020-02-01,13781.0,Wedges & Body Positioners
118,2020-02-02,13781.0,Wedges & Body Positioners
119,2020-02-03,16434.0,Wedges & Body Positioners
120,2020-02-04,16434.0,Wedges & Body Positioners
121,2020-02-05,12243.0,Wedges & Body Positioners
122,2020-02-06,11532.0,Wedges & Body Positioners
123,2020-02-07,11532.0,Wedges & Body Positioners
124,2020-02-08,11532.0,Wedges & Body Positioners
125,2020-02-09,11532.0,Wedges & Body Positioners
126,2020-02-10,11532.0,Wedges & Body Positioners
127,2020-02-11,13183.0,Wedges & Body Positioners
128,2020-02-12,13183.0,Wedges & Body Positioners
129,2020-02-13,11101.0,Wedges & Body Positioners
130,2020-02-14,11101.0,Wedges & Body Positioners
131,2020-02-15,10980.0,Wedges & Body Positioners
132,2020-02-16,10980.0,Wedges & Body Positioners
133,2020-02-17,10980.0,Wedges & Body Positioners
134,2020-02-18,16337.0,Wedges & Body Positioners
135,2020-02-19,13616.0,Wedges & Body Positioners
136,2020-02-20,15969.0,Wedges & Body Positioners
137,2020-02-21,15969.0,Wedges & Body Positioners
138,2020-02-22,9064.0,Wedges & Body Positioners
139,2020-02-23,9005.0,Wedges & Body Positioners
140,2020-02-24,10935.0,Wedges & Body Positioners
141,2020-02-25,11034.0,Wedges & Body Positioners
142,2020-02-26,11034.0,Wedges & Body Positioners
143,2020-02-27,11034.0,Wedges & Body Positioners
144,2020-02-28,24683.0,Wedges & Body Positioners
145,2020-02-29,24683.0,Wedges & Body Positioners
146,2020-03-01,24683.0,Wedges & Body Positioners
147,2020-03-02,24683.0,Wedges & Body Positioners
148,2020-03-03,14649.0,Wedges & Body Positioners
149,2020-03-04,14463.0,Wedges & Body Positioners
150,2020-03-05,14463.0,Wedges & Body Positioners
151,2020-03-06,16120.0,Wedges & Body Positioners
152,2020-03-07,16120.0,Wedges & Body Positioners
153,2020-03-08,16120.0,Wedges & Body Positioners
154,2020-03-09,-1.0,Wedges & Body Positioners
