,date,value,name_B08WHCS21S
0,2021-02-14,1793.0,Essential Oil Singles
1,2021-02-15,1793.0,Essential Oil Singles
2,2021-02-16,1946.0,Essential Oil Singles
3,2021-02-17,1946.0,Essential Oil Singles
4,2021-02-18,1172.0,Essential Oil Singles
5,2021-02-19,1083.0,Essential Oil Singles
6,2021-02-20,1083.0,Essential Oil Singles
7,2021-02-21,867.0,Essential Oil Singles
8,2021-02-22,954.0,Essential Oil Singles
9,2021-02-23,851.0,Essential Oil Singles
10,2021-02-24,729.0,Essential Oil Singles
11,2021-02-25,729.0,Essential Oil Singles
12,2021-02-26,410.0,Essential Oil Singles
13,2021-02-27,381.0,Essential Oil Singles
14,2021-02-28,380.0,Essential Oil Singles
15,2021-03-01,422.0,Essential Oil Singles
16,2021-03-02,348.0,Essential Oil Singles
17,2021-03-03,345.0,Essential Oil Singles
18,2021-03-04,328.0,Essential Oil Singles
19,2021-03-05,324.0,Essential Oil Singles
20,2021-03-06,300.0,Essential Oil Singles
21,2021-03-07,300.0,Essential Oil Singles
22,2021-03-08,353.0,Essential Oil Singles
23,2021-03-09,353.0,Essential Oil Singles
24,2021-03-10,294.0,Essential Oil Singles
25,2021-03-11,297.0,Essential Oil Singles
26,2021-03-12,297.0,Essential Oil Singles
27,2021-03-13,307.0,Essential Oil Singles
28,2021-03-14,280.0,Essential Oil Singles
29,2021-03-15,348.0,Essential Oil Singles
30,2021-03-16,325.0,Essential Oil Singles
31,2021-03-17,293.0,Essential Oil Singles
32,2021-03-18,235.0,Essential Oil Singles
33,2021-03-19,286.0,Essential Oil Singles
34,2021-03-20,286.0,Essential Oil Singles
35,2021-03-21,257.0,Essential Oil Singles
36,2021-03-22,311.0,Essential Oil Singles
37,2021-03-23,371.0,Essential Oil Singles
38,2021-03-24,332.0,Essential Oil Singles
39,2021-03-25,316.0,Essential Oil Singles
40,2021-03-26,310.0,Essential Oil Singles
41,2021-03-27,310.0,Essential Oil Singles
42,2021-03-28,315.0,Essential Oil Singles
43,2021-03-29,343.0,Essential Oil Singles
44,2021-03-30,317.0,Essential Oil Singles
45,2021-03-31,275.0,Essential Oil Singles
46,2021-04-01,275.0,Essential Oil Singles
47,2021-04-02,257.0,Essential Oil Singles
48,2021-04-03,211.0,Essential Oil Singles
49,2021-04-04,264.0,Essential Oil Singles
50,2021-04-05,250.0,Essential Oil Singles
