,date,value,name_B094JW7PCW
0,2021-05-30,96862.0,Miniatures
1,2021-05-31,64528.0,Miniatures
2,2021-06-01,172760.0,Miniatures
3,2021-06-02,24477.0,Miniatures
4,2021-06-03,21562.0,Miniatures
5,2021-06-04,16112.0,Miniatures
6,2021-06-05,20233.0,Miniatures
7,2021-06-06,23828.0,Miniatures
8,2021-06-07,20060.0,Miniatures
9,2021-06-08,21222.0,Miniatures
10,2021-06-09,19453.0,Miniatures
11,2021-06-10,6027.0,Miniatures
12,2021-06-11,2010.0,Miniatures
13,2021-06-12,1320.0,Miniatures
14,2021-06-13,24795.0,Miniatures
15,2021-06-14,1590.0,Miniatures
16,2021-06-15,2592.0,Miniatures
17,2021-06-16,3145.0,Miniatures
18,2021-06-17,4330.0,Miniatures
19,2021-06-18,2317.0,Miniatures
20,2021-06-19,1089.0,Miniatures
21,2021-06-20,594.0,Miniatures
22,2021-06-21,2378.0,Miniatures
23,2021-06-22,2495.0,Miniatures
24,2021-06-23,2627.0,Miniatures
25,2021-06-24,2799.0,Miniatures
26,2021-06-25,1025.0,Miniatures
27,2021-06-26,863.0,Miniatures
28,2021-06-27,1086.0,Miniatures
29,2021-06-28,1130.0,Miniatures
30,2021-06-29,1138.0,Miniatures
31,2021-06-30,1003.0,Miniatures
32,2021-07-01,1077.0,Miniatures
33,2021-07-02,917.0,Miniatures
34,2021-07-03,917.0,Miniatures
35,2021-07-04,917.0,Miniatures
36,2021-07-05,917.0,Miniatures
37,2021-07-06,917.0,Miniatures
38,2021-07-07,917.0,Miniatures
39,2021-07-08,21099.0,Miniatures
40,2021-07-09,3840.0,Miniatures
