,date,value,name_B087PSLG65
0,2020-05-07,142233.0,Repellents
1,2020-05-08,142233.0,Repellents
2,2020-05-09,142233.0,Repellents
3,2020-05-10,142233.0,Repellents
4,2020-05-11,142166.0,Repellents
5,2020-05-12,142166.0,Repellents
6,2020-05-13,142166.0,Repellents
7,2020-05-14,175899.0,Repellents
8,2020-05-15,233073.0,Repellents
9,2020-05-16,233073.0,Repellents
10,2020-05-17,233073.0,Repellents
11,2020-05-18,153826.0,Repellents
12,2020-05-19,153826.0,Repellents
13,2020-05-20,153826.0,Repellents
14,2020-05-21,115940.0,Repellents
15,2020-05-22,115940.0,Repellents
16,2020-05-23,115940.0,Repellents
17,2020-05-24,115940.0,Repellents
18,2020-05-25,115940.0,Repellents
19,2020-05-26,164561.0,Repellents
20,2020-05-27,127460.0,Repellents
21,2020-05-28,149394.0,Repellents
22,2020-05-29,203587.0,Repellents
23,2020-05-30,203587.0,Repellents
24,2020-05-31,237059.0,Repellents
25,2020-06-01,102849.0,Repellents
26,2020-06-02,122198.0,Repellents
27,2020-06-03,122198.0,Repellents
28,2020-06-04,135667.0,Repellents
29,2020-06-05,135667.0,Repellents
30,2020-06-06,151719.0,Repellents
31,2020-06-07,151719.0,Repellents
32,2020-06-08,151719.0,Repellents
33,2020-06-09,151719.0,Repellents
34,2020-06-10,100346.0,Repellents
35,2020-06-11,147331.0,Repellents
36,2020-06-12,147331.0,Repellents
37,2020-06-13,147331.0,Repellents
38,2020-06-14,101119.0,Repellents
39,2020-06-15,141275.0,Repellents
40,2020-06-16,141275.0,Repellents
41,2020-06-17,150419.0,Repellents
42,2020-06-18,150419.0,Repellents
43,2020-06-19,150419.0,Repellents
44,2020-06-20,150419.0,Repellents
45,2020-06-21,150419.0,Repellents
46,2020-06-22,168592.0,Repellents
47,2020-06-23,168592.0,Repellents
48,2020-06-24,64733.0,Repellents
49,2020-06-25,127632.0,Repellents
50,2020-06-26,127632.0,Repellents
51,2020-06-27,127632.0,Repellents
52,2020-06-28,155027.0,Repellents
53,2020-06-29,48303.0,Repellents
54,2020-06-30,48303.0,Repellents
55,2020-07-01,48303.0,Repellents
56,2020-07-02,85228.0,Repellents
57,2020-07-03,144217.0,Repellents
58,2020-07-04,144217.0,Repellents
59,2020-07-05,144217.0,Repellents
60,2020-07-06,144217.0,Repellents
61,2020-07-07,58277.0,Repellents
62,2020-07-08,144261.0,Repellents
63,2020-07-09,171671.0,Repellents
64,2020-07-10,184770.0,Repellents
65,2020-07-11,184770.0,Repellents
66,2020-07-12,141635.0,Repellents
67,2020-07-13,141635.0,Repellents
68,2020-07-14,101455.0,Repellents
69,2020-07-15,101455.0,Repellents
70,2020-07-16,101455.0,Repellents
71,2020-07-17,101455.0,Repellents
72,2020-07-18,101455.0,Repellents
73,2020-07-19,173647.0,Repellents
74,2020-07-20,188876.0,Repellents
75,2020-07-21,142632.0,Repellents
76,2020-07-22,142632.0,Repellents
77,2020-07-23,100356.0,Repellents
78,2020-07-24,100356.0,Repellents
79,2020-07-25,100356.0,Repellents
80,2020-07-26,186522.0,Repellents
81,2020-07-27,209617.0,Repellents
82,2020-07-28,214766.0,Repellents
83,2020-07-29,233416.0,Repellents
84,2020-07-30,233416.0,Repellents
85,2020-07-31,233416.0,Repellents
86,2020-08-01,255748.0,Repellents
87,2020-08-02,257807.0,Repellents
88,2020-08-03,257807.0,Repellents
89,2020-08-04,257807.0,Repellents
90,2020-08-05,257807.0,Repellents
91,2020-08-06,257807.0,Repellents
92,2020-08-07,257807.0,Repellents
93,2020-08-08,257807.0,Repellents
94,2020-08-09,257807.0,Repellents
95,2020-08-10,163874.0,Repellents
96,2020-08-11,163874.0,Repellents
97,2020-08-12,163874.0,Repellents
98,2020-08-13,163874.0,Repellents
99,2020-08-14,163874.0,Repellents
100,2020-08-15,163874.0,Repellents
101,2020-08-16,163874.0,Repellents
102,2020-08-17,151307.0,Repellents
103,2020-08-18,151307.0,Repellents
104,2020-08-19,151307.0,Repellents
105,2020-08-20,151307.0,Repellents
106,2020-08-21,151307.0,Repellents
107,2020-08-22,151307.0,Repellents
108,2020-08-23,119934.0,Repellents
109,2020-08-24,144286.0,Repellents
110,2020-08-25,144286.0,Repellents
111,2020-08-26,144286.0,Repellents
112,2020-08-27,144286.0,Repellents
113,2020-08-28,144286.0,Repellents
114,2020-08-29,144286.0,Repellents
115,2020-08-30,144286.0,Repellents
116,2020-08-31,144286.0,Repellents
117,2020-09-01,237117.0,Repellents
118,2020-09-02,237117.0,Repellents
119,2020-09-03,237117.0,Repellents
120,2020-09-04,237117.0,Repellents
121,2020-09-05,237117.0,Repellents
122,2020-09-06,212508.0,Repellents
123,2020-09-07,212508.0,Repellents
124,2020-09-08,88651.0,Repellents
125,2020-09-09,137519.0,Repellents
126,2020-09-10,137519.0,Repellents
127,2020-09-11,137519.0,Repellents
128,2020-09-12,137519.0,Repellents
129,2020-09-13,137519.0,Repellents
130,2020-09-14,232968.0,Repellents
131,2020-09-15,244361.0,Repellents
132,2020-09-16,247646.0,Repellents
133,2020-09-17,96801.0,Repellents
134,2020-09-18,96801.0,Repellents
135,2020-09-19,96801.0,Repellents
136,2020-09-20,96801.0,Repellents
137,2020-09-21,219059.0,Repellents
138,2020-09-22,219059.0,Repellents
139,2020-09-23,252833.0,Repellents
140,2020-09-24,252833.0,Repellents
141,2020-09-25,260866.0,Repellents
142,2020-09-26,260866.0,Repellents
143,2020-09-27,260866.0,Repellents
144,2020-09-28,260866.0,Repellents
145,2020-09-29,260866.0,Repellents
146,2020-09-30,260866.0,Repellents
147,2020-10-01,260866.0,Repellents
148,2020-10-02,260866.0,Repellents
149,2020-10-03,260866.0,Repellents
150,2020-10-04,263852.0,Repellents
151,2020-10-05,263852.0,Repellents
152,2020-10-06,275711.0,Repellents
153,2020-10-07,275711.0,Repellents
154,2020-10-08,280568.0,Repellents
155,2020-10-09,280568.0,Repellents
156,2020-10-10,280568.0,Repellents
157,2020-10-11,280568.0,Repellents
158,2020-10-12,280568.0,Repellents
159,2020-10-13,20489.0,Repellents
160,2020-10-14,20489.0,Repellents
161,2020-10-15,19704.0,Repellents
162,2020-10-16,17159.0,Repellents
163,2020-10-17,15622.0,Repellents
164,2020-10-18,15622.0,Repellents
165,2020-10-19,15622.0,Repellents
166,2020-10-20,15622.0,Repellents
167,2020-10-21,12092.0,Repellents
168,2020-10-22,15769.0,Repellents
169,2020-10-23,15158.0,Repellents
170,2020-10-24,12811.0,Repellents
171,2020-10-25,12811.0,Repellents
172,2020-10-26,12811.0,Repellents
173,2020-10-27,18393.0,Repellents
174,2020-10-28,20733.0,Repellents
175,2020-10-29,20733.0,Repellents
176,2020-10-30,20733.0,Repellents
177,2020-10-31,19051.0,Repellents
178,2020-11-01,19358.0,Repellents
179,2020-11-02,19358.0,Repellents
180,2020-11-03,19358.0,Repellents
181,2020-11-04,19358.0,Repellents
182,2020-11-05,40249.0,Repellents
183,2020-11-06,40249.0,Repellents
184,2020-11-07,40249.0,Repellents
185,2020-11-08,40249.0,Repellents
186,2020-11-09,40249.0,Repellents
187,2020-11-10,40249.0,Repellents
188,2020-11-11,31196.0,Repellents
189,2020-11-12,31196.0,Repellents
190,2020-11-13,31196.0,Repellents
191,2020-11-14,31196.0,Repellents
192,2020-11-15,31312.0,Repellents
193,2020-11-16,31312.0,Repellents
194,2020-11-17,20561.0,Repellents
195,2020-11-18,20561.0,Repellents
196,2020-11-19,20561.0,Repellents
197,2020-11-20,19878.0,Repellents
198,2020-11-21,19878.0,Repellents
199,2020-11-22,19878.0,Repellents
200,2020-11-23,25156.0,Repellents
201,2020-11-24,25156.0,Repellents
202,2020-11-25,25156.0,Repellents
203,2020-11-26,23688.0,Repellents
204,2020-11-27,23688.0,Repellents
205,2020-11-28,23688.0,Repellents
206,2020-11-29,23688.0,Repellents
207,2020-11-30,23688.0,Repellents
208,2020-12-01,23688.0,Repellents
209,2020-12-02,23688.0,Repellents
210,2020-12-03,23688.0,Repellents
211,2020-12-04,23688.0,Repellents
212,2020-12-05,45234.0,Repellents
213,2020-12-06,45234.0,Repellents
214,2020-12-07,45234.0,Repellents
215,2020-12-08,45234.0,Repellents
216,2020-12-09,45234.0,Repellents
217,2020-12-10,43797.0,Repellents
218,2020-12-11,43797.0,Repellents
219,2020-12-12,43797.0,Repellents
220,2020-12-13,43797.0,Repellents
221,2020-12-14,43797.0,Repellents
222,2020-12-15,43797.0,Repellents
223,2020-12-16,35686.0,Repellents
224,2020-12-17,35686.0,Repellents
225,2020-12-18,35686.0,Repellents
