,date,value,name_B00NB5CU72
0,2018-07-10,159479.0,Bed Skirts
1,2018-07-11,75006.0,Bed Skirts
2,2018-07-12,160913.0,Bed Skirts
3,2018-07-13,117810.0,Bed Skirts
4,2018-07-14,95492.0,Bed Skirts
5,2018-07-15,51204.0,Bed Skirts
6,2018-07-16,51204.0,Bed Skirts
7,2018-07-17,51204.0,Bed Skirts
8,2018-07-18,51204.0,Bed Skirts
9,2018-07-19,51204.0,Bed Skirts
10,2018-07-20,157368.0,Bed Skirts
11,2018-07-21,72372.0,Bed Skirts
12,2018-07-22,72372.0,Bed Skirts
13,2018-07-23,140445.0,Bed Skirts
14,2018-07-24,85141.0,Bed Skirts
15,2018-07-25,65306.0,Bed Skirts
16,2018-07-26,65306.0,Bed Skirts
17,2018-07-27,55877.0,Bed Skirts
18,2018-07-28,104364.0,Bed Skirts
19,2018-07-29,104364.0,Bed Skirts
20,2018-07-30,123110.0,Bed Skirts
21,2018-07-31,123110.0,Bed Skirts
22,2018-08-01,109020.0,Bed Skirts
23,2018-08-02,109020.0,Bed Skirts
24,2018-08-03,62735.0,Bed Skirts
25,2018-08-04,71992.0,Bed Skirts
26,2018-08-05,65058.0,Bed Skirts
27,2018-08-06,65058.0,Bed Skirts
28,2018-08-07,65058.0,Bed Skirts
29,2018-08-08,65058.0,Bed Skirts
30,2018-08-09,109984.0,Bed Skirts
31,2018-08-10,142121.0,Bed Skirts
32,2018-08-11,103227.0,Bed Skirts
33,2018-08-12,114118.0,Bed Skirts
34,2018-08-13,87641.0,Bed Skirts
35,2018-08-14,87641.0,Bed Skirts
36,2018-08-15,87310.0,Bed Skirts
37,2018-08-16,87310.0,Bed Skirts
38,2018-08-17,87310.0,Bed Skirts
39,2018-08-18,121651.0,Bed Skirts
40,2018-08-19,121651.0,Bed Skirts
41,2018-08-20,155739.0,Bed Skirts
42,2018-08-21,155739.0,Bed Skirts
43,2018-08-22,61545.0,Bed Skirts
44,2018-08-23,107445.0,Bed Skirts
45,2018-08-24,107445.0,Bed Skirts
46,2018-08-25,107445.0,Bed Skirts
47,2018-08-26,148817.0,Bed Skirts
48,2018-08-27,148817.0,Bed Skirts
49,2018-08-28,135125.0,Bed Skirts
50,2018-08-29,89670.0,Bed Skirts
51,2018-08-30,81717.0,Bed Skirts
52,2018-08-31,127251.0,Bed Skirts
53,2018-09-01,127251.0,Bed Skirts
54,2018-09-02,251858.0,Bed Skirts
55,2018-09-03,142808.0,Bed Skirts
56,2018-09-04,52120.0,Bed Skirts
