,date,value,name_B01MQTLRCA
167,2020-11-11,21154.0,Dogs
168,2020-11-12,9844.0,Dogs
169,2020-11-13,9844.0,Dogs
170,2020-11-14,9844.0,Dogs
171,2020-11-15,9844.0,Dogs
172,2020-11-16,8672.0,Dogs
173,2020-11-17,8672.0,Dogs
174,2020-11-18,8672.0,Dogs
175,2020-11-19,6147.0,Dogs
176,2020-11-20,6147.0,Dogs
177,2020-11-21,6147.0,Dogs
178,2020-11-22,6147.0,Dogs
179,2020-11-23,6147.0,Dogs
180,2020-11-24,6147.0,Dogs
181,2020-11-25,7004.0,Dogs
182,2020-11-26,7654.0,Dogs
183,2020-11-27,7654.0,Dogs
184,2020-11-28,7654.0,Dogs
185,2020-11-29,7654.0,Dogs
186,2020-11-30,7654.0,Dogs
187,2020-12-01,7654.0,Dogs
188,2020-12-02,7654.0,Dogs
189,2020-12-03,7654.0,Dogs
190,2020-12-04,7594.0,Dogs
191,2020-12-05,7594.0,Dogs
192,2020-12-06,7594.0,Dogs
193,2020-12-07,9817.0,Dogs
194,2020-12-08,9817.0,Dogs
195,2020-12-09,9817.0,Dogs
196,2020-12-10,7054.0,Dogs
197,2020-12-11,7054.0,Dogs
198,2020-12-12,7054.0,Dogs
199,2020-12-13,7054.0,Dogs
200,2020-12-14,7054.0,Dogs
201,2020-12-15,10834.0,Dogs
202,2020-12-16,10263.0,Dogs
203,2020-12-17,10370.0,Dogs
204,2020-12-18,10370.0,Dogs
205,2020-12-19,10370.0,Dogs
206,2020-12-20,10370.0,Dogs
207,2020-12-21,10370.0,Dogs
208,2020-12-22,9157.0,Dogs
209,2020-12-23,7807.0,Dogs
210,2020-12-24,7807.0,Dogs
211,2020-12-25,7807.0,Dogs
212,2020-12-26,7807.0,Dogs
213,2020-12-27,8169.0,Dogs
214,2020-12-28,8169.0,Dogs
215,2020-12-29,9989.0,Dogs
216,2020-12-30,8464.0,Dogs
217,2020-12-31,8464.0,Dogs
218,2021-01-01,8464.0,Dogs
219,2021-01-02,8464.0,Dogs
220,2021-01-03,8464.0,Dogs
221,2021-01-04,10807.0,Dogs
222,2021-01-05,10807.0,Dogs
223,2021-01-06,10807.0,Dogs
224,2021-01-07,7329.0,Dogs
225,2021-01-08,7329.0,Dogs
226,2021-01-09,7329.0,Dogs
227,2021-01-10,9699.0,Dogs
228,2021-01-11,9699.0,Dogs
229,2021-01-12,6836.0,Dogs
230,2021-01-13,6780.0,Dogs
231,2021-01-14,7832.0,Dogs
232,2021-01-15,7832.0,Dogs
233,2021-01-16,6936.0,Dogs
234,2021-01-17,6936.0,Dogs
235,2021-01-18,6936.0,Dogs
236,2021-01-19,13268.0,Dogs
237,2021-01-20,13268.0,Dogs
238,2021-01-21,13268.0,Dogs
239,2021-01-22,13268.0,Dogs
240,2021-01-23,13268.0,Dogs
241,2021-01-24,13268.0,Dogs
242,2021-01-25,13268.0,Dogs
243,2021-01-26,4865.0,Dogs
244,2021-01-27,5707.0,Dogs
245,2021-01-28,5707.0,Dogs
246,2021-01-29,5707.0,Dogs
247,2021-01-30,5707.0,Dogs
248,2021-01-31,5707.0,Dogs
249,2021-02-01,6499.0,Dogs
250,2021-02-02,6499.0,Dogs
251,2021-02-03,6536.0,Dogs
252,2021-02-04,6536.0,Dogs
253,2021-02-05,6536.0,Dogs
254,2021-02-06,5886.0,Dogs
255,2021-02-07,5886.0,Dogs
256,2021-02-08,5886.0,Dogs
257,2021-02-09,9035.0,Dogs
258,2021-02-10,8125.0,Dogs
259,2021-02-11,8125.0,Dogs
260,2021-02-12,8125.0,Dogs
261,2021-02-13,8125.0,Dogs
262,2021-02-14,8125.0,Dogs
263,2021-02-15,8125.0,Dogs
264,2021-02-16,12179.0,Dogs
265,2021-02-17,12179.0,Dogs
266,2021-02-18,12179.0,Dogs
267,2021-02-19,7859.0,Dogs
268,2021-02-20,7859.0,Dogs
269,2021-02-21,7859.0,Dogs
270,2021-02-22,5378.0,Dogs
271,2021-02-23,5665.0,Dogs
272,2021-02-24,5665.0,Dogs
273,2021-02-25,5486.0,Dogs
274,2021-02-26,5486.0,Dogs
275,2021-02-27,5486.0,Dogs
276,2021-02-28,5486.0,Dogs
277,2021-03-01,4901.0,Dogs
278,2021-03-02,5478.0,Dogs
279,2021-03-03,5478.0,Dogs
280,2021-03-04,5478.0,Dogs
281,2021-03-05,4057.0,Dogs
282,2021-03-06,4088.0,Dogs
283,2021-03-07,4088.0,Dogs
284,2021-03-08,4088.0,Dogs
285,2021-03-09,5790.0,Dogs
286,2021-03-10,5790.0,Dogs
287,2021-03-11,7736.0,Dogs
288,2021-03-12,7736.0,Dogs
289,2021-03-13,10616.0,Dogs
290,2021-03-14,10616.0,Dogs
291,2021-03-15,10616.0,Dogs
292,2021-03-16,8206.0,Dogs
293,2021-03-17,6407.0,Dogs
294,2021-03-18,6574.0,Dogs
295,2021-03-19,7086.0,Dogs
296,2021-03-20,7827.0,Dogs
297,2021-03-21,7827.0,Dogs
298,2021-03-22,6402.0,Dogs
299,2021-03-23,6402.0,Dogs
300,2021-03-24,5917.0,Dogs
301,2021-03-25,8091.0,Dogs
302,2021-03-26,8091.0,Dogs
303,2021-03-27,8091.0,Dogs
304,2021-03-28,8514.0,Dogs
305,2021-03-29,4868.0,Dogs
306,2021-03-30,5676.0,Dogs
307,2021-03-31,5275.0,Dogs
308,2021-04-01,4860.0,Dogs
309,2021-04-02,4652.0,Dogs
310,2021-04-03,5139.0,Dogs
311,2021-04-04,5139.0,Dogs
312,2021-04-05,5139.0,Dogs
313,2021-04-06,5404.0,Dogs
314,2021-04-07,5404.0,Dogs
315,2021-04-08,5394.0,Dogs
316,2021-04-09,5357.0,Dogs
317,2021-04-10,6008.0,Dogs
318,2021-04-11,6008.0,Dogs
319,2021-04-12,7491.0,Dogs
320,2021-04-13,7491.0,Dogs
321,2021-04-14,7491.0,Dogs
322,2021-04-15,5139.0,Dogs
323,2021-04-16,5144.0,Dogs
324,2021-04-17,5144.0,Dogs
325,2021-04-18,5698.0,Dogs
326,2021-04-19,5698.0,Dogs
327,2021-04-20,6538.0,Dogs
328,2021-04-21,5374.0,Dogs
329,2021-04-22,4408.0,Dogs
330,2021-04-23,4198.0,Dogs
331,2021-04-24,4557.0,Dogs
332,2021-04-25,5276.0,Dogs
333,2021-04-26,5986.0,Dogs
334,2021-04-27,6191.0,Dogs
335,2021-04-28,6049.0,Dogs
336,2021-04-29,6049.0,Dogs
337,2021-04-30,5240.0,Dogs
338,2021-05-01,5029.0,Dogs
339,2021-05-02,5029.0,Dogs
340,2021-05-03,5029.0,Dogs
341,2021-05-04,7145.0,Dogs
342,2021-05-05,7145.0,Dogs
343,2021-05-06,8857.0,Dogs
344,2021-05-07,8857.0,Dogs
345,2021-05-08,6071.0,Dogs
346,2021-05-09,8425.0,Dogs
347,2021-05-10,8425.0,Dogs
348,2021-05-11,6433.0,Dogs
349,2021-05-12,6846.0,Dogs
350,2021-05-13,6145.0,Dogs
351,2021-05-14,6145.0,Dogs
352,2021-05-15,6101.0,Dogs
353,2021-05-16,8195.0,Dogs
354,2021-05-17,8195.0,Dogs
355,2021-05-18,6775.0,Dogs
356,2021-05-19,6775.0,Dogs
357,2021-05-20,5777.0,Dogs
358,2021-05-21,5447.0,Dogs
359,2021-05-22,5501.0,Dogs
360,2021-05-23,5986.0,Dogs
361,2021-05-24,5986.0,Dogs
362,2021-05-25,5496.0,Dogs
363,2021-05-26,5107.0,Dogs
364,2021-05-27,5203.0,Dogs
365,2021-05-28,4871.0,Dogs
366,2021-05-29,4453.0,Dogs
367,2021-05-30,4453.0,Dogs
368,2021-05-31,6473.0,Dogs
369,2021-06-01,7026.0,Dogs
370,2021-06-02,7115.0,Dogs
371,2021-06-03,6796.0,Dogs
372,2021-06-04,6338.0,Dogs
373,2021-06-05,6093.0,Dogs
374,2021-06-06,6093.0,Dogs
375,2021-06-07,8851.0,Dogs
376,2021-06-08,5994.0,Dogs
377,2021-06-09,4954.0,Dogs
378,2021-06-10,5529.0,Dogs
379,2021-06-11,4658.0,Dogs
380,2021-06-12,6325.0,Dogs
381,2021-06-13,6325.0,Dogs
382,2021-06-14,5806.0,Dogs
383,2021-06-15,6473.0,Dogs
384,2021-06-16,6027.0,Dogs
385,2021-06-17,5123.0,Dogs
386,2021-06-18,4824.0,Dogs
387,2021-06-19,5070.0,Dogs
388,2021-06-20,5070.0,Dogs
389,2021-06-21,6484.0,Dogs
390,2021-06-22,6609.0,Dogs
391,2021-06-23,6609.0,Dogs
392,2021-06-24,5182.0,Dogs
393,2021-06-25,5361.0,Dogs
394,2021-06-26,5361.0,Dogs
395,2021-06-27,4897.0,Dogs
396,2021-06-28,4627.0,Dogs
397,2021-06-29,4627.0,Dogs
398,2021-06-30,4730.0,Dogs
399,2021-07-01,4730.0,Dogs
400,2021-07-02,5064.0,Dogs
401,2021-07-03,5064.0,Dogs
402,2021-07-04,5020.0,Dogs
403,2021-07-05,6243.0,Dogs
404,2021-07-06,6243.0,Dogs
405,2021-07-07,6243.0,Dogs
406,2021-07-08,5279.0,Dogs
407,2021-07-09,5279.0,Dogs
408,2021-07-10,5279.0,Dogs
409,2021-07-11,5005.0,Dogs
