,date,value,name_B0873XDCXY
0,2020-04-16,8318.0,Planters
1,2020-04-17,8318.0,Planters
2,2020-04-18,8318.0,Planters
3,2020-04-19,4333.0,Planters
4,2020-04-20,4333.0,Planters
5,2020-04-21,3659.0,Planters
6,2020-04-22,3659.0,Planters
7,2020-04-23,3659.0,Planters
8,2020-04-24,3659.0,Planters
9,2020-04-25,2993.0,Planters
10,2020-04-26,2993.0,Planters
11,2020-04-27,2993.0,Planters
12,2020-04-28,2993.0,Planters
13,2020-04-29,2017.0,Planters
14,2020-04-30,1952.0,Planters
15,2020-05-01,1952.0,Planters
16,2020-05-02,1952.0,Planters
17,2020-05-03,1952.0,Planters
18,2020-05-04,1630.0,Planters
19,2020-05-05,1332.0,Planters
20,2020-05-06,1642.0,Planters
21,2020-05-07,1770.0,Planters
22,2020-05-08,1770.0,Planters
23,2020-05-09,1770.0,Planters
24,2020-05-10,1672.0,Planters
25,2020-05-11,1609.0,Planters
26,2020-05-12,1609.0,Planters
27,2020-05-13,1609.0,Planters
28,2020-05-14,3170.0,Planters
29,2020-05-15,3170.0,Planters
30,2020-05-16,4748.0,Planters
31,2020-05-17,4748.0,Planters
32,2020-05-18,4748.0,Planters
33,2020-05-19,4748.0,Planters
34,2020-05-20,4748.0,Planters
35,2020-05-21,4748.0,Planters
36,2020-05-22,26285.0,Planters
37,2020-05-23,26761.0,Planters
38,2020-05-24,26761.0,Planters
39,2020-05-25,26761.0,Planters
40,2020-05-26,26761.0,Planters
41,2020-05-27,26761.0,Planters
42,2020-05-28,26761.0,Planters
43,2020-05-29,39211.0,Planters
44,2020-05-30,37093.0,Planters
45,2020-05-31,37093.0,Planters
46,2020-06-01,37093.0,Planters
47,2020-06-02,37093.0,Planters
48,2020-06-03,45160.0,Planters
49,2020-06-04,45160.0,Planters
50,2020-06-05,45160.0,Planters
51,2020-06-06,45160.0,Planters
52,2020-06-07,45160.0,Planters
53,2020-06-08,67161.0,Planters
54,2020-06-09,67161.0,Planters
55,2020-06-10,77426.0,Planters
56,2020-06-11,88370.0,Planters
57,2020-06-12,88370.0,Planters
58,2020-06-13,88370.0,Planters
59,2020-06-14,88370.0,Planters
60,2020-06-15,98520.0,Planters
61,2020-06-16,98520.0,Planters
62,2020-06-17,98520.0,Planters
63,2020-06-18,98520.0,Planters
64,2020-06-19,98520.0,Planters
65,2020-06-20,98520.0,Planters
66,2020-06-21,98520.0,Planters
67,2020-06-22,60000.0,Planters
68,2020-06-23,60000.0,Planters
69,2020-06-24,60000.0,Planters
70,2020-06-25,60000.0,Planters
71,2020-06-26,60000.0,Planters
72,2020-06-27,60000.0,Planters
73,2020-06-28,53223.0,Planters
74,2020-06-29,74791.0,Planters
75,2020-06-30,74791.0,Planters
76,2020-07-01,74791.0,Planters
77,2020-07-02,74791.0,Planters
78,2020-07-03,114849.0,Planters
79,2020-07-04,114849.0,Planters
80,2020-07-05,114849.0,Planters
81,2020-07-06,114849.0,Planters
82,2020-07-07,114849.0,Planters
83,2020-07-08,114849.0,Planters
84,2020-07-09,96242.0,Planters
85,2020-07-10,96242.0,Planters
86,2020-07-11,96242.0,Planters
87,2020-07-12,96242.0,Planters
88,2020-07-13,62949.0,Planters
89,2020-07-14,62949.0,Planters
90,2020-07-15,62949.0,Planters
91,2020-07-16,62949.0,Planters
92,2020-07-17,99397.0,Planters
93,2020-07-18,99397.0,Planters
94,2020-07-19,99397.0,Planters
95,2020-07-20,99397.0,Planters
96,2020-07-21,66539.0,Planters
97,2020-07-22,66539.0,Planters
98,2020-07-23,66539.0,Planters
99,2020-07-24,102815.0,Planters
100,2020-07-25,102815.0,Planters
101,2020-07-26,102815.0,Planters
102,2020-07-27,102815.0,Planters
103,2020-07-28,102815.0,Planters
104,2020-07-29,102815.0,Planters
105,2020-07-30,102815.0,Planters
106,2020-07-31,99252.0,Planters
107,2020-08-01,99252.0,Planters
108,2020-08-02,99252.0,Planters
109,2020-08-03,105976.0,Planters
110,2020-08-04,105976.0,Planters
111,2020-08-05,105976.0,Planters
112,2020-08-06,26284.0,Planters
113,2020-08-07,8330.0,Planters
114,2020-08-08,8330.0,Planters
115,2020-08-09,8330.0,Planters
116,2020-08-10,6696.0,Planters
117,2020-08-11,7119.0,Planters
118,2020-08-12,5936.0,Planters
119,2020-08-13,5936.0,Planters
120,2020-08-14,5936.0,Planters
121,2020-08-15,8099.0,Planters
122,2020-08-16,8099.0,Planters
123,2020-08-17,5312.0,Planters
124,2020-08-18,5312.0,Planters
125,2020-08-19,5042.0,Planters
126,2020-08-20,4414.0,Planters
127,2020-08-21,5597.0,Planters
128,2020-08-22,5597.0,Planters
129,2020-08-23,4012.0,Planters
130,2020-08-24,4102.0,Planters
131,2020-08-25,4596.0,Planters
132,2020-08-26,4723.0,Planters
133,2020-08-27,6360.0,Planters
134,2020-08-28,10863.0,Planters
135,2020-08-29,10863.0,Planters
136,2020-08-30,10863.0,Planters
137,2020-08-31,20880.0,Planters
138,2020-09-01,20880.0,Planters
139,2020-09-02,20880.0,Planters
140,2020-09-03,6915.0,Planters
141,2020-09-04,5584.0,Planters
142,2020-09-05,5584.0,Planters
143,2020-09-06,5584.0,Planters
144,2020-09-07,6347.0,Planters
145,2020-09-08,7974.0,Planters
146,2020-09-09,7974.0,Planters
147,2020-09-10,7974.0,Planters
148,2020-09-11,3769.0,Planters
149,2020-09-12,3769.0,Planters
150,2020-09-13,3769.0,Planters
151,2020-09-14,3476.0,Planters
152,2020-09-15,3476.0,Planters
153,2020-09-16,6342.0,Planters
154,2020-09-17,6342.0,Planters
155,2020-09-18,6342.0,Planters
156,2020-09-19,3846.0,Planters
157,2020-09-20,4604.0,Planters
158,2020-09-21,3334.0,Planters
159,2020-09-22,3334.0,Planters
160,2020-09-23,4319.0,Planters
161,2020-09-24,3952.0,Planters
162,2020-09-25,3952.0,Planters
163,2020-09-26,3952.0,Planters
