,date,value,name_B07VS8WKKD
0,2019-08-01,21202.0,Grow Bags
1,2019-08-02,37384.0,Grow Bags
2,2019-08-03,38209.0,Grow Bags
3,2019-08-04,69385.0,Grow Bags
4,2019-08-05,88507.0,Grow Bags
5,2019-08-06,91706.0,Grow Bags
6,2019-08-07,52388.0,Grow Bags
7,2019-08-08,57309.0,Grow Bags
8,2019-08-09,68443.0,Grow Bags
9,2019-08-10,86374.0,Grow Bags
10,2019-08-11,102027.0,Grow Bags
11,2019-08-12,126280.0,Grow Bags
12,2019-08-13,129986.0,Grow Bags
13,2019-08-14,59119.0,Grow Bags
14,2019-08-15,73364.0,Grow Bags
15,2019-08-16,37505.0,Grow Bags
16,2019-08-17,35061.0,Grow Bags
17,2019-08-18,31960.0,Grow Bags
18,2019-08-19,42366.0,Grow Bags
19,2019-08-20,31342.0,Grow Bags
20,2019-08-21,20026.0,Grow Bags
21,2019-08-22,24108.0,Grow Bags
22,2019-08-23,28188.0,Grow Bags
23,2019-08-24,19070.0,Grow Bags
24,2019-08-25,22882.0,Grow Bags
25,2019-08-26,25928.0,Grow Bags
26,2019-08-27,33350.0,Grow Bags
27,2019-08-28,33578.0,Grow Bags
28,2019-08-29,25777.0,Grow Bags
29,2019-08-30,15595.0,Grow Bags
30,2019-08-31,20889.0,Grow Bags
31,2019-09-01,23130.0,Grow Bags
32,2019-09-02,23130.0,Grow Bags
33,2019-09-03,20000.0,Grow Bags
34,2019-09-04,13262.0,Grow Bags
35,2019-09-05,13262.0,Grow Bags
36,2019-09-06,26225.0,Grow Bags
37,2019-09-07,26225.0,Grow Bags
38,2019-09-08,26225.0,Grow Bags
39,2019-09-09,22771.0,Grow Bags
40,2019-09-10,21596.0,Grow Bags
41,2019-09-11,19886.0,Grow Bags
42,2019-09-12,23668.0,Grow Bags
43,2019-09-13,26638.0,Grow Bags
44,2019-09-14,10694.0,Grow Bags
45,2019-09-15,15100.0,Grow Bags
46,2019-09-16,16239.0,Grow Bags
47,2019-09-17,21350.0,Grow Bags
48,2019-09-18,15099.0,Grow Bags
49,2019-09-19,14592.0,Grow Bags
50,2019-09-20,14588.0,Grow Bags
51,2019-09-21,12501.0,Grow Bags
52,2019-09-22,12395.0,Grow Bags
53,2019-09-23,15586.0,Grow Bags
54,2019-09-24,12663.0,Grow Bags
55,2019-09-25,10399.0,Grow Bags
56,2019-09-26,10734.0,Grow Bags
57,2019-09-27,11731.0,Grow Bags
58,2019-09-28,6596.0,Grow Bags
59,2019-09-29,6862.0,Grow Bags
60,2019-09-30,10014.0,Grow Bags
61,2019-10-01,6396.0,Grow Bags
62,2019-10-02,9712.0,Grow Bags
63,2019-10-03,10314.0,Grow Bags
64,2019-10-04,5086.0,Grow Bags
65,2019-10-05,5086.0,Grow Bags
66,2019-10-06,5086.0,Grow Bags
67,2019-10-07,5642.0,Grow Bags
68,2019-10-08,5642.0,Grow Bags
69,2019-10-09,6488.0,Grow Bags
70,2019-10-10,3959.0,Grow Bags
71,2019-10-11,4298.0,Grow Bags
72,2019-10-12,4298.0,Grow Bags
73,2019-10-13,5961.0,Grow Bags
74,2019-10-14,4969.0,Grow Bags
75,2019-10-15,4278.0,Grow Bags
76,2019-10-16,7667.0,Grow Bags
77,2019-10-17,4383.0,Grow Bags
78,2019-10-18,3585.0,Grow Bags
79,2019-10-19,4921.0,Grow Bags
80,2019-10-20,4771.0,Grow Bags
81,2019-10-21,5662.0,Grow Bags
82,2019-10-22,6548.0,Grow Bags
83,2019-10-23,7101.0,Grow Bags
84,2019-10-24,5998.0,Grow Bags
85,2019-10-25,5075.0,Grow Bags
86,2019-10-26,3027.0,Grow Bags
87,2019-10-27,3027.0,Grow Bags
88,2019-10-28,4312.0,Grow Bags
89,2019-10-29,4006.0,Grow Bags
90,2019-10-30,2857.0,Grow Bags
91,2019-10-31,4511.0,Grow Bags
92,2019-11-01,4142.0,Grow Bags
93,2019-11-02,3646.0,Grow Bags
94,2019-11-03,3713.0,Grow Bags
95,2019-11-04,4062.0,Grow Bags
96,2019-11-05,3340.0,Grow Bags
97,2019-11-06,3919.0,Grow Bags
98,2019-11-07,2314.0,Grow Bags
99,2019-11-08,1873.0,Grow Bags
100,2019-11-09,1873.0,Grow Bags
101,2019-11-10,1873.0,Grow Bags
102,2019-11-11,3810.0,Grow Bags
103,2019-11-12,5357.0,Grow Bags
104,2019-11-13,4971.0,Grow Bags
105,2019-11-14,4971.0,Grow Bags
106,2019-11-15,4971.0,Grow Bags
107,2019-11-16,4971.0,Grow Bags
108,2019-11-17,4971.0,Grow Bags
109,2019-11-18,4360.0,Grow Bags
110,2019-11-19,4360.0,Grow Bags
111,2019-11-20,4360.0,Grow Bags
112,2019-11-21,3103.0,Grow Bags
113,2019-11-22,3103.0,Grow Bags
114,2019-11-23,2252.0,Grow Bags
115,2019-11-24,2252.0,Grow Bags
116,2019-11-25,2252.0,Grow Bags
117,2019-11-26,2252.0,Grow Bags
118,2019-11-27,3387.0,Grow Bags
119,2019-11-28,3387.0,Grow Bags
120,2019-11-29,2579.0,Grow Bags
121,2019-11-30,2579.0,Grow Bags
122,2019-12-01,2579.0,Grow Bags
123,2019-12-02,4423.0,Grow Bags
124,2019-12-03,4423.0,Grow Bags
125,2019-12-04,4063.0,Grow Bags
126,2019-12-05,4063.0,Grow Bags
127,2019-12-06,3325.0,Grow Bags
128,2019-12-07,3755.0,Grow Bags
129,2019-12-08,3755.0,Grow Bags
130,2019-12-09,3755.0,Grow Bags
131,2019-12-10,4005.0,Grow Bags
132,2019-12-11,4561.0,Grow Bags
133,2019-12-12,4908.0,Grow Bags
134,2019-12-13,4908.0,Grow Bags
135,2019-12-14,3944.0,Grow Bags
136,2019-12-15,3944.0,Grow Bags
137,2019-12-16,3944.0,Grow Bags
138,2019-12-17,5055.0,Grow Bags
139,2019-12-18,5055.0,Grow Bags
140,2019-12-19,5055.0,Grow Bags
141,2019-12-20,4978.0,Grow Bags
142,2019-12-21,4978.0,Grow Bags
143,2019-12-22,4978.0,Grow Bags
144,2019-12-23,4978.0,Grow Bags
145,2019-12-24,3722.0,Grow Bags
146,2019-12-25,3722.0,Grow Bags
147,2019-12-26,2085.0,Grow Bags
148,2019-12-27,1457.0,Grow Bags
149,2019-12-28,1457.0,Grow Bags
150,2019-12-29,1457.0,Grow Bags
151,2019-12-30,1170.0,Grow Bags
152,2019-12-31,1170.0,Grow Bags
153,2020-01-01,1188.0,Grow Bags
154,2020-01-02,1223.0,Grow Bags
155,2020-01-03,1230.0,Grow Bags
156,2020-01-04,971.0,Grow Bags
157,2020-01-05,971.0,Grow Bags
158,2020-01-06,1465.0,Grow Bags
159,2020-01-07,1465.0,Grow Bags
160,2020-01-08,1465.0,Grow Bags
161,2020-01-09,1017.0,Grow Bags
162,2020-01-10,1089.0,Grow Bags
163,2020-01-11,1089.0,Grow Bags
164,2020-01-12,1642.0,Grow Bags
165,2020-01-13,1642.0,Grow Bags
166,2020-01-14,1645.0,Grow Bags
167,2020-01-15,1210.0,Grow Bags
168,2020-01-16,1316.0,Grow Bags
169,2020-01-17,1316.0,Grow Bags
170,2020-01-18,1316.0,Grow Bags
171,2020-01-19,1316.0,Grow Bags
172,2020-01-20,1316.0,Grow Bags
173,2020-01-21,1316.0,Grow Bags
174,2020-01-22,1792.0,Grow Bags
175,2020-01-23,1792.0,Grow Bags
176,2020-01-24,1792.0,Grow Bags
177,2020-01-25,1874.0,Grow Bags
178,2020-01-26,1919.0,Grow Bags
179,2020-01-27,1919.0,Grow Bags
180,2020-01-28,1919.0,Grow Bags
181,2020-01-29,1304.0,Grow Bags
182,2020-01-30,1162.0,Grow Bags
183,2020-01-31,1162.0,Grow Bags
184,2020-02-01,1007.0,Grow Bags
185,2020-02-02,1007.0,Grow Bags
186,2020-02-03,985.0,Grow Bags
187,2020-02-04,985.0,Grow Bags
188,2020-02-05,985.0,Grow Bags
189,2020-02-06,983.0,Grow Bags
190,2020-02-07,983.0,Grow Bags
191,2020-02-08,983.0,Grow Bags
192,2020-02-09,983.0,Grow Bags
193,2020-02-10,983.0,Grow Bags
