,date,value,name_B086WNCGWR
0,2020-06-24,4541.0,Blended Vitamin & Mineral Supplements
1,2020-06-25,4541.0,Blended Vitamin & Mineral Supplements
2,2020-06-26,4587.0,Blended Vitamin & Mineral Supplements
3,2020-06-27,4238.0,Blended Vitamin & Mineral Supplements
4,2020-06-28,4181.0,Blended Vitamin & Mineral Supplements
5,2020-06-29,4181.0,Blended Vitamin & Mineral Supplements
6,2020-06-30,4109.0,Blended Vitamin & Mineral Supplements
7,2020-07-01,4449.0,Blended Vitamin & Mineral Supplements
8,2020-07-02,4449.0,Blended Vitamin & Mineral Supplements
9,2020-07-03,4492.0,Blended Vitamin & Mineral Supplements
10,2020-07-04,4492.0,Blended Vitamin & Mineral Supplements
11,2020-07-05,4492.0,Blended Vitamin & Mineral Supplements
12,2020-07-06,4510.0,Blended Vitamin & Mineral Supplements
13,2020-07-07,4148.0,Blended Vitamin & Mineral Supplements
14,2020-07-08,4148.0,Blended Vitamin & Mineral Supplements
15,2020-07-09,4012.0,Blended Vitamin & Mineral Supplements
16,2020-07-10,4012.0,Blended Vitamin & Mineral Supplements
17,2020-07-11,4012.0,Blended Vitamin & Mineral Supplements
18,2020-07-12,5092.0,Blended Vitamin & Mineral Supplements
19,2020-07-13,5092.0,Blended Vitamin & Mineral Supplements
20,2020-07-14,4444.0,Blended Vitamin & Mineral Supplements
21,2020-07-15,4444.0,Blended Vitamin & Mineral Supplements
22,2020-07-16,4241.0,Blended Vitamin & Mineral Supplements
23,2020-07-17,4241.0,Blended Vitamin & Mineral Supplements
24,2020-07-18,4241.0,Blended Vitamin & Mineral Supplements
25,2020-07-19,4329.0,Blended Vitamin & Mineral Supplements
26,2020-07-20,4329.0,Blended Vitamin & Mineral Supplements
27,2020-07-21,4329.0,Blended Vitamin & Mineral Supplements
28,2020-07-22,4300.0,Blended Vitamin & Mineral Supplements
29,2020-07-23,4573.0,Blended Vitamin & Mineral Supplements
30,2020-07-24,4573.0,Blended Vitamin & Mineral Supplements
31,2020-07-25,4035.0,Blended Vitamin & Mineral Supplements
32,2020-07-26,4035.0,Blended Vitamin & Mineral Supplements
33,2020-07-27,4778.0,Blended Vitamin & Mineral Supplements
34,2020-07-28,4778.0,Blended Vitamin & Mineral Supplements
35,2020-07-29,4656.0,Blended Vitamin & Mineral Supplements
36,2020-07-30,4656.0,Blended Vitamin & Mineral Supplements
37,2020-07-31,4148.0,Blended Vitamin & Mineral Supplements
38,2020-08-01,4148.0,Blended Vitamin & Mineral Supplements
39,2020-08-02,4148.0,Blended Vitamin & Mineral Supplements
40,2020-08-03,4374.0,Blended Vitamin & Mineral Supplements
41,2020-08-04,4254.0,Blended Vitamin & Mineral Supplements
42,2020-08-05,4605.0,Blended Vitamin & Mineral Supplements
43,2020-08-06,3944.0,Blended Vitamin & Mineral Supplements
44,2020-08-07,3944.0,Blended Vitamin & Mineral Supplements
45,2020-08-08,3944.0,Blended Vitamin & Mineral Supplements
46,2020-08-09,4490.0,Blended Vitamin & Mineral Supplements
47,2020-08-10,4490.0,Blended Vitamin & Mineral Supplements
48,2020-08-11,4078.0,Blended Vitamin & Mineral Supplements
49,2020-08-12,3952.0,Blended Vitamin & Mineral Supplements
50,2020-08-13,4212.0,Blended Vitamin & Mineral Supplements
51,2020-08-14,4212.0,Blended Vitamin & Mineral Supplements
52,2020-08-15,3702.0,Blended Vitamin & Mineral Supplements
53,2020-08-16,3702.0,Blended Vitamin & Mineral Supplements
54,2020-08-17,4384.0,Blended Vitamin & Mineral Supplements
55,2020-08-18,4285.0,Blended Vitamin & Mineral Supplements
56,2020-08-19,4285.0,Blended Vitamin & Mineral Supplements
57,2020-08-20,4396.0,Blended Vitamin & Mineral Supplements
58,2020-08-21,4396.0,Blended Vitamin & Mineral Supplements
59,2020-08-22,4759.0,Blended Vitamin & Mineral Supplements
60,2020-08-23,4759.0,Blended Vitamin & Mineral Supplements
61,2020-08-24,4759.0,Blended Vitamin & Mineral Supplements
62,2020-08-25,6970.0,Blended Vitamin & Mineral Supplements
63,2020-08-26,7777.0,Blended Vitamin & Mineral Supplements
64,2020-08-27,7777.0,Blended Vitamin & Mineral Supplements
65,2020-08-28,4165.0,Blended Vitamin & Mineral Supplements
66,2020-08-29,4165.0,Blended Vitamin & Mineral Supplements
67,2020-08-30,4165.0,Blended Vitamin & Mineral Supplements
68,2020-08-31,3987.0,Blended Vitamin & Mineral Supplements
69,2020-09-01,3987.0,Blended Vitamin & Mineral Supplements
70,2020-09-02,3794.0,Blended Vitamin & Mineral Supplements
71,2020-09-03,4187.0,Blended Vitamin & Mineral Supplements
72,2020-09-04,4187.0,Blended Vitamin & Mineral Supplements
73,2020-09-05,3895.0,Blended Vitamin & Mineral Supplements
74,2020-09-06,3895.0,Blended Vitamin & Mineral Supplements
75,2020-09-07,4111.0,Blended Vitamin & Mineral Supplements
76,2020-09-08,4111.0,Blended Vitamin & Mineral Supplements
77,2020-09-09,4111.0,Blended Vitamin & Mineral Supplements
78,2020-09-10,4277.0,Blended Vitamin & Mineral Supplements
79,2020-09-11,3778.0,Blended Vitamin & Mineral Supplements
80,2020-09-12,3778.0,Blended Vitamin & Mineral Supplements
81,2020-09-13,3996.0,Blended Vitamin & Mineral Supplements
82,2020-09-14,4152.0,Blended Vitamin & Mineral Supplements
83,2020-09-15,3535.0,Blended Vitamin & Mineral Supplements
84,2020-09-16,3604.0,Blended Vitamin & Mineral Supplements
85,2020-09-17,3604.0,Blended Vitamin & Mineral Supplements
86,2020-09-18,3604.0,Blended Vitamin & Mineral Supplements
87,2020-09-19,4579.0,Blended Vitamin & Mineral Supplements
88,2020-09-20,4579.0,Blended Vitamin & Mineral Supplements
89,2020-09-21,4579.0,Blended Vitamin & Mineral Supplements
90,2020-09-22,4743.0,Blended Vitamin & Mineral Supplements
91,2020-09-23,4743.0,Blended Vitamin & Mineral Supplements
