,date,value,name_B073V72B7J
0,2020-05-24,14922.0,Blended Vitamin & Mineral Supplements
1,2020-05-25,14922.0,Blended Vitamin & Mineral Supplements
2,2020-05-26,12568.0,Blended Vitamin & Mineral Supplements
3,2020-05-27,15768.0,Blended Vitamin & Mineral Supplements
4,2020-05-28,13583.0,Blended Vitamin & Mineral Supplements
5,2020-05-29,15452.0,Blended Vitamin & Mineral Supplements
6,2020-05-30,15452.0,Blended Vitamin & Mineral Supplements
7,2020-05-31,16977.0,Blended Vitamin & Mineral Supplements
8,2020-06-01,16977.0,Blended Vitamin & Mineral Supplements
9,2020-06-02,19012.0,Blended Vitamin & Mineral Supplements
10,2020-06-03,19012.0,Blended Vitamin & Mineral Supplements
11,2020-06-04,16261.0,Blended Vitamin & Mineral Supplements
12,2020-06-05,17414.0,Blended Vitamin & Mineral Supplements
13,2020-06-06,22115.0,Blended Vitamin & Mineral Supplements
14,2020-06-07,22115.0,Blended Vitamin & Mineral Supplements
15,2020-06-08,17288.0,Blended Vitamin & Mineral Supplements
16,2020-06-09,17288.0,Blended Vitamin & Mineral Supplements
17,2020-06-10,16356.0,Blended Vitamin & Mineral Supplements
18,2020-06-11,16228.0,Blended Vitamin & Mineral Supplements
19,2020-06-12,20407.0,Blended Vitamin & Mineral Supplements
20,2020-06-13,19522.0,Blended Vitamin & Mineral Supplements
21,2020-06-14,19522.0,Blended Vitamin & Mineral Supplements
22,2020-06-15,16627.0,Blended Vitamin & Mineral Supplements
23,2020-06-16,16627.0,Blended Vitamin & Mineral Supplements
24,2020-06-17,21957.0,Blended Vitamin & Mineral Supplements
25,2020-06-18,21957.0,Blended Vitamin & Mineral Supplements
26,2020-06-19,21960.0,Blended Vitamin & Mineral Supplements
27,2020-06-20,21960.0,Blended Vitamin & Mineral Supplements
28,2020-06-21,34082.0,Blended Vitamin & Mineral Supplements
29,2020-06-22,22063.0,Blended Vitamin & Mineral Supplements
30,2020-06-23,22063.0,Blended Vitamin & Mineral Supplements
31,2020-06-24,31592.0,Blended Vitamin & Mineral Supplements
32,2020-06-25,28234.0,Blended Vitamin & Mineral Supplements
33,2020-06-26,28234.0,Blended Vitamin & Mineral Supplements
34,2020-06-27,28930.0,Blended Vitamin & Mineral Supplements
35,2020-06-28,34415.0,Blended Vitamin & Mineral Supplements
36,2020-06-29,30276.0,Blended Vitamin & Mineral Supplements
37,2020-06-30,30276.0,Blended Vitamin & Mineral Supplements
38,2020-07-01,24447.0,Blended Vitamin & Mineral Supplements
39,2020-07-02,33890.0,Blended Vitamin & Mineral Supplements
40,2020-07-03,33890.0,Blended Vitamin & Mineral Supplements
41,2020-07-04,32749.0,Blended Vitamin & Mineral Supplements
42,2020-07-05,32749.0,Blended Vitamin & Mineral Supplements
43,2020-07-06,27846.0,Blended Vitamin & Mineral Supplements
44,2020-07-07,27846.0,Blended Vitamin & Mineral Supplements
45,2020-07-08,18291.0,Blended Vitamin & Mineral Supplements
46,2020-07-09,21294.0,Blended Vitamin & Mineral Supplements
47,2020-07-10,24265.0,Blended Vitamin & Mineral Supplements
48,2020-07-11,17928.0,Blended Vitamin & Mineral Supplements
49,2020-07-12,17928.0,Blended Vitamin & Mineral Supplements
50,2020-07-13,18471.0,Blended Vitamin & Mineral Supplements
51,2020-07-14,20454.0,Blended Vitamin & Mineral Supplements
52,2020-07-15,18984.0,Blended Vitamin & Mineral Supplements
53,2020-07-16,18984.0,Blended Vitamin & Mineral Supplements
54,2020-07-17,23115.0,Blended Vitamin & Mineral Supplements
55,2020-07-18,24277.0,Blended Vitamin & Mineral Supplements
56,2020-07-19,24277.0,Blended Vitamin & Mineral Supplements
57,2020-07-20,24468.0,Blended Vitamin & Mineral Supplements
58,2020-07-21,24468.0,Blended Vitamin & Mineral Supplements
