,date,value,name_B08PF6L8VY
0,2020-12-04,46920.0,Envelope Mailers
1,2020-12-05,46920.0,Envelope Mailers
2,2020-12-06,18043.0,Envelope Mailers
3,2020-12-07,14529.0,Envelope Mailers
4,2020-12-08,14641.0,Envelope Mailers
5,2020-12-09,20039.0,Envelope Mailers
6,2020-12-10,20829.0,Envelope Mailers
7,2020-12-11,26787.0,Envelope Mailers
8,2020-12-12,26787.0,Envelope Mailers
9,2020-12-13,26787.0,Envelope Mailers
10,2020-12-14,26787.0,Envelope Mailers
11,2020-12-15,28913.0,Envelope Mailers
12,2020-12-16,42116.0,Envelope Mailers
13,2020-12-17,42116.0,Envelope Mailers
14,2020-12-18,42116.0,Envelope Mailers
15,2020-12-19,42116.0,Envelope Mailers
16,2020-12-20,42116.0,Envelope Mailers
17,2020-12-21,42116.0,Envelope Mailers
18,2020-12-22,42116.0,Envelope Mailers
19,2020-12-23,42116.0,Envelope Mailers
20,2020-12-24,61044.0,Envelope Mailers
21,2020-12-25,61044.0,Envelope Mailers
22,2020-12-26,61044.0,Envelope Mailers
23,2020-12-27,61044.0,Envelope Mailers
24,2020-12-28,67798.0,Envelope Mailers
25,2020-12-29,67798.0,Envelope Mailers
26,2020-12-30,67798.0,Envelope Mailers
27,2020-12-31,85357.0,Envelope Mailers
28,2021-01-01,85357.0,Envelope Mailers
29,2021-01-02,85357.0,Envelope Mailers
30,2021-01-03,85357.0,Envelope Mailers
31,2021-01-04,31086.0,Envelope Mailers
32,2021-01-05,31086.0,Envelope Mailers
33,2021-01-06,31086.0,Envelope Mailers
34,2021-01-07,38574.0,Envelope Mailers
35,2021-01-08,38574.0,Envelope Mailers
36,2021-01-09,38574.0,Envelope Mailers
37,2021-01-10,38574.0,Envelope Mailers
38,2021-01-11,38574.0,Envelope Mailers
39,2021-01-12,35238.0,Envelope Mailers
40,2021-01-13,35238.0,Envelope Mailers
41,2021-01-14,35238.0,Envelope Mailers
42,2021-01-15,35238.0,Envelope Mailers
43,2021-01-16,35238.0,Envelope Mailers
44,2021-01-17,35238.0,Envelope Mailers
45,2021-01-18,35238.0,Envelope Mailers
46,2021-01-19,35238.0,Envelope Mailers
47,2021-01-20,35238.0,Envelope Mailers
48,2021-01-21,35238.0,Envelope Mailers
49,2021-01-22,55558.0,Envelope Mailers
50,2021-01-23,55558.0,Envelope Mailers
51,2021-01-24,55558.0,Envelope Mailers
52,2021-01-25,55558.0,Envelope Mailers
53,2021-01-26,46354.0,Envelope Mailers
54,2021-01-27,46354.0,Envelope Mailers
55,2021-01-28,46354.0,Envelope Mailers
56,2021-01-29,46354.0,Envelope Mailers
57,2021-01-30,46354.0,Envelope Mailers
58,2021-01-31,70460.0,Envelope Mailers
59,2021-02-01,91300.0,Envelope Mailers
60,2021-02-02,91300.0,Envelope Mailers
61,2021-02-03,91300.0,Envelope Mailers
62,2021-02-04,91300.0,Envelope Mailers
63,2021-02-05,91300.0,Envelope Mailers
64,2021-02-06,91300.0,Envelope Mailers
65,2021-02-07,91300.0,Envelope Mailers
66,2021-02-08,91300.0,Envelope Mailers
67,2021-02-09,91300.0,Envelope Mailers
68,2021-02-10,91300.0,Envelope Mailers
69,2021-02-11,91300.0,Envelope Mailers
70,2021-02-12,91300.0,Envelope Mailers
71,2021-02-13,91300.0,Envelope Mailers
72,2021-02-14,91300.0,Envelope Mailers
73,2021-02-15,66674.0,Envelope Mailers
74,2021-02-16,66674.0,Envelope Mailers
75,2021-02-17,66674.0,Envelope Mailers
76,2021-02-18,66674.0,Envelope Mailers
77,2021-02-19,66674.0,Envelope Mailers
78,2021-02-20,94399.0,Envelope Mailers
79,2021-02-21,94399.0,Envelope Mailers
80,2021-02-22,94399.0,Envelope Mailers
81,2021-02-23,94399.0,Envelope Mailers
82,2021-02-24,94399.0,Envelope Mailers
83,2021-02-25,37040.0,Envelope Mailers
84,2021-02-26,37040.0,Envelope Mailers
85,2021-02-27,37040.0,Envelope Mailers
86,2021-02-28,37040.0,Envelope Mailers
87,2021-03-01,37040.0,Envelope Mailers
88,2021-03-02,69942.0,Envelope Mailers
89,2021-03-03,69942.0,Envelope Mailers
90,2021-03-04,69942.0,Envelope Mailers
91,2021-03-05,71309.0,Envelope Mailers
92,2021-03-06,71309.0,Envelope Mailers
93,2021-03-07,71309.0,Envelope Mailers
94,2021-03-08,71309.0,Envelope Mailers
95,2021-03-09,71309.0,Envelope Mailers
96,2021-03-10,16889.0,Envelope Mailers
97,2021-03-11,16889.0,Envelope Mailers
98,2021-03-12,16889.0,Envelope Mailers
99,2021-03-13,16889.0,Envelope Mailers
100,2021-03-14,25238.0,Envelope Mailers
101,2021-03-15,25238.0,Envelope Mailers
102,2021-03-16,25238.0,Envelope Mailers
103,2021-03-17,15981.0,Envelope Mailers
104,2021-03-18,15981.0,Envelope Mailers
105,2021-03-19,15981.0,Envelope Mailers
106,2021-03-20,15981.0,Envelope Mailers
107,2021-03-21,15981.0,Envelope Mailers
108,2021-03-22,16288.0,Envelope Mailers
109,2021-03-23,16288.0,Envelope Mailers
110,2021-03-24,16288.0,Envelope Mailers
111,2021-03-25,21385.0,Envelope Mailers
112,2021-03-26,21385.0,Envelope Mailers
113,2021-03-27,21385.0,Envelope Mailers
114,2021-03-28,21385.0,Envelope Mailers
115,2021-03-29,21385.0,Envelope Mailers
116,2021-03-30,21385.0,Envelope Mailers
117,2021-03-31,15759.0,Envelope Mailers
118,2021-04-01,23026.0,Envelope Mailers
119,2021-04-02,23026.0,Envelope Mailers
120,2021-04-03,23026.0,Envelope Mailers
121,2021-04-04,23026.0,Envelope Mailers
122,2021-04-05,23026.0,Envelope Mailers
123,2021-04-06,16971.0,Envelope Mailers
124,2021-04-07,16971.0,Envelope Mailers
125,2021-04-08,16971.0,Envelope Mailers
126,2021-04-09,25764.0,Envelope Mailers
127,2021-04-10,25764.0,Envelope Mailers
128,2021-04-11,25764.0,Envelope Mailers
129,2021-04-12,27629.0,Envelope Mailers
130,2021-04-13,27629.0,Envelope Mailers
131,2021-04-14,31094.0,Envelope Mailers
132,2021-04-15,31094.0,Envelope Mailers
133,2021-04-16,27112.0,Envelope Mailers
134,2021-04-17,27112.0,Envelope Mailers
135,2021-04-18,27112.0,Envelope Mailers
136,2021-04-19,27112.0,Envelope Mailers
137,2021-04-20,27112.0,Envelope Mailers
138,2021-04-21,43493.0,Envelope Mailers
139,2021-04-22,43493.0,Envelope Mailers
140,2021-04-23,43493.0,Envelope Mailers
141,2021-04-24,43493.0,Envelope Mailers
142,2021-04-25,66917.0,Envelope Mailers
143,2021-04-26,66917.0,Envelope Mailers
144,2021-04-27,66917.0,Envelope Mailers
145,2021-04-28,66917.0,Envelope Mailers
146,2021-04-29,66917.0,Envelope Mailers
147,2021-04-30,47019.0,Envelope Mailers
148,2021-05-01,47019.0,Envelope Mailers
149,2021-05-02,47019.0,Envelope Mailers
150,2021-05-03,47019.0,Envelope Mailers
151,2021-05-04,47019.0,Envelope Mailers
