,date,value,name_B08CXMV824
0,2020-07-18,3370.0,Garden Hoses
1,2020-07-19,3370.0,Garden Hoses
2,2020-07-20,2689.0,Garden Hoses
3,2020-07-21,3869.0,Garden Hoses
4,2020-07-22,3869.0,Garden Hoses
5,2020-07-23,3869.0,Garden Hoses
6,2020-07-24,4620.0,Garden Hoses
7,2020-07-25,4620.0,Garden Hoses
8,2020-07-26,4620.0,Garden Hoses
9,2020-07-27,9361.0,Garden Hoses
10,2020-07-28,9361.0,Garden Hoses
11,2020-07-29,6644.0,Garden Hoses
12,2020-07-30,7089.0,Garden Hoses
13,2020-07-31,7089.0,Garden Hoses
14,2020-08-01,7089.0,Garden Hoses
15,2020-08-02,7089.0,Garden Hoses
16,2020-08-03,9831.0,Garden Hoses
17,2020-08-04,9425.0,Garden Hoses
18,2020-08-05,9911.0,Garden Hoses
19,2020-08-06,9911.0,Garden Hoses
20,2020-08-07,9911.0,Garden Hoses
21,2020-08-08,9911.0,Garden Hoses
22,2020-08-09,10737.0,Garden Hoses
23,2020-08-10,10737.0,Garden Hoses
24,2020-08-11,10737.0,Garden Hoses
25,2020-08-12,8127.0,Garden Hoses
26,2020-08-13,8127.0,Garden Hoses
27,2020-08-14,8127.0,Garden Hoses
28,2020-08-15,8127.0,Garden Hoses
29,2020-08-16,8127.0,Garden Hoses
30,2020-08-17,17562.0,Garden Hoses
31,2020-08-18,17562.0,Garden Hoses
32,2020-08-19,17562.0,Garden Hoses
33,2020-08-20,23745.0,Garden Hoses
34,2020-08-21,23745.0,Garden Hoses
35,2020-08-22,23745.0,Garden Hoses
36,2020-08-23,45918.0,Garden Hoses
37,2020-08-24,11566.0,Garden Hoses
38,2020-08-25,7168.0,Garden Hoses
39,2020-08-26,7168.0,Garden Hoses
40,2020-08-27,7168.0,Garden Hoses
41,2020-08-28,11828.0,Garden Hoses
42,2020-08-29,11828.0,Garden Hoses
43,2020-08-30,11828.0,Garden Hoses
44,2020-08-31,11828.0,Garden Hoses
45,2020-09-01,11828.0,Garden Hoses
46,2020-09-02,12330.0,Garden Hoses
47,2020-09-03,12330.0,Garden Hoses
48,2020-09-04,12330.0,Garden Hoses
49,2020-09-05,12330.0,Garden Hoses
50,2020-09-06,12330.0,Garden Hoses
51,2020-09-07,12330.0,Garden Hoses
52,2020-09-08,10772.0,Garden Hoses
53,2020-09-09,10772.0,Garden Hoses
54,2020-09-10,10772.0,Garden Hoses
55,2020-09-11,10772.0,Garden Hoses
56,2020-09-12,7969.0,Garden Hoses
57,2020-09-13,7969.0,Garden Hoses
58,2020-09-14,7969.0,Garden Hoses
59,2020-09-15,7969.0,Garden Hoses
60,2020-09-16,21662.0,Garden Hoses
61,2020-09-17,21662.0,Garden Hoses
62,2020-09-18,11368.0,Garden Hoses
63,2020-09-19,11368.0,Garden Hoses
64,2020-09-20,11368.0,Garden Hoses
65,2020-09-21,19753.0,Garden Hoses
66,2020-09-22,19753.0,Garden Hoses
67,2020-09-23,24539.0,Garden Hoses
68,2020-09-24,24539.0,Garden Hoses
69,2020-09-25,24539.0,Garden Hoses
70,2020-09-26,27981.0,Garden Hoses
71,2020-09-27,27981.0,Garden Hoses
72,2020-09-28,29522.0,Garden Hoses
73,2020-09-29,29522.0,Garden Hoses
74,2020-09-30,29522.0,Garden Hoses
75,2020-10-01,29522.0,Garden Hoses
76,2020-10-02,18809.0,Garden Hoses
77,2020-10-03,18809.0,Garden Hoses
78,2020-10-04,18809.0,Garden Hoses
79,2020-10-05,10761.0,Garden Hoses
80,2020-10-06,10761.0,Garden Hoses
81,2020-10-07,10761.0,Garden Hoses
82,2020-10-08,10761.0,Garden Hoses
83,2020-10-09,10761.0,Garden Hoses
84,2020-10-10,10761.0,Garden Hoses
85,2020-10-11,25031.0,Garden Hoses
86,2020-10-12,25031.0,Garden Hoses
87,2020-10-13,25031.0,Garden Hoses
88,2020-10-14,16752.0,Garden Hoses
89,2020-10-15,16752.0,Garden Hoses
90,2020-10-16,16752.0,Garden Hoses
91,2020-10-17,16752.0,Garden Hoses
92,2020-10-18,16882.0,Garden Hoses
93,2020-10-19,16882.0,Garden Hoses
94,2020-10-20,13480.0,Garden Hoses
95,2020-10-21,22350.0,Garden Hoses
96,2020-10-22,22350.0,Garden Hoses
97,2020-10-23,22350.0,Garden Hoses
98,2020-10-24,22350.0,Garden Hoses
99,2020-10-25,22350.0,Garden Hoses
100,2020-10-26,18161.0,Garden Hoses
101,2020-10-27,18161.0,Garden Hoses
102,2020-10-28,18161.0,Garden Hoses
103,2020-10-29,18161.0,Garden Hoses
104,2020-10-30,28926.0,Garden Hoses
105,2020-10-31,28926.0,Garden Hoses
106,2020-11-01,28926.0,Garden Hoses
107,2020-11-02,28926.0,Garden Hoses
108,2020-11-03,28926.0,Garden Hoses
109,2020-11-04,28926.0,Garden Hoses
110,2020-11-05,28209.0,Garden Hoses
111,2020-11-06,28209.0,Garden Hoses
112,2020-11-07,28209.0,Garden Hoses
113,2020-11-08,28209.0,Garden Hoses
114,2020-11-09,28209.0,Garden Hoses
115,2020-11-10,26883.0,Garden Hoses
116,2020-11-11,26883.0,Garden Hoses
117,2020-11-12,26883.0,Garden Hoses
118,2020-11-13,26883.0,Garden Hoses
119,2020-11-14,17310.0,Garden Hoses
120,2020-11-15,17310.0,Garden Hoses
121,2020-11-16,17310.0,Garden Hoses
122,2020-11-17,22077.0,Garden Hoses
123,2020-11-18,22077.0,Garden Hoses
124,2020-11-19,22077.0,Garden Hoses
125,2020-11-20,9167.0,Garden Hoses
126,2020-11-21,9167.0,Garden Hoses
127,2020-11-22,9167.0,Garden Hoses
128,2020-11-23,45849.0,Garden Hoses
129,2020-11-24,45849.0,Garden Hoses
130,2020-11-25,45849.0,Garden Hoses
131,2020-11-26,53436.0,Garden Hoses
132,2020-11-27,53436.0,Garden Hoses
133,2020-11-28,53436.0,Garden Hoses
134,2020-11-29,53436.0,Garden Hoses
135,2020-11-30,53436.0,Garden Hoses
136,2020-12-01,53436.0,Garden Hoses
137,2020-12-02,65944.0,Garden Hoses
138,2020-12-03,65944.0,Garden Hoses
139,2020-12-04,65944.0,Garden Hoses
140,2020-12-05,65944.0,Garden Hoses
141,2020-12-06,65944.0,Garden Hoses
142,2020-12-07,92078.0,Garden Hoses
143,2020-12-08,92078.0,Garden Hoses
144,2020-12-09,92078.0,Garden Hoses
145,2020-12-10,92078.0,Garden Hoses
146,2020-12-11,92078.0,Garden Hoses
147,2020-12-12,92078.0,Garden Hoses
148,2020-12-13,92078.0,Garden Hoses
149,2020-12-14,53075.0,Garden Hoses
150,2020-12-15,53075.0,Garden Hoses
151,2020-12-16,40508.0,Garden Hoses
152,2020-12-17,40508.0,Garden Hoses
153,2020-12-18,574.0,Garden Hoses
154,2020-12-19,574.0,Garden Hoses
155,2020-12-20,2846.0,Garden Hoses
156,2020-12-21,5356.0,Garden Hoses
157,2020-12-22,5356.0,Garden Hoses
158,2020-12-23,5356.0,Garden Hoses
159,2020-12-24,5356.0,Garden Hoses
160,2020-12-25,5356.0,Garden Hoses
161,2020-12-26,5356.0,Garden Hoses
162,2020-12-27,22702.0,Garden Hoses
163,2020-12-28,22702.0,Garden Hoses
164,2020-12-29,22702.0,Garden Hoses
165,2020-12-30,22511.0,Garden Hoses
166,2020-12-31,22511.0,Garden Hoses
167,2021-01-01,22511.0,Garden Hoses
168,2021-01-02,22511.0,Garden Hoses
169,2021-01-03,20811.0,Garden Hoses
170,2021-01-04,29157.0,Garden Hoses
171,2021-01-05,29157.0,Garden Hoses
172,2021-01-06,46933.0,Garden Hoses
173,2021-01-07,46933.0,Garden Hoses
174,2021-01-08,46933.0,Garden Hoses
175,2021-01-09,40218.0,Garden Hoses
176,2021-01-10,40218.0,Garden Hoses
177,2021-01-11,57897.0,Garden Hoses
178,2021-01-12,57897.0,Garden Hoses
179,2021-01-13,55955.0,Garden Hoses
180,2021-01-14,55955.0,Garden Hoses
181,2021-01-15,63647.0,Garden Hoses
182,2021-01-16,63647.0,Garden Hoses
183,2021-01-17,63647.0,Garden Hoses
184,2021-01-18,63647.0,Garden Hoses
185,2021-01-19,63647.0,Garden Hoses
186,2021-01-20,63647.0,Garden Hoses
187,2021-01-21,63647.0,Garden Hoses
188,2021-01-22,63647.0,Garden Hoses
189,2021-01-23,63647.0,Garden Hoses
190,2021-01-24,63647.0,Garden Hoses
191,2021-01-25,63647.0,Garden Hoses
192,2021-01-26,87995.0,Garden Hoses
193,2021-01-27,87995.0,Garden Hoses
194,2021-01-28,87995.0,Garden Hoses
195,2021-01-29,90077.0,Garden Hoses
196,2021-01-30,90077.0,Garden Hoses
197,2021-01-31,91259.0,Garden Hoses
198,2021-02-01,91259.0,Garden Hoses
199,2021-02-02,91259.0,Garden Hoses
200,2021-02-03,91259.0,Garden Hoses
201,2021-02-04,91259.0,Garden Hoses
202,2021-02-05,91259.0,Garden Hoses
203,2021-02-06,91259.0,Garden Hoses
204,2021-02-07,91259.0,Garden Hoses
205,2021-02-08,91259.0,Garden Hoses
206,2021-02-09,91259.0,Garden Hoses
207,2021-02-10,91259.0,Garden Hoses
208,2021-02-11,91259.0,Garden Hoses
209,2021-02-12,91259.0,Garden Hoses
210,2021-02-13,91259.0,Garden Hoses
211,2021-02-14,91259.0,Garden Hoses
212,2021-02-15,91259.0,Garden Hoses
213,2021-02-16,91259.0,Garden Hoses
214,2021-02-17,91259.0,Garden Hoses
215,2021-02-18,91259.0,Garden Hoses
216,2021-02-19,91259.0,Garden Hoses
217,2021-02-20,91259.0,Garden Hoses
218,2021-02-21,131224.0,Garden Hoses
219,2021-02-22,131224.0,Garden Hoses
220,2021-02-23,131224.0,Garden Hoses
221,2021-02-24,131224.0,Garden Hoses
222,2021-02-25,131224.0,Garden Hoses
223,2021-02-26,64384.0,Garden Hoses
224,2021-02-27,64384.0,Garden Hoses
225,2021-02-28,64384.0,Garden Hoses
226,2021-03-01,64384.0,Garden Hoses
227,2021-03-02,64384.0,Garden Hoses
228,2021-03-03,124425.0,Garden Hoses
229,2021-03-04,124425.0,Garden Hoses
230,2021-03-05,124425.0,Garden Hoses
231,2021-03-06,124425.0,Garden Hoses
232,2021-03-07,62161.0,Garden Hoses
233,2021-03-08,62161.0,Garden Hoses
234,2021-03-09,62161.0,Garden Hoses
235,2021-03-10,62161.0,Garden Hoses
236,2021-03-11,62161.0,Garden Hoses
237,2021-03-12,62161.0,Garden Hoses
238,2021-03-13,62161.0,Garden Hoses
239,2021-03-14,62161.0,Garden Hoses
240,2021-03-15,10652.0,Garden Hoses
241,2021-03-16,10101.0,Garden Hoses
242,2021-03-17,10101.0,Garden Hoses
243,2021-03-18,10101.0,Garden Hoses
244,2021-03-19,10101.0,Garden Hoses
245,2021-03-20,10101.0,Garden Hoses
246,2021-03-21,20109.0,Garden Hoses
247,2021-03-22,20109.0,Garden Hoses
248,2021-03-23,20109.0,Garden Hoses
249,2021-03-24,4678.0,Garden Hoses
