,date,value,name_B0923WCN39
0,2021-04-11,3152.0,Plant Container Accessories
1,2021-04-12,3152.0,Plant Container Accessories
2,2021-04-13,3531.0,Plant Container Accessories
3,2021-04-14,3531.0,Plant Container Accessories
4,2021-04-15,3675.0,Plant Container Accessories
5,2021-04-16,3557.0,Plant Container Accessories
6,2021-04-17,3557.0,Plant Container Accessories
7,2021-04-18,3557.0,Plant Container Accessories
8,2021-04-19,4767.0,Plant Container Accessories
9,2021-04-20,4767.0,Plant Container Accessories
10,2021-04-21,4432.0,Plant Container Accessories
11,2021-04-22,4570.0,Plant Container Accessories
12,2021-04-23,4570.0,Plant Container Accessories
13,2021-04-24,4662.0,Plant Container Accessories
14,2021-04-25,3755.0,Plant Container Accessories
15,2021-04-26,3755.0,Plant Container Accessories
16,2021-04-27,3755.0,Plant Container Accessories
17,2021-04-28,4536.0,Plant Container Accessories
18,2021-04-29,4536.0,Plant Container Accessories
19,2021-04-30,4332.0,Plant Container Accessories
20,2021-05-01,4332.0,Plant Container Accessories
21,2021-05-02,4332.0,Plant Container Accessories
22,2021-05-03,1772.0,Plant Container Accessories
23,2021-05-04,1772.0,Plant Container Accessories
24,2021-05-05,1872.0,Plant Container Accessories
25,2021-05-06,1872.0,Plant Container Accessories
26,2021-05-07,1674.0,Plant Container Accessories
27,2021-05-08,1674.0,Plant Container Accessories
28,2021-05-09,1009.0,Plant Container Accessories
29,2021-05-10,1009.0,Plant Container Accessories
30,2021-05-11,1009.0,Plant Container Accessories
31,2021-05-12,869.0,Plant Container Accessories
32,2021-05-13,927.0,Plant Container Accessories
33,2021-05-14,927.0,Plant Container Accessories
34,2021-05-15,918.0,Plant Container Accessories
35,2021-05-16,918.0,Plant Container Accessories
36,2021-05-17,740.0,Plant Container Accessories
37,2021-05-18,740.0,Plant Container Accessories
38,2021-05-19,821.0,Plant Container Accessories
39,2021-05-20,888.0,Plant Container Accessories
40,2021-05-21,926.0,Plant Container Accessories
41,2021-05-22,926.0,Plant Container Accessories
42,2021-05-23,1086.0,Plant Container Accessories
43,2021-05-24,1086.0,Plant Container Accessories
44,2021-05-25,1345.0,Plant Container Accessories
45,2021-05-26,1345.0,Plant Container Accessories
46,2021-05-27,1184.0,Plant Container Accessories
47,2021-05-28,1184.0,Plant Container Accessories
48,2021-05-29,1460.0,Plant Container Accessories
49,2021-05-30,1460.0,Plant Container Accessories
50,2021-05-31,1700.0,Plant Container Accessories
51,2021-06-01,1700.0,Plant Container Accessories
52,2021-06-02,2871.0,Plant Container Accessories
53,2021-06-03,2871.0,Plant Container Accessories
54,2021-06-04,2929.0,Plant Container Accessories
55,2021-06-05,2929.0,Plant Container Accessories
56,2021-06-06,2929.0,Plant Container Accessories
57,2021-06-07,1775.0,Plant Container Accessories
58,2021-06-08,2270.0,Plant Container Accessories
59,2021-06-09,2557.0,Plant Container Accessories
60,2021-06-10,2557.0,Plant Container Accessories
61,2021-06-11,2771.0,Plant Container Accessories
62,2021-06-12,2771.0,Plant Container Accessories
63,2021-06-13,2771.0,Plant Container Accessories
64,2021-06-14,2165.0,Plant Container Accessories
65,2021-06-15,2165.0,Plant Container Accessories
66,2021-06-16,2364.0,Plant Container Accessories
67,2021-06-17,2364.0,Plant Container Accessories
68,2021-06-18,2588.0,Plant Container Accessories
69,2021-06-19,2540.0,Plant Container Accessories
70,2021-06-20,2540.0,Plant Container Accessories
71,2021-06-21,2449.0,Plant Container Accessories
72,2021-06-22,2449.0,Plant Container Accessories
73,2021-06-23,1116.0,Plant Container Accessories
74,2021-06-24,875.0,Plant Container Accessories
75,2021-06-25,1470.0,Plant Container Accessories
76,2021-06-26,1470.0,Plant Container Accessories
77,2021-06-27,1787.0,Plant Container Accessories
78,2021-06-28,1787.0,Plant Container Accessories
79,2021-06-29,2472.0,Plant Container Accessories
80,2021-06-30,2472.0,Plant Container Accessories
81,2021-07-01,2487.0,Plant Container Accessories
82,2021-07-02,2487.0,Plant Container Accessories
83,2021-07-03,2487.0,Plant Container Accessories
84,2021-07-04,2303.0,Plant Container Accessories
85,2021-07-05,2303.0,Plant Container Accessories
86,2021-07-06,3914.0,Plant Container Accessories
87,2021-07-07,3914.0,Plant Container Accessories
88,2021-07-08,3135.0,Plant Container Accessories
89,2021-07-09,3627.0,Plant Container Accessories
90,2021-07-10,3627.0,Plant Container Accessories
91,2021-07-11,4518.0,Plant Container Accessories
