,date,value,name_B07KXCWTJV
0,2019-01-27,43261.0,Rug Pads
1,2019-01-28,40537.0,Rug Pads
2,2019-01-29,41397.0,Rug Pads
3,2019-01-30,48227.0,Rug Pads
4,2019-01-31,67613.0,Rug Pads
5,2019-02-01,69715.0,Rug Pads
6,2019-02-02,52031.0,Rug Pads
7,2019-02-03,52031.0,Rug Pads
8,2019-02-04,52031.0,Rug Pads
9,2019-02-05,52031.0,Rug Pads
10,2019-02-06,46170.0,Rug Pads
11,2019-02-07,46170.0,Rug Pads
12,2019-02-08,46170.0,Rug Pads
13,2019-02-09,46170.0,Rug Pads
14,2019-02-10,33655.0,Rug Pads
15,2019-02-11,61590.0,Rug Pads
16,2019-02-12,122912.0,Rug Pads
17,2019-02-13,122912.0,Rug Pads
18,2019-02-14,122912.0,Rug Pads
19,2019-02-15,122912.0,Rug Pads
20,2019-02-16,56982.0,Rug Pads
21,2019-02-17,56982.0,Rug Pads
22,2019-02-18,56982.0,Rug Pads
23,2019-02-19,56982.0,Rug Pads
24,2019-02-20,91682.0,Rug Pads
25,2019-02-21,91682.0,Rug Pads
26,2019-02-22,91682.0,Rug Pads
27,2019-02-23,75610.0,Rug Pads
28,2019-02-24,74196.0,Rug Pads
29,2019-02-25,80268.0,Rug Pads
30,2019-02-26,80268.0,Rug Pads
31,2019-02-27,80268.0,Rug Pads
32,2019-02-28,80268.0,Rug Pads
33,2019-03-01,80268.0,Rug Pads
34,2019-03-02,80268.0,Rug Pads
35,2019-03-03,80268.0,Rug Pads
36,2019-03-04,40904.0,Rug Pads
37,2019-03-05,40904.0,Rug Pads
38,2019-03-06,72093.0,Rug Pads
39,2019-03-07,72093.0,Rug Pads
40,2019-03-08,72093.0,Rug Pads
41,2019-03-09,72093.0,Rug Pads
42,2019-03-10,39777.0,Rug Pads
43,2019-03-11,39777.0,Rug Pads
44,2019-03-12,39777.0,Rug Pads
45,2019-03-13,39777.0,Rug Pads
46,2019-03-14,30403.0,Rug Pads
47,2019-03-15,30403.0,Rug Pads
48,2019-03-16,30403.0,Rug Pads
49,2019-03-17,30403.0,Rug Pads
50,2019-03-18,20970.0,Rug Pads
51,2019-03-19,20970.0,Rug Pads
52,2019-03-20,20970.0,Rug Pads
