,date,value,name_B00W8GMKW0
0,2020-05-25,4788.0,Boots
1,2020-05-26,4876.0,Boots
2,2020-05-27,4876.0,Boots
3,2020-05-28,4876.0,Boots
4,2020-05-29,6574.0,Boots
5,2020-05-30,5693.0,Boots
6,2020-05-31,5627.0,Boots
7,2020-06-01,5495.0,Boots
8,2020-06-02,5495.0,Boots
9,2020-06-03,6957.0,Boots
10,2020-06-04,6957.0,Boots
11,2020-06-05,6957.0,Boots
12,2020-06-06,6628.0,Boots
13,2020-06-07,6628.0,Boots
14,2020-06-08,6628.0,Boots
15,2020-06-09,7267.0,Boots
16,2020-06-10,7267.0,Boots
17,2020-06-11,7267.0,Boots
18,2020-06-12,7376.0,Boots
19,2020-06-13,7376.0,Boots
20,2020-06-14,7376.0,Boots
21,2020-06-15,7376.0,Boots
22,2020-06-16,7376.0,Boots
23,2020-06-17,5744.0,Boots
24,2020-06-18,7322.0,Boots
25,2020-06-19,7322.0,Boots
26,2020-06-20,7322.0,Boots
27,2020-06-21,4510.0,Boots
28,2020-06-22,4510.0,Boots
29,2020-06-23,3732.0,Boots
30,2020-06-24,3732.0,Boots
31,2020-06-25,3732.0,Boots
32,2020-06-26,4486.0,Boots
33,2020-06-27,4486.0,Boots
34,2020-06-28,4684.0,Boots
35,2020-06-29,4043.0,Boots
36,2020-06-30,4779.0,Boots
37,2020-07-01,4779.0,Boots
38,2020-07-02,4779.0,Boots
39,2020-07-03,4779.0,Boots
40,2020-07-04,4779.0,Boots
41,2020-07-05,4779.0,Boots
42,2020-07-06,7432.0,Boots
43,2020-07-07,7432.0,Boots
44,2020-07-08,6472.0,Boots
45,2020-07-09,6472.0,Boots
46,2020-07-10,6472.0,Boots
47,2020-07-11,9967.0,Boots
48,2020-07-12,9967.0,Boots
49,2020-07-13,8546.0,Boots
50,2020-07-14,8546.0,Boots
51,2020-07-15,8546.0,Boots
52,2020-07-16,5794.0,Boots
53,2020-07-17,5794.0,Boots
54,2020-07-18,4273.0,Boots
55,2020-07-19,4273.0,Boots
56,2020-07-20,4559.0,Boots
57,2020-07-21,4559.0,Boots
58,2020-07-22,5389.0,Boots
59,2020-07-23,5389.0,Boots
60,2020-07-24,5389.0,Boots
61,2020-07-25,5259.0,Boots
62,2020-07-26,5259.0,Boots
63,2020-07-27,5259.0,Boots
64,2020-07-28,6072.0,Boots
65,2020-07-29,8648.0,Boots
66,2020-07-30,8648.0,Boots
67,2020-07-31,11376.0,Boots
68,2020-08-01,11376.0,Boots
69,2020-08-02,12968.0,Boots
70,2020-08-03,11915.0,Boots
71,2020-08-04,11915.0,Boots
72,2020-08-05,11915.0,Boots
73,2020-08-06,11915.0,Boots
74,2020-08-07,9452.0,Boots
75,2020-08-08,13122.0,Boots
76,2020-08-09,13122.0,Boots
77,2020-08-10,13122.0,Boots
78,2020-08-11,13122.0,Boots
79,2020-08-12,13122.0,Boots
80,2020-08-13,13122.0,Boots
81,2020-08-14,13122.0,Boots
82,2020-08-15,9939.0,Boots
83,2020-08-16,9939.0,Boots
