,date,value,name_B08T9XVCQM
0,2021-06-04,45356.0,Display Stands
1,2021-06-05,45356.0,Display Stands
2,2021-06-06,45356.0,Display Stands
3,2021-06-07,58815.0,Display Stands
4,2021-06-08,44220.0,Display Stands
5,2021-06-09,39326.0,Display Stands
6,2021-06-10,39326.0,Display Stands
7,2021-06-11,34307.0,Display Stands
8,2021-06-12,34307.0,Display Stands
9,2021-06-13,34307.0,Display Stands
10,2021-06-14,57368.0,Display Stands
11,2021-06-15,51825.0,Display Stands
12,2021-06-16,51825.0,Display Stands
13,2021-06-17,51825.0,Display Stands
14,2021-06-18,69879.0,Display Stands
15,2021-06-19,62535.0,Display Stands
16,2021-06-20,70235.0,Display Stands
17,2021-06-21,70235.0,Display Stands
18,2021-06-22,65143.0,Display Stands
19,2021-06-23,77691.0,Display Stands
20,2021-06-24,69042.0,Display Stands
21,2021-06-25,56113.0,Display Stands
22,2021-06-26,36532.0,Display Stands
23,2021-06-27,36532.0,Display Stands
24,2021-06-28,45023.0,Display Stands
25,2021-06-29,59083.0,Display Stands
26,2021-06-30,51372.0,Display Stands
27,2021-07-01,55976.0,Display Stands
28,2021-07-02,38728.0,Display Stands
29,2021-07-03,46155.0,Display Stands
30,2021-07-04,37946.0,Display Stands
31,2021-07-05,51228.0,Display Stands
32,2021-07-06,44194.0,Display Stands
33,2021-07-07,44194.0,Display Stands
34,2021-07-08,40907.0,Display Stands
35,2021-07-09,52508.0,Display Stands
