,date,value,name_B07ZJVDC15
0,2019-10-28,91030.0,Rug Pads
1,2019-10-29,109023.0,Rug Pads
2,2019-10-30,58813.0,Rug Pads
3,2019-10-31,83069.0,Rug Pads
4,2019-11-01,110603.0,Rug Pads
5,2019-11-02,99327.0,Rug Pads
6,2019-11-03,143221.0,Rug Pads
7,2019-11-04,149002.0,Rug Pads
8,2019-11-05,117216.0,Rug Pads
9,2019-11-06,87654.0,Rug Pads
10,2019-11-07,78344.0,Rug Pads
11,2019-11-08,93272.0,Rug Pads
12,2019-11-09,145923.0,Rug Pads
13,2019-11-10,123281.0,Rug Pads
14,2019-11-11,101468.0,Rug Pads
15,2019-11-12,124923.0,Rug Pads
16,2019-11-13,88222.0,Rug Pads
17,2019-11-14,77783.0,Rug Pads
18,2019-11-15,76752.0,Rug Pads
19,2019-11-16,72597.0,Rug Pads
20,2019-11-17,80592.0,Rug Pads
21,2019-11-18,74956.0,Rug Pads
22,2019-11-19,51543.0,Rug Pads
23,2019-11-20,63376.0,Rug Pads
24,2019-11-21,80082.0,Rug Pads
25,2019-11-22,79498.0,Rug Pads
26,2019-11-23,92444.0,Rug Pads
27,2019-11-24,90912.0,Rug Pads
28,2019-11-25,90912.0,Rug Pads
29,2019-11-26,90912.0,Rug Pads
30,2019-11-27,90912.0,Rug Pads
31,2019-11-28,90912.0,Rug Pads
32,2019-11-29,90912.0,Rug Pads
33,2019-11-30,90912.0,Rug Pads
34,2019-12-01,90912.0,Rug Pads
35,2019-12-02,99201.0,Rug Pads
36,2019-12-03,99201.0,Rug Pads
37,2019-12-04,99201.0,Rug Pads
38,2019-12-05,99201.0,Rug Pads
39,2019-12-06,99201.0,Rug Pads
40,2019-12-07,109878.0,Rug Pads
41,2019-12-08,109878.0,Rug Pads
42,2019-12-09,110021.0,Rug Pads
43,2019-12-10,110021.0,Rug Pads
44,2019-12-11,110021.0,Rug Pads
45,2019-12-12,112371.0,Rug Pads
46,2019-12-13,112371.0,Rug Pads
47,2019-12-14,112371.0,Rug Pads
48,2019-12-15,112371.0,Rug Pads
