,date,value,name_B08T9W6L3S
0,2021-01-22,74253.0,Whey
1,2021-01-23,74253.0,Whey
2,2021-01-24,74253.0,Whey
3,2021-01-25,81970.0,Whey
4,2021-01-26,81970.0,Whey
5,2021-01-27,81970.0,Whey
6,2021-01-28,81970.0,Whey
7,2021-01-29,81970.0,Whey
8,2021-01-30,81970.0,Whey
9,2021-01-31,81970.0,Whey
10,2021-02-01,80000.0,Whey
11,2021-02-02,80000.0,Whey
12,2021-02-03,80000.0,Whey
13,2021-02-04,25293.0,Whey
14,2021-02-05,25293.0,Whey
15,2021-02-06,28206.0,Whey
16,2021-02-07,28206.0,Whey
17,2021-02-08,38203.0,Whey
18,2021-02-09,44617.0,Whey
19,2021-02-10,44617.0,Whey
20,2021-02-11,44617.0,Whey
21,2021-02-12,28414.0,Whey
22,2021-02-13,28414.0,Whey
23,2021-02-14,28414.0,Whey
24,2021-02-15,19829.0,Whey
25,2021-02-16,19829.0,Whey
26,2021-02-17,19829.0,Whey
27,2021-02-18,40586.0,Whey
28,2021-02-19,38191.0,Whey
29,2021-02-20,38191.0,Whey
30,2021-02-21,42849.0,Whey
31,2021-02-22,48903.0,Whey
32,2021-02-23,48903.0,Whey
33,2021-02-24,40077.0,Whey
34,2021-02-25,50842.0,Whey
35,2021-02-26,50842.0,Whey
36,2021-02-27,50842.0,Whey
37,2021-02-28,50842.0,Whey
38,2021-03-01,35091.0,Whey
39,2021-03-02,36024.0,Whey
40,2021-03-03,36024.0,Whey
41,2021-03-04,35373.0,Whey
42,2021-03-05,35373.0,Whey
43,2021-03-06,35373.0,Whey
44,2021-03-07,35373.0,Whey
45,2021-03-08,35069.0,Whey
46,2021-03-09,43219.0,Whey
47,2021-03-10,43219.0,Whey
48,2021-03-11,43219.0,Whey
49,2021-03-12,43219.0,Whey
50,2021-03-13,43262.0,Whey
51,2021-03-14,43262.0,Whey
52,2021-03-15,43262.0,Whey
53,2021-03-16,43262.0,Whey
54,2021-03-17,36020.0,Whey
55,2021-03-18,34806.0,Whey
56,2021-03-19,34806.0,Whey
57,2021-03-20,34806.0,Whey
58,2021-03-21,52135.0,Whey
59,2021-03-22,52135.0,Whey
60,2021-03-23,52135.0,Whey
61,2021-03-24,34709.0,Whey
62,2021-03-25,42632.0,Whey
63,2021-03-26,42632.0,Whey
64,2021-03-27,40809.0,Whey
65,2021-03-28,41407.0,Whey
66,2021-03-29,41407.0,Whey
67,2021-03-30,41407.0,Whey
68,2021-03-31,41407.0,Whey
69,2021-04-01,41407.0,Whey
70,2021-04-02,38911.0,Whey
71,2021-04-03,38911.0,Whey
72,2021-04-04,36040.0,Whey
73,2021-04-05,36040.0,Whey
74,2021-04-06,36040.0,Whey
75,2021-04-07,31043.0,Whey
76,2021-04-08,31043.0,Whey
77,2021-04-09,31043.0,Whey
78,2021-04-10,12332.0,Whey
79,2021-04-11,12332.0,Whey
80,2021-04-12,12332.0,Whey
81,2021-04-13,4461.0,Whey
82,2021-04-14,4461.0,Whey
83,2021-04-15,7736.0,Whey
84,2021-04-16,7736.0,Whey
85,2021-04-17,5314.0,Whey
86,2021-04-18,5314.0,Whey
87,2021-04-19,13667.0,Whey
88,2021-04-20,13667.0,Whey
89,2021-04-21,17324.0,Whey
90,2021-04-22,17771.0,Whey
91,2021-04-23,24039.0,Whey
92,2021-04-24,24039.0,Whey
93,2021-04-25,24039.0,Whey
94,2021-04-26,15847.0,Whey
95,2021-04-27,15847.0,Whey
96,2021-04-28,15384.0,Whey
97,2021-04-29,16508.0,Whey
98,2021-04-30,16508.0,Whey
99,2021-05-01,16508.0,Whey
100,2021-05-02,12455.0,Whey
101,2021-05-03,12455.0,Whey
102,2021-05-04,11198.0,Whey
103,2021-05-05,11198.0,Whey
104,2021-05-06,11198.0,Whey
105,2021-05-07,11198.0,Whey
106,2021-05-08,11198.0,Whey
107,2021-05-09,11198.0,Whey
108,2021-05-10,11198.0,Whey
109,2021-05-11,11198.0,Whey
110,2021-05-12,11198.0,Whey
111,2021-05-13,11198.0,Whey
112,2021-05-14,11198.0,Whey
113,2021-05-15,11198.0,Whey
114,2021-05-16,11198.0,Whey
115,2021-05-17,11198.0,Whey
116,2021-05-18,22671.0,Whey
117,2021-05-19,22671.0,Whey
118,2021-05-20,21998.0,Whey
119,2021-05-21,20810.0,Whey
120,2021-05-22,20810.0,Whey
121,2021-05-23,26133.0,Whey
122,2021-05-24,26133.0,Whey
123,2021-05-25,26133.0,Whey
124,2021-05-26,26133.0,Whey
125,2021-05-27,26133.0,Whey
126,2021-05-28,26133.0,Whey
127,2021-05-29,20482.0,Whey
128,2021-05-30,20482.0,Whey
129,2021-05-31,20482.0,Whey
130,2021-06-01,20482.0,Whey
131,2021-06-02,20482.0,Whey
132,2021-06-03,35999.0,Whey
133,2021-06-04,28063.0,Whey
134,2021-06-05,28063.0,Whey
135,2021-06-06,28063.0,Whey
136,2021-06-07,28063.0,Whey
137,2021-06-08,24702.0,Whey
138,2021-06-09,24702.0,Whey
139,2021-06-10,24702.0,Whey
140,2021-06-11,19962.0,Whey
141,2021-06-12,19962.0,Whey
142,2021-06-13,19962.0,Whey
143,2021-06-14,16629.0,Whey
144,2021-06-15,16629.0,Whey
145,2021-06-16,28561.0,Whey
146,2021-06-17,25437.0,Whey
147,2021-06-18,25437.0,Whey
148,2021-06-19,25437.0,Whey
149,2021-06-20,45986.0,Whey
150,2021-06-21,34937.0,Whey
151,2021-06-22,24254.0,Whey
152,2021-06-23,24254.0,Whey
153,2021-06-24,24254.0,Whey
