,date,value,name_B083C15N4S
0,2020-06-27,67143.0,Spiral Notebooks
1,2020-06-28,67143.0,Spiral Notebooks
2,2020-06-29,67143.0,Spiral Notebooks
3,2020-06-30,67143.0,Spiral Notebooks
4,2020-07-01,67143.0,Spiral Notebooks
5,2020-07-02,67143.0,Spiral Notebooks
6,2020-07-03,67143.0,Spiral Notebooks
7,2020-07-04,67143.0,Spiral Notebooks
8,2020-07-05,67143.0,Spiral Notebooks
9,2020-07-06,67143.0,Spiral Notebooks
10,2020-07-07,67143.0,Spiral Notebooks
11,2020-07-08,67143.0,Spiral Notebooks
12,2020-07-09,67143.0,Spiral Notebooks
13,2020-07-10,67143.0,Spiral Notebooks
14,2020-07-11,67143.0,Spiral Notebooks
15,2020-07-12,67143.0,Spiral Notebooks
16,2020-07-13,67143.0,Spiral Notebooks
17,2020-07-14,67143.0,Spiral Notebooks
18,2020-07-15,67143.0,Spiral Notebooks
19,2020-07-16,67143.0,Spiral Notebooks
20,2020-07-17,67143.0,Spiral Notebooks
21,2020-07-18,67143.0,Spiral Notebooks
22,2020-07-19,67143.0,Spiral Notebooks
23,2020-07-20,67143.0,Spiral Notebooks
24,2020-07-21,67143.0,Spiral Notebooks
25,2020-07-22,67143.0,Spiral Notebooks
26,2020-07-23,67143.0,Spiral Notebooks
27,2020-07-24,67143.0,Spiral Notebooks
28,2020-07-25,67143.0,Spiral Notebooks
29,2020-07-26,67143.0,Spiral Notebooks
30,2020-07-27,67143.0,Spiral Notebooks
31,2020-07-28,67143.0,Spiral Notebooks
32,2020-07-29,67143.0,Spiral Notebooks
33,2020-07-30,67143.0,Spiral Notebooks
34,2020-07-31,67143.0,Spiral Notebooks
35,2020-08-01,67143.0,Spiral Notebooks
36,2020-08-02,67143.0,Spiral Notebooks
37,2020-08-03,67143.0,Spiral Notebooks
38,2020-08-04,67143.0,Spiral Notebooks
39,2020-08-05,32168.0,Spiral Notebooks
40,2020-08-06,32168.0,Spiral Notebooks
41,2020-08-07,32168.0,Spiral Notebooks
42,2020-08-08,32168.0,Spiral Notebooks
43,2020-08-09,32168.0,Spiral Notebooks
44,2020-08-10,32168.0,Spiral Notebooks
45,2020-08-11,17751.0,Spiral Notebooks
46,2020-08-12,17751.0,Spiral Notebooks
47,2020-08-13,17751.0,Spiral Notebooks
48,2020-08-14,17751.0,Spiral Notebooks
49,2020-08-15,17751.0,Spiral Notebooks
50,2020-08-16,24047.0,Spiral Notebooks
51,2020-08-17,24047.0,Spiral Notebooks
52,2020-08-18,24047.0,Spiral Notebooks
53,2020-08-19,31639.0,Spiral Notebooks
54,2020-08-20,31639.0,Spiral Notebooks
55,2020-08-21,31639.0,Spiral Notebooks
56,2020-08-22,23497.0,Spiral Notebooks
57,2020-08-23,23497.0,Spiral Notebooks
58,2020-08-24,23497.0,Spiral Notebooks
59,2020-08-25,26713.0,Spiral Notebooks
60,2020-08-26,26713.0,Spiral Notebooks
61,2020-08-27,26713.0,Spiral Notebooks
62,2020-08-28,22125.0,Spiral Notebooks
63,2020-08-29,22125.0,Spiral Notebooks
64,2020-08-30,22125.0,Spiral Notebooks
65,2020-08-31,22125.0,Spiral Notebooks
66,2020-09-01,22125.0,Spiral Notebooks
67,2020-09-02,22125.0,Spiral Notebooks
68,2020-09-03,22125.0,Spiral Notebooks
69,2020-09-04,22125.0,Spiral Notebooks
70,2020-09-05,22125.0,Spiral Notebooks
71,2020-09-06,22125.0,Spiral Notebooks
72,2020-09-07,22125.0,Spiral Notebooks
73,2020-09-08,48524.0,Spiral Notebooks
74,2020-09-09,48524.0,Spiral Notebooks
75,2020-09-10,48524.0,Spiral Notebooks
76,2020-09-11,19556.0,Spiral Notebooks
77,2020-09-12,19556.0,Spiral Notebooks
78,2020-09-13,19556.0,Spiral Notebooks
79,2020-09-14,18926.0,Spiral Notebooks
80,2020-09-15,18926.0,Spiral Notebooks
81,2020-09-16,18926.0,Spiral Notebooks
82,2020-09-17,34227.0,Spiral Notebooks
83,2020-09-18,34227.0,Spiral Notebooks
84,2020-09-19,34227.0,Spiral Notebooks
85,2020-09-20,34227.0,Spiral Notebooks
86,2020-09-21,22998.0,Spiral Notebooks
87,2020-09-22,22998.0,Spiral Notebooks
88,2020-09-23,22998.0,Spiral Notebooks
89,2020-09-24,22998.0,Spiral Notebooks
90,2020-09-25,22998.0,Spiral Notebooks
91,2020-09-26,65836.0,Spiral Notebooks
92,2020-09-27,65836.0,Spiral Notebooks
93,2020-09-28,63595.0,Spiral Notebooks
94,2020-09-29,63595.0,Spiral Notebooks
95,2020-09-30,63595.0,Spiral Notebooks
96,2020-10-01,63595.0,Spiral Notebooks
97,2020-10-02,63595.0,Spiral Notebooks
98,2020-10-03,26077.0,Spiral Notebooks
99,2020-10-04,26077.0,Spiral Notebooks
100,2020-10-05,26077.0,Spiral Notebooks
101,2020-10-06,12128.0,Spiral Notebooks
102,2020-10-07,12128.0,Spiral Notebooks
103,2020-10-08,12128.0,Spiral Notebooks
104,2020-10-09,12128.0,Spiral Notebooks
105,2020-10-10,12128.0,Spiral Notebooks
106,2020-10-11,12128.0,Spiral Notebooks
107,2020-10-12,19729.0,Spiral Notebooks
108,2020-10-13,19729.0,Spiral Notebooks
109,2020-10-14,19729.0,Spiral Notebooks
110,2020-10-15,19729.0,Spiral Notebooks
111,2020-10-16,17157.0,Spiral Notebooks
112,2020-10-17,17157.0,Spiral Notebooks
113,2020-10-18,17157.0,Spiral Notebooks
114,2020-10-19,17157.0,Spiral Notebooks
115,2020-10-20,13816.0,Spiral Notebooks
116,2020-10-21,11304.0,Spiral Notebooks
117,2020-10-22,11304.0,Spiral Notebooks
118,2020-10-23,11304.0,Spiral Notebooks
119,2020-10-24,11304.0,Spiral Notebooks
120,2020-10-25,11304.0,Spiral Notebooks
121,2020-10-26,11304.0,Spiral Notebooks
122,2020-10-27,11304.0,Spiral Notebooks
123,2020-10-28,11304.0,Spiral Notebooks
124,2020-10-29,21020.0,Spiral Notebooks
125,2020-10-30,21020.0,Spiral Notebooks
126,2020-10-31,21020.0,Spiral Notebooks
127,2020-11-01,21020.0,Spiral Notebooks
128,2020-11-02,21020.0,Spiral Notebooks
129,2020-11-03,29564.0,Spiral Notebooks
130,2020-11-04,29564.0,Spiral Notebooks
131,2020-11-05,29564.0,Spiral Notebooks
132,2020-11-06,29564.0,Spiral Notebooks
133,2020-11-07,21066.0,Spiral Notebooks
134,2020-11-08,21066.0,Spiral Notebooks
135,2020-11-09,21066.0,Spiral Notebooks
136,2020-11-10,23921.0,Spiral Notebooks
137,2020-11-11,23921.0,Spiral Notebooks
138,2020-11-12,23921.0,Spiral Notebooks
139,2020-11-13,23921.0,Spiral Notebooks
140,2020-11-14,20856.0,Spiral Notebooks
141,2020-11-15,20856.0,Spiral Notebooks
142,2020-11-16,20856.0,Spiral Notebooks
143,2020-11-17,28210.0,Spiral Notebooks
144,2020-11-18,28210.0,Spiral Notebooks
145,2020-11-19,28210.0,Spiral Notebooks
146,2020-11-20,32069.0,Spiral Notebooks
147,2020-11-21,32069.0,Spiral Notebooks
148,2020-11-22,32069.0,Spiral Notebooks
149,2020-11-23,32069.0,Spiral Notebooks
150,2020-11-24,32069.0,Spiral Notebooks
151,2020-11-25,32069.0,Spiral Notebooks
152,2020-11-26,32069.0,Spiral Notebooks
153,2020-11-27,32069.0,Spiral Notebooks
154,2020-11-28,32736.0,Spiral Notebooks
155,2020-11-29,32736.0,Spiral Notebooks
156,2020-11-30,32736.0,Spiral Notebooks
157,2020-12-01,32736.0,Spiral Notebooks
158,2020-12-02,32736.0,Spiral Notebooks
159,2020-12-03,32736.0,Spiral Notebooks
160,2020-12-04,47125.0,Spiral Notebooks
161,2020-12-05,47125.0,Spiral Notebooks
162,2020-12-06,47125.0,Spiral Notebooks
163,2020-12-07,47125.0,Spiral Notebooks
164,2020-12-08,68068.0,Spiral Notebooks
165,2020-12-09,68068.0,Spiral Notebooks
166,2020-12-10,32052.0,Spiral Notebooks
167,2020-12-11,32052.0,Spiral Notebooks
168,2020-12-12,32052.0,Spiral Notebooks
169,2020-12-13,32052.0,Spiral Notebooks
170,2020-12-14,32052.0,Spiral Notebooks
171,2020-12-15,32052.0,Spiral Notebooks
172,2020-12-16,32052.0,Spiral Notebooks
173,2020-12-17,34494.0,Spiral Notebooks
174,2020-12-18,34494.0,Spiral Notebooks
175,2020-12-19,34494.0,Spiral Notebooks
176,2020-12-20,34494.0,Spiral Notebooks
177,2020-12-21,34494.0,Spiral Notebooks
178,2020-12-22,34494.0,Spiral Notebooks
179,2020-12-23,34494.0,Spiral Notebooks
180,2020-12-24,34494.0,Spiral Notebooks
181,2020-12-25,34494.0,Spiral Notebooks
182,2020-12-26,34494.0,Spiral Notebooks
183,2020-12-27,34494.0,Spiral Notebooks
184,2020-12-28,25829.0,Spiral Notebooks
185,2020-12-29,25829.0,Spiral Notebooks
186,2020-12-30,25829.0,Spiral Notebooks
187,2020-12-31,25829.0,Spiral Notebooks
188,2021-01-01,25829.0,Spiral Notebooks
189,2021-01-02,25829.0,Spiral Notebooks
190,2021-01-03,17351.0,Spiral Notebooks
191,2021-01-04,17351.0,Spiral Notebooks
192,2021-01-05,17351.0,Spiral Notebooks
193,2021-01-06,17351.0,Spiral Notebooks
194,2021-01-07,17351.0,Spiral Notebooks
195,2021-01-08,16028.0,Spiral Notebooks
196,2021-01-09,16202.0,Spiral Notebooks
197,2021-01-10,13560.0,Spiral Notebooks
198,2021-01-11,13560.0,Spiral Notebooks
199,2021-01-12,13560.0,Spiral Notebooks
200,2021-01-13,13560.0,Spiral Notebooks
201,2021-01-14,41721.0,Spiral Notebooks
202,2021-01-15,41721.0,Spiral Notebooks
203,2021-01-16,44229.0,Spiral Notebooks
204,2021-01-17,44229.0,Spiral Notebooks
205,2021-01-18,44229.0,Spiral Notebooks
206,2021-01-19,44229.0,Spiral Notebooks
207,2021-01-20,44229.0,Spiral Notebooks
208,2021-01-21,44229.0,Spiral Notebooks
209,2021-01-22,44229.0,Spiral Notebooks
210,2021-01-23,44229.0,Spiral Notebooks
211,2021-01-24,44229.0,Spiral Notebooks
212,2021-01-25,44229.0,Spiral Notebooks
213,2021-01-26,44229.0,Spiral Notebooks
214,2021-01-27,44229.0,Spiral Notebooks
215,2021-01-28,44229.0,Spiral Notebooks
216,2021-01-29,44229.0,Spiral Notebooks
217,2021-01-30,44229.0,Spiral Notebooks
218,2021-01-31,44229.0,Spiral Notebooks
219,2021-02-01,44229.0,Spiral Notebooks
220,2021-02-02,44229.0,Spiral Notebooks
221,2021-02-03,44229.0,Spiral Notebooks
222,2021-02-04,114402.0,Spiral Notebooks
223,2021-02-05,114402.0,Spiral Notebooks
224,2021-02-06,114402.0,Spiral Notebooks
225,2021-02-07,114402.0,Spiral Notebooks
226,2021-02-08,114402.0,Spiral Notebooks
227,2021-02-09,114402.0,Spiral Notebooks
228,2021-02-10,114402.0,Spiral Notebooks
229,2021-02-11,161781.0,Spiral Notebooks
230,2021-02-12,161781.0,Spiral Notebooks
231,2021-02-13,161781.0,Spiral Notebooks
232,2021-02-14,161781.0,Spiral Notebooks
233,2021-02-15,161781.0,Spiral Notebooks
234,2021-02-16,161781.0,Spiral Notebooks
235,2021-02-17,161781.0,Spiral Notebooks
236,2021-02-18,161781.0,Spiral Notebooks
237,2021-02-19,161781.0,Spiral Notebooks
238,2021-02-20,161781.0,Spiral Notebooks
239,2021-02-21,161781.0,Spiral Notebooks
240,2021-02-22,161781.0,Spiral Notebooks
241,2021-02-23,162831.0,Spiral Notebooks
242,2021-02-24,162831.0,Spiral Notebooks
243,2021-02-25,162831.0,Spiral Notebooks
244,2021-02-26,162831.0,Spiral Notebooks
245,2021-02-27,162831.0,Spiral Notebooks
246,2021-02-28,162831.0,Spiral Notebooks
247,2021-03-01,162831.0,Spiral Notebooks
248,2021-03-02,162831.0,Spiral Notebooks
249,2021-03-03,162831.0,Spiral Notebooks
250,2021-03-04,162831.0,Spiral Notebooks
251,2021-03-05,162831.0,Spiral Notebooks
252,2021-03-06,129278.0,Spiral Notebooks
253,2021-03-07,129278.0,Spiral Notebooks
254,2021-03-08,129278.0,Spiral Notebooks
255,2021-03-09,129278.0,Spiral Notebooks
256,2021-03-10,129278.0,Spiral Notebooks
257,2021-03-11,129278.0,Spiral Notebooks
258,2021-03-12,129278.0,Spiral Notebooks
259,2021-03-13,129278.0,Spiral Notebooks
260,2021-03-14,129278.0,Spiral Notebooks
261,2021-03-15,129278.0,Spiral Notebooks
262,2021-03-16,129278.0,Spiral Notebooks
263,2021-03-17,129278.0,Spiral Notebooks
264,2021-03-18,129278.0,Spiral Notebooks
265,2021-03-19,129278.0,Spiral Notebooks
266,2021-03-20,129278.0,Spiral Notebooks
267,2021-03-21,129278.0,Spiral Notebooks
268,2021-03-22,129278.0,Spiral Notebooks
269,2021-03-23,129278.0,Spiral Notebooks
270,2021-03-24,129278.0,Spiral Notebooks
271,2021-03-25,129278.0,Spiral Notebooks
272,2021-03-26,129278.0,Spiral Notebooks
273,2021-03-27,129278.0,Spiral Notebooks
274,2021-03-28,129278.0,Spiral Notebooks
275,2021-03-29,129278.0,Spiral Notebooks
276,2021-03-30,129278.0,Spiral Notebooks
277,2021-03-31,129278.0,Spiral Notebooks
278,2021-04-01,129278.0,Spiral Notebooks
279,2021-04-02,129278.0,Spiral Notebooks
280,2021-04-03,129278.0,Spiral Notebooks
281,2021-04-04,185630.0,Spiral Notebooks
282,2021-04-05,185630.0,Spiral Notebooks
283,2021-04-06,185630.0,Spiral Notebooks
284,2021-04-07,185630.0,Spiral Notebooks
285,2021-04-08,67511.0,Spiral Notebooks
286,2021-04-09,67511.0,Spiral Notebooks
287,2021-04-10,67511.0,Spiral Notebooks
288,2021-04-11,67511.0,Spiral Notebooks
289,2021-04-12,67511.0,Spiral Notebooks
290,2021-04-13,67511.0,Spiral Notebooks
291,2021-04-14,67511.0,Spiral Notebooks
292,2021-04-15,11078.0,Spiral Notebooks
293,2021-04-16,11078.0,Spiral Notebooks
294,2021-04-17,6550.0,Spiral Notebooks
295,2021-04-18,6550.0,Spiral Notebooks
296,2021-04-19,6550.0,Spiral Notebooks
297,2021-04-20,6550.0,Spiral Notebooks
298,2021-04-21,9053.0,Spiral Notebooks
299,2021-04-22,9053.0,Spiral Notebooks
300,2021-04-23,7482.0,Spiral Notebooks
301,2021-04-24,5178.0,Spiral Notebooks
302,2021-04-25,5178.0,Spiral Notebooks
303,2021-04-26,5178.0,Spiral Notebooks
304,2021-04-27,5918.0,Spiral Notebooks
305,2021-04-28,5918.0,Spiral Notebooks
306,2021-04-29,5918.0,Spiral Notebooks
307,2021-04-30,4988.0,Spiral Notebooks
308,2021-05-01,4988.0,Spiral Notebooks
309,2021-05-02,4988.0,Spiral Notebooks
