,date,value,name_B08X2147GM
0,2021-02-27,859289.0,Table Runners
1,2021-02-28,281264.0,Table Runners
2,2021-03-01,281264.0,Table Runners
3,2021-03-02,281264.0,Table Runners
4,2021-03-03,281264.0,Table Runners
5,2021-03-04,281264.0,Table Runners
6,2021-03-05,281264.0,Table Runners
7,2021-03-06,281264.0,Table Runners
8,2021-03-07,281264.0,Table Runners
9,2021-03-08,281264.0,Table Runners
10,2021-03-09,338294.0,Table Runners
11,2021-03-10,594572.0,Table Runners
12,2021-03-11,594572.0,Table Runners
13,2021-03-12,594572.0,Table Runners
14,2021-03-13,170657.0,Table Runners
15,2021-03-14,147729.0,Table Runners
16,2021-03-15,147729.0,Table Runners
17,2021-03-16,207421.0,Table Runners
18,2021-03-17,148370.0,Table Runners
19,2021-03-18,130307.0,Table Runners
20,2021-03-19,130307.0,Table Runners
21,2021-03-20,130307.0,Table Runners
22,2021-03-21,130307.0,Table Runners
23,2021-03-22,130307.0,Table Runners
24,2021-03-23,221759.0,Table Runners
25,2021-03-24,221759.0,Table Runners
26,2021-03-25,221759.0,Table Runners
27,2021-03-26,221759.0,Table Runners
28,2021-03-27,177222.0,Table Runners
29,2021-03-28,177222.0,Table Runners
30,2021-03-29,177222.0,Table Runners
31,2021-03-30,96855.0,Table Runners
32,2021-03-31,80966.0,Table Runners
33,2021-04-01,80966.0,Table Runners
34,2021-04-02,80966.0,Table Runners
35,2021-04-03,80966.0,Table Runners
36,2021-04-04,80966.0,Table Runners
37,2021-04-05,80966.0,Table Runners
38,2021-04-06,80966.0,Table Runners
39,2021-04-07,39142.0,Table Runners
40,2021-04-08,39142.0,Table Runners
41,2021-04-09,39142.0,Table Runners
42,2021-04-10,42419.0,Table Runners
43,2021-04-11,42419.0,Table Runners
44,2021-04-12,37059.0,Table Runners
45,2021-04-13,50808.0,Table Runners
46,2021-04-14,50808.0,Table Runners
47,2021-04-15,50808.0,Table Runners
48,2021-04-16,52243.0,Table Runners
49,2021-04-17,52243.0,Table Runners
50,2021-04-18,52243.0,Table Runners
51,2021-04-19,52243.0,Table Runners
52,2021-04-20,52373.0,Table Runners
53,2021-04-21,45917.0,Table Runners
54,2021-04-22,53639.0,Table Runners
55,2021-04-23,51429.0,Table Runners
56,2021-04-24,51429.0,Table Runners
57,2021-04-25,51429.0,Table Runners
58,2021-04-26,51429.0,Table Runners
59,2021-04-27,51429.0,Table Runners
60,2021-04-28,51429.0,Table Runners
61,2021-04-29,51429.0,Table Runners
62,2021-04-30,81777.0,Table Runners
63,2021-05-01,81777.0,Table Runners
64,2021-05-02,81777.0,Table Runners
65,2021-05-03,66518.0,Table Runners
66,2021-05-04,66518.0,Table Runners
67,2021-05-05,66518.0,Table Runners
68,2021-05-06,66518.0,Table Runners
69,2021-05-07,66518.0,Table Runners
70,2021-05-08,57573.0,Table Runners
71,2021-05-09,57573.0,Table Runners
72,2021-05-10,77673.0,Table Runners
73,2021-05-11,77673.0,Table Runners
74,2021-05-12,77673.0,Table Runners
75,2021-05-13,77673.0,Table Runners
76,2021-05-14,46990.0,Table Runners
77,2021-05-15,52753.0,Table Runners
78,2021-05-16,65044.0,Table Runners
79,2021-05-17,65044.0,Table Runners
80,2021-05-18,65044.0,Table Runners
81,2021-05-19,50210.0,Table Runners
82,2021-05-20,50210.0,Table Runners
83,2021-05-21,50210.0,Table Runners
84,2021-05-22,50210.0,Table Runners
85,2021-05-23,50210.0,Table Runners
86,2021-05-24,87804.0,Table Runners
87,2021-05-25,94621.0,Table Runners
88,2021-05-26,86384.0,Table Runners
89,2021-05-27,86384.0,Table Runners
90,2021-05-28,86384.0,Table Runners
91,2021-05-29,86384.0,Table Runners
92,2021-05-30,86384.0,Table Runners
93,2021-05-31,101133.0,Table Runners
94,2021-06-01,101133.0,Table Runners
95,2021-06-02,101133.0,Table Runners
96,2021-06-03,154508.0,Table Runners
97,2021-06-04,154508.0,Table Runners
98,2021-06-05,164366.0,Table Runners
99,2021-06-06,164366.0,Table Runners
100,2021-06-07,164366.0,Table Runners
101,2021-06-08,114480.0,Table Runners
102,2021-06-09,96147.0,Table Runners
103,2021-06-10,126997.0,Table Runners
104,2021-06-11,126997.0,Table Runners
105,2021-06-12,126997.0,Table Runners
106,2021-06-13,121780.0,Table Runners
107,2021-06-14,121780.0,Table Runners
108,2021-06-15,121780.0,Table Runners
109,2021-06-16,144450.0,Table Runners
110,2021-06-17,144450.0,Table Runners
111,2021-06-18,169522.0,Table Runners
112,2021-06-19,169522.0,Table Runners
113,2021-06-20,169522.0,Table Runners
114,2021-06-21,144497.0,Table Runners
115,2021-06-22,89426.0,Table Runners
116,2021-06-23,89426.0,Table Runners
117,2021-06-24,89426.0,Table Runners
118,2021-06-25,89426.0,Table Runners
119,2021-06-26,89426.0,Table Runners
120,2021-06-27,89426.0,Table Runners
121,2021-06-28,194507.0,Table Runners
122,2021-06-29,194507.0,Table Runners
123,2021-06-30,99992.0,Table Runners
124,2021-07-01,62666.0,Table Runners
125,2021-07-02,62666.0,Table Runners
126,2021-07-03,49590.0,Table Runners
127,2021-07-04,47959.0,Table Runners
128,2021-07-05,52323.0,Table Runners
129,2021-07-06,53366.0,Table Runners
130,2021-07-07,70520.0,Table Runners
131,2021-07-08,60243.0,Table Runners
132,2021-07-09,58229.0,Table Runners
