,date,value,name_B08CSKG1Q6
0,2020-07-17,13986.0,Whey
1,2020-07-18,13368.0,Whey
2,2020-07-19,13368.0,Whey
3,2020-07-20,13710.0,Whey
4,2020-07-21,13710.0,Whey
5,2020-07-22,13710.0,Whey
6,2020-07-23,13710.0,Whey
7,2020-07-24,15676.0,Whey
8,2020-07-25,15676.0,Whey
9,2020-07-26,15704.0,Whey
10,2020-07-27,15704.0,Whey
11,2020-07-28,11596.0,Whey
12,2020-07-29,11596.0,Whey
13,2020-07-30,12793.0,Whey
14,2020-07-31,12793.0,Whey
15,2020-08-01,12793.0,Whey
16,2020-08-02,17502.0,Whey
17,2020-08-03,17502.0,Whey
18,2020-08-04,17502.0,Whey
19,2020-08-05,12842.0,Whey
20,2020-08-06,12842.0,Whey
21,2020-08-07,12842.0,Whey
22,2020-08-08,12981.0,Whey
23,2020-08-09,12981.0,Whey
24,2020-08-10,12981.0,Whey
25,2020-08-11,11624.0,Whey
26,2020-08-12,11624.0,Whey
27,2020-08-13,14150.0,Whey
28,2020-08-14,14150.0,Whey
29,2020-08-15,14150.0,Whey
30,2020-08-16,14150.0,Whey
31,2020-08-17,12864.0,Whey
32,2020-08-18,12864.0,Whey
33,2020-08-19,12440.0,Whey
34,2020-08-20,12440.0,Whey
35,2020-08-21,12440.0,Whey
36,2020-08-22,12735.0,Whey
37,2020-08-23,13332.0,Whey
38,2020-08-24,11687.0,Whey
39,2020-08-25,11687.0,Whey
40,2020-08-26,11687.0,Whey
41,2020-08-27,12561.0,Whey
42,2020-08-28,12561.0,Whey
43,2020-08-29,12561.0,Whey
44,2020-08-30,11284.0,Whey
45,2020-08-31,8603.0,Whey
46,2020-09-01,8603.0,Whey
47,2020-09-02,8603.0,Whey
48,2020-09-03,12812.0,Whey
49,2020-09-04,12812.0,Whey
50,2020-09-05,13367.0,Whey
51,2020-09-06,13367.0,Whey
52,2020-09-07,13367.0,Whey
53,2020-09-08,14036.0,Whey
54,2020-09-09,14036.0,Whey
55,2020-09-10,10214.0,Whey
56,2020-09-11,10214.0,Whey
57,2020-09-12,11176.0,Whey
58,2020-09-13,10245.0,Whey
59,2020-09-14,10245.0,Whey
60,2020-09-15,10245.0,Whey
61,2020-09-16,10500.0,Whey
62,2020-09-17,10500.0,Whey
63,2020-09-18,10500.0,Whey
64,2020-09-19,10500.0,Whey
65,2020-09-20,9937.0,Whey
66,2020-09-21,9937.0,Whey
67,2020-09-22,12213.0,Whey
68,2020-09-23,12213.0,Whey
69,2020-09-24,12472.0,Whey
70,2020-09-25,12472.0,Whey
71,2020-09-26,12472.0,Whey
72,2020-09-27,10223.0,Whey
73,2020-09-28,12945.0,Whey
