,date,value,name_B08YY4VNXF
0,2021-04-28,22966.0,Hooks & Hangers
1,2021-04-29,22966.0,Hooks & Hangers
2,2021-04-30,22966.0,Hooks & Hangers
3,2021-05-01,16453.0,Hooks & Hangers
4,2021-05-02,16453.0,Hooks & Hangers
5,2021-05-03,16453.0,Hooks & Hangers
6,2021-05-04,13308.0,Hooks & Hangers
7,2021-05-05,13308.0,Hooks & Hangers
8,2021-05-06,13308.0,Hooks & Hangers
9,2021-05-07,13308.0,Hooks & Hangers
10,2021-05-08,11583.0,Hooks & Hangers
11,2021-05-09,11583.0,Hooks & Hangers
12,2021-05-10,15761.0,Hooks & Hangers
13,2021-05-11,10079.0,Hooks & Hangers
14,2021-05-12,10079.0,Hooks & Hangers
15,2021-05-13,12279.0,Hooks & Hangers
16,2021-05-14,12279.0,Hooks & Hangers
17,2021-05-15,12703.0,Hooks & Hangers
18,2021-05-16,12703.0,Hooks & Hangers
19,2021-05-17,13410.0,Hooks & Hangers
20,2021-05-18,13410.0,Hooks & Hangers
21,2021-05-19,9831.0,Hooks & Hangers
22,2021-05-20,13297.0,Hooks & Hangers
23,2021-05-21,14641.0,Hooks & Hangers
24,2021-05-22,14641.0,Hooks & Hangers
25,2021-05-23,11954.0,Hooks & Hangers
26,2021-05-24,10009.0,Hooks & Hangers
27,2021-05-25,10009.0,Hooks & Hangers
28,2021-05-26,10009.0,Hooks & Hangers
29,2021-05-27,12574.0,Hooks & Hangers
30,2021-05-28,12865.0,Hooks & Hangers
31,2021-05-29,12865.0,Hooks & Hangers
32,2021-05-30,11518.0,Hooks & Hangers
33,2021-05-31,14031.0,Hooks & Hangers
34,2021-06-01,14031.0,Hooks & Hangers
35,2021-06-02,18879.0,Hooks & Hangers
36,2021-06-03,17473.0,Hooks & Hangers
37,2021-06-04,22829.0,Hooks & Hangers
38,2021-06-05,17735.0,Hooks & Hangers
39,2021-06-06,19086.0,Hooks & Hangers
40,2021-06-07,16512.0,Hooks & Hangers
41,2021-06-08,20523.0,Hooks & Hangers
42,2021-06-09,24410.0,Hooks & Hangers
43,2021-06-10,20697.0,Hooks & Hangers
44,2021-06-11,21165.0,Hooks & Hangers
45,2021-06-12,21303.0,Hooks & Hangers
46,2021-06-13,22919.0,Hooks & Hangers
47,2021-06-14,29810.0,Hooks & Hangers
48,2021-06-15,34416.0,Hooks & Hangers
49,2021-06-16,30303.0,Hooks & Hangers
50,2021-06-17,28400.0,Hooks & Hangers
51,2021-06-18,31220.0,Hooks & Hangers
52,2021-06-19,26211.0,Hooks & Hangers
53,2021-06-20,27741.0,Hooks & Hangers
54,2021-06-21,51777.0,Hooks & Hangers
55,2021-06-22,45976.0,Hooks & Hangers
56,2021-06-23,45976.0,Hooks & Hangers
57,2021-06-24,45976.0,Hooks & Hangers
58,2021-06-25,67265.0,Hooks & Hangers
59,2021-06-26,67265.0,Hooks & Hangers
60,2021-06-27,67265.0,Hooks & Hangers
61,2021-06-28,48570.0,Hooks & Hangers
62,2021-06-29,52040.0,Hooks & Hangers
63,2021-06-30,40110.0,Hooks & Hangers
64,2021-07-01,40110.0,Hooks & Hangers
65,2021-07-02,96590.0,Hooks & Hangers
66,2021-07-03,118021.0,Hooks & Hangers
67,2021-07-04,101636.0,Hooks & Hangers
68,2021-07-05,128769.0,Hooks & Hangers
69,2021-07-06,44222.0,Hooks & Hangers
70,2021-07-07,66229.0,Hooks & Hangers
71,2021-07-08,47554.0,Hooks & Hangers
72,2021-07-09,73317.0,Hooks & Hangers
