,date,value,name_B01M3PSOK9
0,2020-06-01,16498.0,Insulin Injectors
1,2020-06-02,15112.0,Insulin Injectors
2,2020-06-03,15112.0,Insulin Injectors
3,2020-06-04,15112.0,Insulin Injectors
4,2020-06-05,14963.0,Insulin Injectors
5,2020-06-06,14963.0,Insulin Injectors
6,2020-06-07,14963.0,Insulin Injectors
7,2020-06-08,21021.0,Insulin Injectors
8,2020-06-09,21021.0,Insulin Injectors
9,2020-06-10,21021.0,Insulin Injectors
10,2020-06-11,22543.0,Insulin Injectors
11,2020-06-12,22543.0,Insulin Injectors
12,2020-06-13,22543.0,Insulin Injectors
13,2020-06-14,22543.0,Insulin Injectors
14,2020-06-15,21551.0,Insulin Injectors
15,2020-06-16,21551.0,Insulin Injectors
16,2020-06-17,21551.0,Insulin Injectors
17,2020-06-18,27158.0,Insulin Injectors
18,2020-06-19,27158.0,Insulin Injectors
19,2020-06-20,27158.0,Insulin Injectors
20,2020-06-21,27158.0,Insulin Injectors
21,2020-06-22,31879.0,Insulin Injectors
22,2020-06-23,31879.0,Insulin Injectors
23,2020-06-24,25450.0,Insulin Injectors
24,2020-06-25,25450.0,Insulin Injectors
25,2020-06-26,20123.0,Insulin Injectors
26,2020-06-27,20123.0,Insulin Injectors
27,2020-06-28,20123.0,Insulin Injectors
28,2020-06-29,25523.0,Insulin Injectors
29,2020-06-30,19003.0,Insulin Injectors
30,2020-07-01,19003.0,Insulin Injectors
31,2020-07-02,19805.0,Insulin Injectors
32,2020-07-03,19805.0,Insulin Injectors
33,2020-07-04,20131.0,Insulin Injectors
34,2020-07-05,20131.0,Insulin Injectors
35,2020-07-06,16082.0,Insulin Injectors
36,2020-07-07,16082.0,Insulin Injectors
37,2020-07-08,18177.0,Insulin Injectors
38,2020-07-09,18177.0,Insulin Injectors
39,2020-07-10,18177.0,Insulin Injectors
40,2020-07-11,16713.0,Insulin Injectors
41,2020-07-12,16713.0,Insulin Injectors
42,2020-07-13,16713.0,Insulin Injectors
43,2020-07-14,16032.0,Insulin Injectors
44,2020-07-15,16032.0,Insulin Injectors
45,2020-07-16,16118.0,Insulin Injectors
46,2020-07-17,16118.0,Insulin Injectors
47,2020-07-18,16118.0,Insulin Injectors
48,2020-07-19,16118.0,Insulin Injectors
49,2020-07-20,24160.0,Insulin Injectors
50,2020-07-21,24160.0,Insulin Injectors
51,2020-07-22,24160.0,Insulin Injectors
52,2020-07-23,16788.0,Insulin Injectors
