,date,value,name_B082385NCV
177,2020-05-26,6744.0,Throws
178,2020-05-27,8827.0,Throws
179,2020-05-28,7942.0,Throws
180,2020-05-29,7942.0,Throws
181,2020-05-30,7942.0,Throws
182,2020-05-31,7942.0,Throws
183,2020-06-01,8880.0,Throws
184,2020-06-02,8880.0,Throws
185,2020-06-03,9154.0,Throws
186,2020-06-04,10293.0,Throws
187,2020-06-05,9960.0,Throws
188,2020-06-06,9960.0,Throws
189,2020-06-07,10275.0,Throws
190,2020-06-08,10275.0,Throws
191,2020-06-09,10275.0,Throws
192,2020-06-10,10275.0,Throws
193,2020-06-11,10275.0,Throws
194,2020-06-12,16477.0,Throws
195,2020-06-13,16477.0,Throws
196,2020-06-14,16477.0,Throws
197,2020-06-15,15133.0,Throws
198,2020-06-16,16615.0,Throws
199,2020-06-17,15946.0,Throws
200,2020-06-18,15946.0,Throws
201,2020-06-19,15946.0,Throws
202,2020-06-20,11460.0,Throws
203,2020-06-21,11460.0,Throws
204,2020-06-22,14796.0,Throws
205,2020-06-23,14796.0,Throws
206,2020-06-24,13040.0,Throws
207,2020-06-25,13040.0,Throws
208,2020-06-26,13040.0,Throws
209,2020-06-27,13040.0,Throws
210,2020-06-28,10286.0,Throws
211,2020-06-29,8846.0,Throws
212,2020-06-30,8846.0,Throws
213,2020-07-01,9681.0,Throws
214,2020-07-02,9681.0,Throws
215,2020-07-03,9610.0,Throws
216,2020-07-04,9610.0,Throws
217,2020-07-05,9610.0,Throws
218,2020-07-06,11103.0,Throws
219,2020-07-07,10921.0,Throws
220,2020-07-08,9697.0,Throws
221,2020-07-09,9697.0,Throws
222,2020-07-10,12023.0,Throws
223,2020-07-11,9075.0,Throws
224,2020-07-12,9075.0,Throws
225,2020-07-13,7978.0,Throws
226,2020-07-14,7978.0,Throws
227,2020-07-15,9106.0,Throws
228,2020-07-16,9106.0,Throws
229,2020-07-17,7074.0,Throws
230,2020-07-18,7074.0,Throws
231,2020-07-19,8313.0,Throws
232,2020-07-20,8313.0,Throws
233,2020-07-21,8313.0,Throws
234,2020-07-22,7201.0,Throws
235,2020-07-23,7954.0,Throws
236,2020-07-24,7954.0,Throws
237,2020-07-25,7591.0,Throws
238,2020-07-26,7591.0,Throws
239,2020-07-27,8625.0,Throws
240,2020-07-28,7066.0,Throws
241,2020-07-29,6574.0,Throws
242,2020-07-30,7175.0,Throws
243,2020-07-31,7175.0,Throws
244,2020-08-01,8089.0,Throws
245,2020-08-02,8089.0,Throws
246,2020-08-03,8089.0,Throws
247,2020-08-04,7066.0,Throws
248,2020-08-05,7066.0,Throws
249,2020-08-06,7066.0,Throws
250,2020-08-07,8147.0,Throws
251,2020-08-08,7746.0,Throws
252,2020-08-09,7512.0,Throws
253,2020-08-10,7512.0,Throws
254,2020-08-11,7512.0,Throws
255,2020-08-12,8145.0,Throws
256,2020-08-13,6879.0,Throws
257,2020-08-14,8730.0,Throws
258,2020-08-15,8040.0,Throws
259,2020-08-16,8040.0,Throws
260,2020-08-17,8040.0,Throws
261,2020-08-18,7129.0,Throws
262,2020-08-19,7129.0,Throws
