,date,value,name_B08MFHX62X
0,2021-03-20,21186,Supplements & Vitamins
1,2021-03-21,14209,Supplements & Vitamins
2,2021-03-22,7393,Supplements & Vitamins
3,2021-03-23,5215,Supplements & Vitamins
4,2021-03-24,4529,Supplements & Vitamins
5,2021-03-25,4240,Supplements & Vitamins
6,2021-03-26,4449,Supplements & Vitamins
7,2021-03-27,3860,Supplements & Vitamins
8,2021-03-28,3906,Supplements & Vitamins
9,2021-03-29,3795,Supplements & Vitamins
10,2021-03-30,5433,Supplements & Vitamins
11,2021-03-31,8834,Supplements & Vitamins
12,2021-04-01,14012,Supplements & Vitamins
13,2021-04-02,15831,Supplements & Vitamins
14,2021-04-03,10367,Supplements & Vitamins
15,2021-04-04,6408,Supplements & Vitamins
16,2021-04-05,4499,Supplements & Vitamins
17,2021-04-06,4704,Supplements & Vitamins
18,2021-04-07,4552,Supplements & Vitamins
19,2021-04-08,4346,Supplements & Vitamins
20,2021-04-09,3471,Supplements & Vitamins
21,2021-04-10,3405,Supplements & Vitamins
22,2021-04-11,3017,Supplements & Vitamins
23,2021-04-12,2914,Supplements & Vitamins
24,2021-04-13,3423,Supplements & Vitamins
25,2021-04-14,3425,Supplements & Vitamins
26,2021-04-15,3409,Supplements & Vitamins
27,2021-04-16,3701,Supplements & Vitamins
28,2021-04-17,3966,Supplements & Vitamins
29,2021-04-18,3187,Supplements & Vitamins
30,2021-04-19,2689,Supplements & Vitamins
31,2021-04-20,3465,Supplements & Vitamins
32,2021-04-21,3458,Supplements & Vitamins
33,2021-04-22,3368,Supplements & Vitamins
34,2021-04-23,3592,Supplements & Vitamins
35,2021-04-24,3476,Supplements & Vitamins
36,2021-04-25,3044,Supplements & Vitamins
37,2021-04-26,2746,Supplements & Vitamins
38,2021-04-27,3137,Supplements & Vitamins
39,2021-04-28,2930,Supplements & Vitamins
40,2021-04-29,3199,Supplements & Vitamins
41,2021-04-30,3834,Supplements & Vitamins
42,2021-05-01,4503,Supplements & Vitamins
43,2021-05-02,3067,Supplements & Vitamins
44,2021-05-03,2839,Supplements & Vitamins
45,2021-05-04,2940,Supplements & Vitamins
46,2021-05-05,3430,Supplements & Vitamins
47,2021-05-06,3483,Supplements & Vitamins
48,2021-05-07,3378,Supplements & Vitamins
49,2021-05-08,3267,Supplements & Vitamins
50,2021-05-09,3486,Supplements & Vitamins
51,2021-05-10,3701,Supplements & Vitamins
52,2021-05-11,3616,Supplements & Vitamins
53,2021-05-12,3827,Supplements & Vitamins
54,2021-05-13,3608,Supplements & Vitamins
55,2021-05-14,2753,Supplements & Vitamins
56,2021-05-15,2832,Supplements & Vitamins
57,2021-05-16,2635,Supplements & Vitamins
58,2021-05-17,2769,Supplements & Vitamins
59,2021-05-18,2443,Supplements & Vitamins
60,2021-05-19,2504,Supplements & Vitamins
61,2021-05-20,2553,Supplements & Vitamins
62,2021-05-21,2433,Supplements & Vitamins
63,2021-05-22,2563,Supplements & Vitamins
64,2021-05-23,2509,Supplements & Vitamins
65,2021-05-24,2363,Supplements & Vitamins
66,2021-05-25,2647,Supplements & Vitamins
67,2021-05-26,2843,Supplements & Vitamins
68,2021-05-27,2669,Supplements & Vitamins
69,2021-05-28,2530,Supplements & Vitamins
70,2021-05-29,2732,Supplements & Vitamins
71,2021-05-30,2463,Supplements & Vitamins
72,2021-05-31,2555,Supplements & Vitamins
73,2021-06-01,2841,Supplements & Vitamins
74,2021-06-02,3152,Supplements & Vitamins
75,2021-06-03,3362,Supplements & Vitamins
76,2021-06-04,3307,Supplements & Vitamins
77,2021-06-05,3231,Supplements & Vitamins
78,2021-06-06,3433,Supplements & Vitamins
79,2021-06-07,3466,Supplements & Vitamins
80,2021-06-08,3649,Supplements & Vitamins
81,2021-06-09,3820,Supplements & Vitamins
82,2021-06-10,3939,Supplements & Vitamins
83,2021-06-11,3348,Supplements & Vitamins
84,2021-06-12,3665,Supplements & Vitamins
85,2021-06-13,4047,Supplements & Vitamins
86,2021-06-14,3785,Supplements & Vitamins
87,2021-06-15,4257,Supplements & Vitamins
88,2021-06-16,3942,Supplements & Vitamins
89,2021-06-17,4289,Supplements & Vitamins
90,2021-06-18,3983,Supplements & Vitamins
91,2021-06-19,3959,Supplements & Vitamins
92,2021-06-20,3916,Supplements & Vitamins
93,2021-06-21,4513,Supplements & Vitamins
94,2021-06-22,4748,Supplements & Vitamins
95,2021-06-23,5130,Supplements & Vitamins
96,2021-06-24,5555,Supplements & Vitamins
97,2021-06-25,4984,Supplements & Vitamins
98,2021-06-26,5232,Supplements & Vitamins
99,2021-06-27,4979,Supplements & Vitamins
100,2021-06-28,5532,Supplements & Vitamins
101,2021-06-29,5580,Supplements & Vitamins
102,2021-06-30,6419,Supplements & Vitamins
103,2021-07-01,5890,Supplements & Vitamins
104,2021-07-02,7077,Supplements & Vitamins
105,2021-07-03,7355,Supplements & Vitamins
106,2021-07-04,8187,Supplements & Vitamins
107,2021-07-05,6077,Supplements & Vitamins
108,2021-07-06,5452,Supplements & Vitamins
109,2021-07-07,5669,Supplements & Vitamins
110,2021-07-08,5490,Supplements & Vitamins
111,2021-07-09,5733,Supplements & Vitamins
112,2021-07-10,5782,Supplements & Vitamins
113,2021-07-11,7237,Supplements & Vitamins
