,date,value,name_B07TVXLDYT
0,2019-07-07,23859.0,Cups
1,2019-07-08,29021.0,Cups
2,2019-07-09,33152.0,Cups
3,2019-07-10,21759.0,Cups
4,2019-07-11,27020.0,Cups
5,2019-07-12,40218.0,Cups
6,2019-07-13,38011.0,Cups
7,2019-07-14,38676.0,Cups
8,2019-07-15,24849.0,Cups
9,2019-07-16,29017.0,Cups
10,2019-07-17,19494.0,Cups
11,2019-07-18,18850.0,Cups
12,2019-07-19,22640.0,Cups
13,2019-07-20,27953.0,Cups
14,2019-07-21,20185.0,Cups
15,2019-07-22,29046.0,Cups
16,2019-07-23,38257.0,Cups
17,2019-07-24,18390.0,Cups
18,2019-07-25,17085.0,Cups
19,2019-07-26,21346.0,Cups
20,2019-07-27,22300.0,Cups
21,2019-07-28,25081.0,Cups
22,2019-07-29,28808.0,Cups
23,2019-07-30,22026.0,Cups
24,2019-07-31,19935.0,Cups
25,2019-08-01,22572.0,Cups
26,2019-08-02,30158.0,Cups
27,2019-08-03,35174.0,Cups
28,2019-08-04,35699.0,Cups
29,2019-08-05,27425.0,Cups
30,2019-08-06,31316.0,Cups
31,2019-08-07,33152.0,Cups
32,2019-08-08,22837.0,Cups
33,2019-08-09,22837.0,Cups
34,2019-08-10,22537.0,Cups
35,2019-08-11,22537.0,Cups
36,2019-08-12,40753.0,Cups
37,2019-08-13,42235.0,Cups
38,2019-08-14,42235.0,Cups
39,2019-08-15,42235.0,Cups
40,2019-08-16,23740.0,Cups
41,2019-08-17,27914.0,Cups
42,2019-08-18,27914.0,Cups
43,2019-08-19,37395.0,Cups
44,2019-08-20,29683.0,Cups
45,2019-08-21,22703.0,Cups
46,2019-08-22,22703.0,Cups
47,2019-08-23,34970.0,Cups
48,2019-08-24,34970.0,Cups
49,2019-08-25,45885.0,Cups
50,2019-08-26,45885.0,Cups
51,2019-08-27,45885.0,Cups
52,2019-08-28,45954.0,Cups
53,2019-08-29,44013.0,Cups
54,2019-08-30,44013.0,Cups
55,2019-08-31,44013.0,Cups
56,2019-09-01,35987.0,Cups
57,2019-09-02,30566.0,Cups
58,2019-09-03,30566.0,Cups
59,2019-09-04,39095.0,Cups
60,2019-09-05,39095.0,Cups
61,2019-09-06,39095.0,Cups
62,2019-09-07,22327.0,Cups
63,2019-09-08,30716.0,Cups
64,2019-09-09,42014.0,Cups
65,2019-09-10,23737.0,Cups
66,2019-09-11,45312.0,Cups
67,2019-09-12,42943.0,Cups
68,2019-09-13,50782.0,Cups
