,date,value,name_B08ZYJTM8S
0,2021-06-01,8788.0,Repellents
1,2021-06-02,5477.0,Repellents
2,2021-06-03,5477.0,Repellents
3,2021-06-04,3659.0,Repellents
4,2021-06-05,3659.0,Repellents
5,2021-06-06,2825.0,Repellents
6,2021-06-07,2236.0,Repellents
7,2021-06-08,2490.0,Repellents
8,2021-06-09,2215.0,Repellents
9,2021-06-10,2215.0,Repellents
10,2021-06-11,2215.0,Repellents
11,2021-06-12,2215.0,Repellents
12,2021-06-13,1831.0,Repellents
13,2021-06-14,1831.0,Repellents
14,2021-06-15,2112.0,Repellents
15,2021-06-16,1574.0,Repellents
16,2021-06-17,1574.0,Repellents
17,2021-06-18,1409.0,Repellents
18,2021-06-19,1409.0,Repellents
19,2021-06-20,2028.0,Repellents
20,2021-06-21,1823.0,Repellents
21,2021-06-22,3318.0,Repellents
22,2021-06-23,5536.0,Repellents
23,2021-06-24,3723.0,Repellents
24,2021-06-25,2125.0,Repellents
25,2021-06-26,2125.0,Repellents
26,2021-06-27,1636.0,Repellents
27,2021-06-28,2706.0,Repellents
28,2021-06-29,2659.0,Repellents
29,2021-06-30,2659.0,Repellents
30,2021-07-01,2210.0,Repellents
31,2021-07-02,2210.0,Repellents
32,2021-07-03,2210.0,Repellents
33,2021-07-04,2210.0,Repellents
34,2021-07-05,2399.0,Repellents
35,2021-07-06,2399.0,Repellents
36,2021-07-07,2015.0,Repellents
37,2021-07-08,2840.0,Repellents
38,2021-07-09,2454.0,Repellents
39,2021-07-10,2986.0,Repellents
