,date,value,name_B08DLVMP5Y
154,2021-02-20,41571.0,Panels
155,2021-02-21,41571.0,Panels
156,2021-02-22,41571.0,Panels
157,2021-02-23,41571.0,Panels
158,2021-02-24,53584.0,Panels
159,2021-02-25,53584.0,Panels
160,2021-02-26,61190.0,Panels
161,2021-02-27,61190.0,Panels
162,2021-02-28,61190.0,Panels
163,2021-03-01,61190.0,Panels
164,2021-03-02,47219.0,Panels
165,2021-03-03,47219.0,Panels
166,2021-03-04,47219.0,Panels
167,2021-03-05,33656.0,Panels
168,2021-03-06,33656.0,Panels
169,2021-03-07,33656.0,Panels
170,2021-03-08,33656.0,Panels
171,2021-03-09,33656.0,Panels
172,2021-03-10,33656.0,Panels
173,2021-03-11,31779.0,Panels
174,2021-03-12,31779.0,Panels
175,2021-03-13,31779.0,Panels
176,2021-03-14,31779.0,Panels
177,2021-03-15,31779.0,Panels
178,2021-03-16,31779.0,Panels
179,2021-03-17,17221.0,Panels
180,2021-03-18,17221.0,Panels
181,2021-03-19,17221.0,Panels
182,2021-03-20,17283.0,Panels
183,2021-03-21,17283.0,Panels
184,2021-03-22,17283.0,Panels
185,2021-03-23,17283.0,Panels
186,2021-03-24,21807.0,Panels
187,2021-03-25,21807.0,Panels
188,2021-03-26,21807.0,Panels
189,2021-03-27,21807.0,Panels
190,2021-03-28,21807.0,Panels
191,2021-03-29,24203.0,Panels
192,2021-03-30,24203.0,Panels
193,2021-03-31,24203.0,Panels
194,2021-04-01,26472.0,Panels
195,2021-04-02,26472.0,Panels
196,2021-04-03,26472.0,Panels
197,2021-04-04,23982.0,Panels
198,2021-04-05,23982.0,Panels
199,2021-04-06,23982.0,Panels
200,2021-04-07,23982.0,Panels
201,2021-04-08,23982.0,Panels
202,2021-04-09,23982.0,Panels
203,2021-04-10,24352.0,Panels
204,2021-04-11,24352.0,Panels
205,2021-04-12,24352.0,Panels
206,2021-04-13,24352.0,Panels
207,2021-04-14,20538.0,Panels
208,2021-04-15,20538.0,Panels
209,2021-04-16,20538.0,Panels
210,2021-04-17,20538.0,Panels
211,2021-04-18,20538.0,Panels
212,2021-04-19,20538.0,Panels
213,2021-04-20,26156.0,Panels
214,2021-04-21,26156.0,Panels
215,2021-04-22,26156.0,Panels
216,2021-04-23,27900.0,Panels
217,2021-04-24,27900.0,Panels
218,2021-04-25,27900.0,Panels
219,2021-04-26,23211.0,Panels
220,2021-04-27,23211.0,Panels
221,2021-04-28,23211.0,Panels
222,2021-04-29,23211.0,Panels
223,2021-04-30,25510.0,Panels
224,2021-05-01,19357.0,Panels
225,2021-05-02,19357.0,Panels
226,2021-05-03,19357.0,Panels
227,2021-05-04,27778.0,Panels
228,2021-05-05,27778.0,Panels
229,2021-05-06,27778.0,Panels
230,2021-05-07,27778.0,Panels
231,2021-05-08,29158.0,Panels
232,2021-05-09,29158.0,Panels
233,2021-05-10,20429.0,Panels
234,2021-05-11,20429.0,Panels
235,2021-05-12,22329.0,Panels
236,2021-05-13,22329.0,Panels
237,2021-05-14,22329.0,Panels
238,2021-05-15,22329.0,Panels
239,2021-05-16,22329.0,Panels
240,2021-05-17,21523.0,Panels
