,date,value,name_B0716JGVP5
0,2018-07-10,30710.0,Laminating Supplies
1,2018-07-11,30710.0,Laminating Supplies
2,2018-07-12,19261.0,Laminating Supplies
3,2018-07-13,19261.0,Laminating Supplies
4,2018-07-14,19261.0,Laminating Supplies
5,2018-07-15,19261.0,Laminating Supplies
6,2018-07-16,19261.0,Laminating Supplies
7,2018-07-17,19261.0,Laminating Supplies
8,2018-07-18,19261.0,Laminating Supplies
9,2018-07-19,19261.0,Laminating Supplies
10,2018-07-20,19261.0,Laminating Supplies
11,2018-07-21,19261.0,Laminating Supplies
12,2018-07-22,19261.0,Laminating Supplies
13,2018-07-23,19261.0,Laminating Supplies
14,2018-07-24,19261.0,Laminating Supplies
15,2018-07-25,19261.0,Laminating Supplies
16,2018-07-26,19261.0,Laminating Supplies
17,2018-07-27,19261.0,Laminating Supplies
18,2018-07-28,19261.0,Laminating Supplies
19,2018-07-29,19261.0,Laminating Supplies
20,2018-07-30,19261.0,Laminating Supplies
21,2018-07-31,19261.0,Laminating Supplies
22,2018-08-01,19261.0,Laminating Supplies
23,2018-08-02,19261.0,Laminating Supplies
24,2018-08-03,19261.0,Laminating Supplies
25,2018-08-04,19261.0,Laminating Supplies
26,2018-08-05,19261.0,Laminating Supplies
27,2018-08-06,19261.0,Laminating Supplies
28,2018-08-07,19261.0,Laminating Supplies
29,2018-08-08,19261.0,Laminating Supplies
30,2018-08-09,19261.0,Laminating Supplies
31,2018-08-10,19261.0,Laminating Supplies
32,2018-08-11,19261.0,Laminating Supplies
33,2018-08-12,19261.0,Laminating Supplies
34,2018-08-13,19261.0,Laminating Supplies
35,2018-08-14,19261.0,Laminating Supplies
36,2018-08-15,19261.0,Laminating Supplies
37,2018-08-16,19261.0,Laminating Supplies
38,2018-08-17,19261.0,Laminating Supplies
39,2018-08-18,19261.0,Laminating Supplies
40,2018-08-19,19261.0,Laminating Supplies
41,2018-08-20,19261.0,Laminating Supplies
42,2018-08-21,19261.0,Laminating Supplies
43,2018-08-22,19261.0,Laminating Supplies
44,2018-08-23,19261.0,Laminating Supplies
45,2018-08-24,19261.0,Laminating Supplies
46,2018-08-25,19261.0,Laminating Supplies
47,2018-08-26,19261.0,Laminating Supplies
48,2018-08-27,19261.0,Laminating Supplies
49,2018-08-28,19261.0,Laminating Supplies
50,2018-08-29,19261.0,Laminating Supplies
51,2018-08-30,19261.0,Laminating Supplies
52,2018-08-31,19261.0,Laminating Supplies
53,2018-09-01,19261.0,Laminating Supplies
54,2018-09-02,19261.0,Laminating Supplies
55,2018-09-03,19261.0,Laminating Supplies
56,2018-09-04,19261.0,Laminating Supplies
57,2018-09-05,19261.0,Laminating Supplies
58,2018-09-06,19261.0,Laminating Supplies
59,2018-09-07,19261.0,Laminating Supplies
60,2018-09-08,19261.0,Laminating Supplies
61,2018-09-09,19261.0,Laminating Supplies
62,2018-09-10,19261.0,Laminating Supplies
63,2018-09-11,19261.0,Laminating Supplies
64,2018-09-12,19261.0,Laminating Supplies
65,2018-09-13,19261.0,Laminating Supplies
66,2018-09-14,19261.0,Laminating Supplies
67,2018-09-15,19261.0,Laminating Supplies
68,2018-09-16,19261.0,Laminating Supplies
69,2018-09-17,19261.0,Laminating Supplies
70,2018-09-18,19261.0,Laminating Supplies
71,2018-09-19,19261.0,Laminating Supplies
72,2018-09-20,19261.0,Laminating Supplies
73,2018-09-21,19261.0,Laminating Supplies
74,2018-09-22,19261.0,Laminating Supplies
75,2018-09-23,19261.0,Laminating Supplies
76,2018-09-24,19261.0,Laminating Supplies
77,2018-09-25,19261.0,Laminating Supplies
78,2018-09-26,19261.0,Laminating Supplies
79,2018-09-27,19261.0,Laminating Supplies
80,2018-09-28,19261.0,Laminating Supplies
81,2018-09-29,19261.0,Laminating Supplies
82,2018-09-30,19261.0,Laminating Supplies
83,2018-10-01,19261.0,Laminating Supplies
84,2018-10-02,19261.0,Laminating Supplies
85,2018-10-03,19261.0,Laminating Supplies
86,2018-10-04,19261.0,Laminating Supplies
87,2018-10-05,19261.0,Laminating Supplies
88,2018-10-06,19261.0,Laminating Supplies
89,2018-10-07,19261.0,Laminating Supplies
90,2018-10-08,19261.0,Laminating Supplies
91,2018-10-09,19261.0,Laminating Supplies
92,2018-10-10,19261.0,Laminating Supplies
93,2018-10-11,19261.0,Laminating Supplies
94,2018-10-12,19261.0,Laminating Supplies
95,2018-10-13,19261.0,Laminating Supplies
96,2018-10-14,19261.0,Laminating Supplies
97,2018-10-15,19261.0,Laminating Supplies
98,2018-10-16,19261.0,Laminating Supplies
99,2018-10-17,19261.0,Laminating Supplies
100,2018-10-18,19261.0,Laminating Supplies
101,2018-10-19,19261.0,Laminating Supplies
