,date,value,name_B089GSJ865
0,2020-06-27,37036.0,Shower Curtain Rods
1,2020-06-28,30089.0,Shower Curtain Rods
2,2020-06-29,21598.0,Shower Curtain Rods
3,2020-06-30,27621.0,Shower Curtain Rods
4,2020-07-01,25876.0,Shower Curtain Rods
5,2020-07-02,22667.0,Shower Curtain Rods
6,2020-07-03,18073.0,Shower Curtain Rods
7,2020-07-04,13152.0,Shower Curtain Rods
8,2020-07-05,14491.0,Shower Curtain Rods
9,2020-07-06,11701.0,Shower Curtain Rods
10,2020-07-07,12763.0,Shower Curtain Rods
11,2020-07-08,12277.0,Shower Curtain Rods
12,2020-07-09,13283.0,Shower Curtain Rods
13,2020-07-10,12909.0,Shower Curtain Rods
14,2020-07-11,9693.0,Shower Curtain Rods
15,2020-07-12,9693.0,Shower Curtain Rods
16,2020-07-13,9749.0,Shower Curtain Rods
17,2020-07-14,9585.0,Shower Curtain Rods
18,2020-07-15,9560.0,Shower Curtain Rods
19,2020-07-16,9544.0,Shower Curtain Rods
20,2020-07-17,8063.0,Shower Curtain Rods
21,2020-07-18,7116.0,Shower Curtain Rods
22,2020-07-19,6709.0,Shower Curtain Rods
23,2020-07-20,6879.0,Shower Curtain Rods
24,2020-07-21,6460.0,Shower Curtain Rods
25,2020-07-22,5803.0,Shower Curtain Rods
26,2020-07-23,5803.0,Shower Curtain Rods
27,2020-07-24,7298.0,Shower Curtain Rods
28,2020-07-25,6171.0,Shower Curtain Rods
29,2020-07-26,5227.0,Shower Curtain Rods
30,2020-07-27,5930.0,Shower Curtain Rods
31,2020-07-28,5731.0,Shower Curtain Rods
32,2020-07-29,6486.0,Shower Curtain Rods
33,2020-07-30,6039.0,Shower Curtain Rods
34,2020-07-31,6303.0,Shower Curtain Rods
35,2020-08-01,6684.0,Shower Curtain Rods
36,2020-08-02,6987.0,Shower Curtain Rods
37,2020-08-03,5615.0,Shower Curtain Rods
38,2020-08-04,6606.0,Shower Curtain Rods
39,2020-08-05,6439.0,Shower Curtain Rods
40,2020-08-06,5663.0,Shower Curtain Rods
41,2020-08-07,7031.0,Shower Curtain Rods
42,2020-08-08,9025.0,Shower Curtain Rods
43,2020-08-09,7452.0,Shower Curtain Rods
44,2020-08-10,6389.0,Shower Curtain Rods
45,2020-08-11,6389.0,Shower Curtain Rods
46,2020-08-12,6959.0,Shower Curtain Rods
47,2020-08-13,7295.0,Shower Curtain Rods
48,2020-08-14,7295.0,Shower Curtain Rods
49,2020-08-15,7295.0,Shower Curtain Rods
50,2020-08-16,7295.0,Shower Curtain Rods
51,2020-08-17,8871.0,Shower Curtain Rods
52,2020-08-18,8871.0,Shower Curtain Rods
53,2020-08-19,9156.0,Shower Curtain Rods
54,2020-08-20,9359.0,Shower Curtain Rods
55,2020-08-21,10587.0,Shower Curtain Rods
56,2020-08-22,10587.0,Shower Curtain Rods
57,2020-08-23,10587.0,Shower Curtain Rods
58,2020-08-24,10524.0,Shower Curtain Rods
59,2020-08-25,9447.0,Shower Curtain Rods
60,2020-08-26,9447.0,Shower Curtain Rods
61,2020-08-27,9447.0,Shower Curtain Rods
62,2020-08-28,7300.0,Shower Curtain Rods
63,2020-08-29,7300.0,Shower Curtain Rods
64,2020-08-30,5791.0,Shower Curtain Rods
65,2020-08-31,5791.0,Shower Curtain Rods
66,2020-09-01,5859.0,Shower Curtain Rods
67,2020-09-02,6682.0,Shower Curtain Rods
68,2020-09-03,6010.0,Shower Curtain Rods
69,2020-09-04,6010.0,Shower Curtain Rods
70,2020-09-05,6010.0,Shower Curtain Rods
71,2020-09-06,6010.0,Shower Curtain Rods
72,2020-09-07,7102.0,Shower Curtain Rods
73,2020-09-08,6977.0,Shower Curtain Rods
74,2020-09-09,7564.0,Shower Curtain Rods
75,2020-09-10,7422.0,Shower Curtain Rods
76,2020-09-11,8805.0,Shower Curtain Rods
77,2020-09-12,11890.0,Shower Curtain Rods
78,2020-09-13,11890.0,Shower Curtain Rods
79,2020-09-14,9414.0,Shower Curtain Rods
80,2020-09-15,9414.0,Shower Curtain Rods
81,2020-09-16,9414.0,Shower Curtain Rods
82,2020-09-17,9727.0,Shower Curtain Rods
83,2020-09-18,9727.0,Shower Curtain Rods
84,2020-09-19,20590.0,Shower Curtain Rods
85,2020-09-20,20590.0,Shower Curtain Rods
86,2020-09-21,9398.0,Shower Curtain Rods
87,2020-09-22,8596.0,Shower Curtain Rods
88,2020-09-23,8596.0,Shower Curtain Rods
89,2020-09-24,8596.0,Shower Curtain Rods
90,2020-09-25,12317.0,Shower Curtain Rods
91,2020-09-26,10514.0,Shower Curtain Rods
92,2020-09-27,10514.0,Shower Curtain Rods
93,2020-09-28,7119.0,Shower Curtain Rods
94,2020-09-29,7119.0,Shower Curtain Rods
95,2020-09-30,7119.0,Shower Curtain Rods
96,2020-10-01,10147.0,Shower Curtain Rods
97,2020-10-02,10494.0,Shower Curtain Rods
98,2020-10-03,10494.0,Shower Curtain Rods
99,2020-10-04,10494.0,Shower Curtain Rods
100,2020-10-05,10818.0,Shower Curtain Rods
101,2020-10-06,9211.0,Shower Curtain Rods
102,2020-10-07,9211.0,Shower Curtain Rods
103,2020-10-08,9211.0,Shower Curtain Rods
104,2020-10-09,9297.0,Shower Curtain Rods
105,2020-10-10,9297.0,Shower Curtain Rods
106,2020-10-11,7710.0,Shower Curtain Rods
