,date,value,name_B07C2DW74M
126,2020-10-08,21995.0,Greeting Cards
127,2020-10-09,21995.0,Greeting Cards
128,2020-10-10,21995.0,Greeting Cards
129,2020-10-11,21995.0,Greeting Cards
130,2020-10-12,22985.0,Greeting Cards
131,2020-10-13,22985.0,Greeting Cards
132,2020-10-14,22985.0,Greeting Cards
133,2020-10-15,22985.0,Greeting Cards
134,2020-10-16,22985.0,Greeting Cards
135,2020-10-17,22985.0,Greeting Cards
136,2020-10-18,22985.0,Greeting Cards
137,2020-10-19,22985.0,Greeting Cards
138,2020-10-20,36469.0,Greeting Cards
139,2020-10-21,36469.0,Greeting Cards
140,2020-10-22,36469.0,Greeting Cards
141,2020-10-23,36469.0,Greeting Cards
142,2020-10-24,36469.0,Greeting Cards
143,2020-10-25,36469.0,Greeting Cards
144,2020-10-26,36328.0,Greeting Cards
145,2020-10-27,36328.0,Greeting Cards
146,2020-10-28,43173.0,Greeting Cards
147,2020-10-29,43173.0,Greeting Cards
148,2020-10-30,43173.0,Greeting Cards
149,2020-10-31,43173.0,Greeting Cards
150,2020-11-01,43173.0,Greeting Cards
151,2020-11-02,43173.0,Greeting Cards
152,2020-11-03,43173.0,Greeting Cards
153,2020-11-04,43173.0,Greeting Cards
154,2020-11-05,43173.0,Greeting Cards
155,2020-11-06,43173.0,Greeting Cards
156,2020-11-07,43173.0,Greeting Cards
157,2020-11-08,43173.0,Greeting Cards
158,2020-11-09,43173.0,Greeting Cards
159,2020-11-10,43173.0,Greeting Cards
160,2020-11-11,43173.0,Greeting Cards
161,2020-11-12,43173.0,Greeting Cards
162,2020-11-13,43173.0,Greeting Cards
163,2020-11-14,43173.0,Greeting Cards
164,2020-11-15,43173.0,Greeting Cards
165,2020-11-16,49074.0,Greeting Cards
166,2020-11-17,49074.0,Greeting Cards
167,2020-11-18,49074.0,Greeting Cards
168,2020-11-19,42703.0,Greeting Cards
169,2020-11-20,42703.0,Greeting Cards
170,2020-11-21,42703.0,Greeting Cards
171,2020-11-22,42703.0,Greeting Cards
172,2020-11-23,37735.0,Greeting Cards
173,2020-11-24,37735.0,Greeting Cards
174,2020-11-25,37735.0,Greeting Cards
175,2020-11-26,37735.0,Greeting Cards
176,2020-11-27,56919.0,Greeting Cards
177,2020-11-28,56919.0,Greeting Cards
178,2020-11-29,56919.0,Greeting Cards
179,2020-11-30,56919.0,Greeting Cards
180,2020-12-01,56919.0,Greeting Cards
181,2020-12-02,56919.0,Greeting Cards
182,2020-12-03,56919.0,Greeting Cards
183,2020-12-04,56919.0,Greeting Cards
184,2020-12-05,56919.0,Greeting Cards
185,2020-12-06,56919.0,Greeting Cards
186,2020-12-07,56919.0,Greeting Cards
187,2020-12-08,56919.0,Greeting Cards
188,2020-12-09,56919.0,Greeting Cards
189,2020-12-10,56919.0,Greeting Cards
190,2020-12-11,56919.0,Greeting Cards
191,2020-12-12,53488.0,Greeting Cards
192,2020-12-13,53488.0,Greeting Cards
193,2020-12-14,53488.0,Greeting Cards
194,2020-12-15,53488.0,Greeting Cards
195,2020-12-16,53488.0,Greeting Cards
196,2020-12-17,53488.0,Greeting Cards
197,2020-12-18,53488.0,Greeting Cards
198,2020-12-19,53488.0,Greeting Cards
199,2020-12-20,53488.0,Greeting Cards
200,2020-12-21,48606.0,Greeting Cards
201,2020-12-22,48606.0,Greeting Cards
202,2020-12-23,48606.0,Greeting Cards
203,2020-12-24,48606.0,Greeting Cards
204,2020-12-25,48606.0,Greeting Cards
205,2020-12-26,48606.0,Greeting Cards
206,2020-12-27,48606.0,Greeting Cards
207,2020-12-28,48606.0,Greeting Cards
208,2020-12-29,48606.0,Greeting Cards
209,2020-12-30,48606.0,Greeting Cards
210,2020-12-31,48606.0,Greeting Cards
211,2021-01-01,48606.0,Greeting Cards
212,2021-01-02,48606.0,Greeting Cards
213,2021-01-03,48606.0,Greeting Cards
214,2021-01-04,48606.0,Greeting Cards
215,2021-01-05,48606.0,Greeting Cards
216,2021-01-06,48606.0,Greeting Cards
217,2021-01-07,48606.0,Greeting Cards
218,2021-01-08,25953.0,Greeting Cards
219,2021-01-09,25953.0,Greeting Cards
220,2021-01-10,25953.0,Greeting Cards
221,2021-01-11,31274.0,Greeting Cards
222,2021-01-12,31274.0,Greeting Cards
223,2021-01-13,31274.0,Greeting Cards
224,2021-01-14,31274.0,Greeting Cards
225,2021-01-15,31274.0,Greeting Cards
226,2021-01-16,31274.0,Greeting Cards
227,2021-01-17,31274.0,Greeting Cards
228,2021-01-18,31274.0,Greeting Cards
229,2021-01-19,31274.0,Greeting Cards
230,2021-01-20,31274.0,Greeting Cards
231,2021-01-21,31274.0,Greeting Cards
232,2021-01-22,47680.0,Greeting Cards
233,2021-01-23,47680.0,Greeting Cards
234,2021-01-24,47680.0,Greeting Cards
235,2021-01-25,47680.0,Greeting Cards
236,2021-01-26,47680.0,Greeting Cards
237,2021-01-27,47680.0,Greeting Cards
238,2021-01-28,47680.0,Greeting Cards
239,2021-01-29,44477.0,Greeting Cards
240,2021-01-30,44477.0,Greeting Cards
241,2021-01-31,44477.0,Greeting Cards
242,2021-02-01,44477.0,Greeting Cards
243,2021-02-02,44477.0,Greeting Cards
244,2021-02-03,44477.0,Greeting Cards
245,2021-02-04,44477.0,Greeting Cards
246,2021-02-05,44477.0,Greeting Cards
247,2021-02-06,44477.0,Greeting Cards
248,2021-02-07,44477.0,Greeting Cards
249,2021-02-08,44477.0,Greeting Cards
250,2021-02-09,44477.0,Greeting Cards
251,2021-02-10,44477.0,Greeting Cards
252,2021-02-11,44477.0,Greeting Cards
253,2021-02-12,44477.0,Greeting Cards
254,2021-02-13,44477.0,Greeting Cards
255,2021-02-14,28786.0,Greeting Cards
256,2021-02-15,28786.0,Greeting Cards
257,2021-02-16,28786.0,Greeting Cards
258,2021-02-17,28786.0,Greeting Cards
259,2021-02-18,30451.0,Greeting Cards
260,2021-02-19,30451.0,Greeting Cards
261,2021-02-20,30451.0,Greeting Cards
262,2021-02-21,30451.0,Greeting Cards
263,2021-02-22,30451.0,Greeting Cards
264,2021-02-23,21653.0,Greeting Cards
265,2021-02-24,21653.0,Greeting Cards
266,2021-02-25,21653.0,Greeting Cards
267,2021-02-26,21653.0,Greeting Cards
268,2021-02-27,21653.0,Greeting Cards
269,2021-02-28,21653.0,Greeting Cards
270,2021-03-01,21653.0,Greeting Cards
271,2021-03-02,16805.0,Greeting Cards
272,2021-03-03,16805.0,Greeting Cards
273,2021-03-04,16805.0,Greeting Cards
274,2021-03-05,16805.0,Greeting Cards
275,2021-03-06,16805.0,Greeting Cards
276,2021-03-07,16805.0,Greeting Cards
277,2021-03-08,16805.0,Greeting Cards
278,2021-03-09,16805.0,Greeting Cards
279,2021-03-10,16805.0,Greeting Cards
280,2021-03-11,16805.0,Greeting Cards
281,2021-03-12,16805.0,Greeting Cards
282,2021-03-13,16805.0,Greeting Cards
283,2021-03-14,16805.0,Greeting Cards
284,2021-03-15,45930.0,Greeting Cards
285,2021-03-16,45930.0,Greeting Cards
286,2021-03-17,45930.0,Greeting Cards
287,2021-03-18,45930.0,Greeting Cards
288,2021-03-19,32232.0,Greeting Cards
289,2021-03-20,32232.0,Greeting Cards
290,2021-03-21,32232.0,Greeting Cards
291,2021-03-22,34859.0,Greeting Cards
292,2021-03-23,34859.0,Greeting Cards
293,2021-03-24,34859.0,Greeting Cards
294,2021-03-25,34859.0,Greeting Cards
295,2021-03-26,34859.0,Greeting Cards
296,2021-03-27,34859.0,Greeting Cards
297,2021-03-28,34859.0,Greeting Cards
298,2021-03-29,34859.0,Greeting Cards
299,2021-03-30,19616.0,Greeting Cards
300,2021-03-31,19616.0,Greeting Cards
301,2021-04-01,19616.0,Greeting Cards
302,2021-04-02,19616.0,Greeting Cards
303,2021-04-03,19616.0,Greeting Cards
304,2021-04-04,17217.0,Greeting Cards
