,date,value,name_B08PW33YG2
0,2020-12-18,20286.0,Open Storage Bins
1,2020-12-19,20286.0,Open Storage Bins
2,2020-12-20,20286.0,Open Storage Bins
3,2020-12-21,20286.0,Open Storage Bins
4,2020-12-22,20286.0,Open Storage Bins
5,2020-12-23,28044.0,Open Storage Bins
6,2020-12-24,28044.0,Open Storage Bins
7,2020-12-25,28044.0,Open Storage Bins
8,2020-12-26,28044.0,Open Storage Bins
9,2020-12-27,28044.0,Open Storage Bins
10,2020-12-28,28044.0,Open Storage Bins
11,2020-12-29,32602.0,Open Storage Bins
12,2020-12-30,32602.0,Open Storage Bins
13,2020-12-31,32602.0,Open Storage Bins
14,2021-01-01,32602.0,Open Storage Bins
15,2021-01-02,30285.0,Open Storage Bins
16,2021-01-03,30285.0,Open Storage Bins
17,2021-01-04,22018.0,Open Storage Bins
18,2021-01-05,22018.0,Open Storage Bins
19,2021-01-06,17511.0,Open Storage Bins
20,2021-01-07,20502.0,Open Storage Bins
21,2021-01-08,17799.0,Open Storage Bins
22,2021-01-09,17799.0,Open Storage Bins
23,2021-01-10,17799.0,Open Storage Bins
24,2021-01-11,8906.0,Open Storage Bins
25,2021-01-12,8906.0,Open Storage Bins
26,2021-01-13,15561.0,Open Storage Bins
27,2021-01-14,15561.0,Open Storage Bins
28,2021-01-15,17118.0,Open Storage Bins
29,2021-01-16,17118.0,Open Storage Bins
30,2021-01-17,17118.0,Open Storage Bins
31,2021-01-18,17118.0,Open Storage Bins
32,2021-01-19,17118.0,Open Storage Bins
33,2021-01-20,35139.0,Open Storage Bins
34,2021-01-21,35139.0,Open Storage Bins
35,2021-01-22,46869.0,Open Storage Bins
36,2021-01-23,46869.0,Open Storage Bins
37,2021-01-24,46869.0,Open Storage Bins
38,2021-01-25,76795.0,Open Storage Bins
39,2021-01-26,76795.0,Open Storage Bins
40,2021-01-27,76795.0,Open Storage Bins
41,2021-01-28,77482.0,Open Storage Bins
42,2021-01-29,113740.0,Open Storage Bins
43,2021-01-30,113740.0,Open Storage Bins
44,2021-01-31,113740.0,Open Storage Bins
45,2021-02-01,113740.0,Open Storage Bins
46,2021-02-02,203898.0,Open Storage Bins
47,2021-02-03,203898.0,Open Storage Bins
48,2021-02-04,203898.0,Open Storage Bins
49,2021-02-05,203898.0,Open Storage Bins
50,2021-02-06,203898.0,Open Storage Bins
51,2021-02-07,319682.0,Open Storage Bins
52,2021-02-08,319682.0,Open Storage Bins
53,2021-02-09,319682.0,Open Storage Bins
54,2021-02-10,319682.0,Open Storage Bins
55,2021-02-11,319682.0,Open Storage Bins
56,2021-02-12,319682.0,Open Storage Bins
57,2021-02-13,293486.0,Open Storage Bins
58,2021-02-14,293486.0,Open Storage Bins
59,2021-02-15,293486.0,Open Storage Bins
60,2021-02-16,293486.0,Open Storage Bins
61,2021-02-17,293486.0,Open Storage Bins
62,2021-02-18,293486.0,Open Storage Bins
63,2021-02-19,293486.0,Open Storage Bins
64,2021-02-20,293486.0,Open Storage Bins
65,2021-02-21,293486.0,Open Storage Bins
66,2021-02-22,577995.0,Open Storage Bins
67,2021-02-23,577995.0,Open Storage Bins
68,2021-02-24,577995.0,Open Storage Bins
69,2021-02-25,577995.0,Open Storage Bins
70,2021-02-26,577995.0,Open Storage Bins
71,2021-02-27,577995.0,Open Storage Bins
72,2021-02-28,577995.0,Open Storage Bins
73,2021-03-01,577995.0,Open Storage Bins
74,2021-03-02,577995.0,Open Storage Bins
75,2021-03-03,577995.0,Open Storage Bins
76,2021-03-04,577995.0,Open Storage Bins
77,2021-03-05,577995.0,Open Storage Bins
78,2021-03-06,577995.0,Open Storage Bins
79,2021-03-07,47855.0,Open Storage Bins
80,2021-03-08,47855.0,Open Storage Bins
81,2021-03-09,47855.0,Open Storage Bins
82,2021-03-10,9717.0,Open Storage Bins
83,2021-03-11,9717.0,Open Storage Bins
84,2021-03-12,10821.0,Open Storage Bins
85,2021-03-13,11923.0,Open Storage Bins
86,2021-03-14,8782.0,Open Storage Bins
87,2021-03-15,6835.0,Open Storage Bins
88,2021-03-16,7316.0,Open Storage Bins
89,2021-03-17,8783.0,Open Storage Bins
90,2021-03-18,8783.0,Open Storage Bins
91,2021-03-19,8783.0,Open Storage Bins
92,2021-03-20,8783.0,Open Storage Bins
93,2021-03-21,9108.0,Open Storage Bins
94,2021-03-22,7082.0,Open Storage Bins
95,2021-03-23,7082.0,Open Storage Bins
96,2021-03-24,7082.0,Open Storage Bins
97,2021-03-25,7966.0,Open Storage Bins
98,2021-03-26,7966.0,Open Storage Bins
99,2021-03-27,7966.0,Open Storage Bins
100,2021-03-28,8906.0,Open Storage Bins
101,2021-03-29,8906.0,Open Storage Bins
102,2021-03-30,8906.0,Open Storage Bins
103,2021-03-31,8722.0,Open Storage Bins
104,2021-04-01,8722.0,Open Storage Bins
105,2021-04-02,11664.0,Open Storage Bins
106,2021-04-03,11664.0,Open Storage Bins
107,2021-04-04,11664.0,Open Storage Bins
108,2021-04-05,11664.0,Open Storage Bins
109,2021-04-06,16315.0,Open Storage Bins
110,2021-04-07,16463.0,Open Storage Bins
111,2021-04-08,16463.0,Open Storage Bins
