,date,value,name_B08QJHPRGH
0,2021-03-08,16868.0,Grow Bags
1,2021-03-09,16868.0,Grow Bags
2,2021-03-10,6970.0,Grow Bags
3,2021-03-11,6970.0,Grow Bags
4,2021-03-12,6970.0,Grow Bags
5,2021-03-13,7223.0,Grow Bags
6,2021-03-14,10217.0,Grow Bags
7,2021-03-15,8857.0,Grow Bags
8,2021-03-16,7904.0,Grow Bags
9,2021-03-17,7904.0,Grow Bags
10,2021-03-18,5067.0,Grow Bags
11,2021-03-19,5067.0,Grow Bags
12,2021-03-20,2911.0,Grow Bags
13,2021-03-21,2585.0,Grow Bags
14,2021-03-22,2116.0,Grow Bags
15,2021-03-23,2116.0,Grow Bags
16,2021-03-24,2246.0,Grow Bags
17,2021-03-25,1629.0,Grow Bags
18,2021-03-26,1735.0,Grow Bags
19,2021-03-27,1739.0,Grow Bags
20,2021-03-28,1739.0,Grow Bags
21,2021-03-29,1717.0,Grow Bags
22,2021-03-30,1833.0,Grow Bags
23,2021-03-31,1919.0,Grow Bags
24,2021-04-01,2738.0,Grow Bags
25,2021-04-02,2738.0,Grow Bags
26,2021-04-03,2738.0,Grow Bags
27,2021-04-04,4026.0,Grow Bags
28,2021-04-05,4026.0,Grow Bags
29,2021-04-06,4026.0,Grow Bags
30,2021-04-07,7236.0,Grow Bags
31,2021-04-08,7236.0,Grow Bags
32,2021-04-09,7236.0,Grow Bags
33,2021-04-10,19052.0,Grow Bags
34,2021-04-11,19052.0,Grow Bags
35,2021-04-12,19309.0,Grow Bags
36,2021-04-13,19309.0,Grow Bags
37,2021-04-14,28825.0,Grow Bags
38,2021-04-15,30566.0,Grow Bags
39,2021-04-16,30566.0,Grow Bags
40,2021-04-17,16731.0,Grow Bags
41,2021-04-18,16731.0,Grow Bags
42,2021-04-19,14121.0,Grow Bags
43,2021-04-20,14121.0,Grow Bags
44,2021-04-21,12004.0,Grow Bags
45,2021-04-22,12004.0,Grow Bags
46,2021-04-23,7711.0,Grow Bags
47,2021-04-24,7711.0,Grow Bags
48,2021-04-25,7711.0,Grow Bags
49,2021-04-26,5728.0,Grow Bags
50,2021-04-27,5744.0,Grow Bags
51,2021-04-28,5744.0,Grow Bags
52,2021-04-29,5744.0,Grow Bags
53,2021-04-30,5744.0,Grow Bags
54,2021-05-01,5744.0,Grow Bags
55,2021-05-02,9743.0,Grow Bags
56,2021-05-03,9743.0,Grow Bags
57,2021-05-04,11146.0,Grow Bags
58,2021-05-05,11146.0,Grow Bags
59,2021-05-06,13126.0,Grow Bags
60,2021-05-07,13126.0,Grow Bags
61,2021-05-08,27049.0,Grow Bags
62,2021-05-09,27049.0,Grow Bags
63,2021-05-10,27049.0,Grow Bags
64,2021-05-11,27049.0,Grow Bags
65,2021-05-12,40927.0,Grow Bags
66,2021-05-13,40927.0,Grow Bags
67,2021-05-14,29314.0,Grow Bags
68,2021-05-15,29314.0,Grow Bags
69,2021-05-16,29314.0,Grow Bags
70,2021-05-17,23909.0,Grow Bags
71,2021-05-18,23909.0,Grow Bags
72,2021-05-19,10420.0,Grow Bags
73,2021-05-20,10964.0,Grow Bags
74,2021-05-21,10630.0,Grow Bags
75,2021-05-22,12710.0,Grow Bags
76,2021-05-23,12710.0,Grow Bags
77,2021-05-24,11274.0,Grow Bags
78,2021-05-25,11274.0,Grow Bags
79,2021-05-26,11274.0,Grow Bags
80,2021-05-27,8925.0,Grow Bags
81,2021-05-28,8925.0,Grow Bags
82,2021-05-29,10576.0,Grow Bags
83,2021-05-30,10576.0,Grow Bags
84,2021-05-31,7766.0,Grow Bags
85,2021-06-01,7766.0,Grow Bags
86,2021-06-02,7010.0,Grow Bags
87,2021-06-03,6051.0,Grow Bags
88,2021-06-04,4838.0,Grow Bags
89,2021-06-05,4838.0,Grow Bags
90,2021-06-06,8407.0,Grow Bags
91,2021-06-07,6159.0,Grow Bags
92,2021-06-08,6098.0,Grow Bags
93,2021-06-09,6275.0,Grow Bags
94,2021-06-10,2795.0,Grow Bags
95,2021-06-11,4401.0,Grow Bags
96,2021-06-12,4401.0,Grow Bags
97,2021-06-13,6317.0,Grow Bags
98,2021-06-14,4571.0,Grow Bags
99,2021-06-15,4571.0,Grow Bags
100,2021-06-16,5890.0,Grow Bags
101,2021-06-17,6841.0,Grow Bags
102,2021-06-18,6841.0,Grow Bags
103,2021-06-19,6841.0,Grow Bags
104,2021-06-20,8603.0,Grow Bags
105,2021-06-21,6926.0,Grow Bags
106,2021-06-22,3295.0,Grow Bags
107,2021-06-23,3295.0,Grow Bags
108,2021-06-24,4301.0,Grow Bags
109,2021-06-25,5523.0,Grow Bags
