,date,value,name_B081Q3359S
0,2020-05-26,7846.0,Walkie Talkies
1,2020-05-27,7846.0,Walkie Talkies
2,2020-05-28,7846.0,Walkie Talkies
3,2020-05-29,7921.0,Walkie Talkies
4,2020-05-30,7921.0,Walkie Talkies
5,2020-05-31,7921.0,Walkie Talkies
6,2020-06-01,8343.0,Walkie Talkies
7,2020-06-02,6622.0,Walkie Talkies
8,2020-06-03,6622.0,Walkie Talkies
9,2020-06-04,6622.0,Walkie Talkies
10,2020-06-05,6275.0,Walkie Talkies
11,2020-06-06,6275.0,Walkie Talkies
12,2020-06-07,9953.0,Walkie Talkies
13,2020-06-08,9953.0,Walkie Talkies
14,2020-06-09,9953.0,Walkie Talkies
15,2020-06-10,9953.0,Walkie Talkies
16,2020-06-11,9118.0,Walkie Talkies
17,2020-06-12,9230.0,Walkie Talkies
18,2020-06-13,8507.0,Walkie Talkies
19,2020-06-14,8507.0,Walkie Talkies
20,2020-06-15,8300.0,Walkie Talkies
21,2020-06-16,6972.0,Walkie Talkies
22,2020-06-17,6801.0,Walkie Talkies
23,2020-06-18,7385.0,Walkie Talkies
24,2020-06-19,7385.0,Walkie Talkies
25,2020-06-20,7385.0,Walkie Talkies
26,2020-06-21,7385.0,Walkie Talkies
27,2020-06-22,7385.0,Walkie Talkies
28,2020-06-23,11852.0,Walkie Talkies
29,2020-06-24,11852.0,Walkie Talkies
30,2020-06-25,9142.0,Walkie Talkies
31,2020-06-26,9142.0,Walkie Talkies
32,2020-06-27,9142.0,Walkie Talkies
33,2020-06-28,9142.0,Walkie Talkies
34,2020-06-29,8866.0,Walkie Talkies
35,2020-06-30,8866.0,Walkie Talkies
36,2020-07-01,8866.0,Walkie Talkies
37,2020-07-02,8866.0,Walkie Talkies
38,2020-07-03,8866.0,Walkie Talkies
39,2020-07-04,8866.0,Walkie Talkies
40,2020-07-05,8866.0,Walkie Talkies
41,2020-07-06,7039.0,Walkie Talkies
42,2020-07-07,5798.0,Walkie Talkies
43,2020-07-08,5798.0,Walkie Talkies
44,2020-07-09,5798.0,Walkie Talkies
45,2020-07-10,5798.0,Walkie Talkies
46,2020-07-11,5798.0,Walkie Talkies
47,2020-07-12,6927.0,Walkie Talkies
48,2020-07-13,6034.0,Walkie Talkies
49,2020-07-14,6034.0,Walkie Talkies
50,2020-07-15,6034.0,Walkie Talkies
51,2020-07-16,6974.0,Walkie Talkies
52,2020-07-17,6974.0,Walkie Talkies
53,2020-07-18,6642.0,Walkie Talkies
54,2020-07-19,6642.0,Walkie Talkies
55,2020-07-20,6642.0,Walkie Talkies
56,2020-07-21,6890.0,Walkie Talkies
57,2020-07-22,6890.0,Walkie Talkies
58,2020-07-23,6890.0,Walkie Talkies
59,2020-07-24,6129.0,Walkie Talkies
60,2020-07-25,6129.0,Walkie Talkies
61,2020-07-26,6129.0,Walkie Talkies
62,2020-07-27,6282.0,Walkie Talkies
63,2020-07-28,6282.0,Walkie Talkies
64,2020-07-29,6282.0,Walkie Talkies
65,2020-07-30,5444.0,Walkie Talkies
66,2020-07-31,5444.0,Walkie Talkies
67,2020-08-01,7183.0,Walkie Talkies
68,2020-08-02,7409.0,Walkie Talkies
69,2020-08-03,4776.0,Walkie Talkies
70,2020-08-04,4776.0,Walkie Talkies
71,2020-08-05,4373.0,Walkie Talkies
72,2020-08-06,4373.0,Walkie Talkies
