,date,value,name_B0957CTTNH
0,2021-05-28,34975.0,Spice Racks
1,2021-05-29,31155.0,Spice Racks
2,2021-05-30,31155.0,Spice Racks
3,2021-05-31,31155.0,Spice Racks
4,2021-06-01,26171.0,Spice Racks
5,2021-06-02,27648.0,Spice Racks
6,2021-06-03,31842.0,Spice Racks
7,2021-06-04,31842.0,Spice Racks
8,2021-06-05,31842.0,Spice Racks
9,2021-06-06,21275.0,Spice Racks
10,2021-06-07,21275.0,Spice Racks
11,2021-06-08,26911.0,Spice Racks
12,2021-06-09,26911.0,Spice Racks
13,2021-06-10,14263.0,Spice Racks
14,2021-06-11,14263.0,Spice Racks
15,2021-06-12,14263.0,Spice Racks
16,2021-06-13,14263.0,Spice Racks
17,2021-06-14,12886.0,Spice Racks
18,2021-06-15,12886.0,Spice Racks
19,2021-06-16,15656.0,Spice Racks
20,2021-06-17,16653.0,Spice Racks
21,2021-06-18,16385.0,Spice Racks
22,2021-06-19,16706.0,Spice Racks
23,2021-06-20,16706.0,Spice Racks
24,2021-06-21,13972.0,Spice Racks
25,2021-06-22,13539.0,Spice Racks
26,2021-06-23,13539.0,Spice Racks
27,2021-06-24,13539.0,Spice Racks
28,2021-06-25,17213.0,Spice Racks
29,2021-06-26,14820.0,Spice Racks
30,2021-06-27,14820.0,Spice Racks
31,2021-06-28,12553.0,Spice Racks
32,2021-06-29,12441.0,Spice Racks
33,2021-06-30,12441.0,Spice Racks
34,2021-07-01,14269.0,Spice Racks
35,2021-07-02,14269.0,Spice Racks
36,2021-07-03,11587.0,Spice Racks
37,2021-07-04,12347.0,Spice Racks
38,2021-07-05,12347.0,Spice Racks
39,2021-07-06,12310.0,Spice Racks
40,2021-07-07,12310.0,Spice Racks
41,2021-07-08,12170.0,Spice Racks
42,2021-07-09,12170.0,Spice Racks
43,2021-07-10,9834.0,Spice Racks
44,2021-07-11,9558.0,Spice Racks
