,date,value,name_B08WHXX9ZT
0,2021-02-16,22249.0,Sofa Slipcovers
1,2021-02-17,22249.0,Sofa Slipcovers
2,2021-02-18,23480.0,Sofa Slipcovers
3,2021-02-19,23480.0,Sofa Slipcovers
4,2021-02-20,19556.0,Sofa Slipcovers
5,2021-02-21,19556.0,Sofa Slipcovers
6,2021-02-22,19556.0,Sofa Slipcovers
7,2021-02-23,21126.0,Sofa Slipcovers
8,2021-02-24,16672.0,Sofa Slipcovers
9,2021-02-25,19039.0,Sofa Slipcovers
10,2021-02-26,19039.0,Sofa Slipcovers
11,2021-02-27,19039.0,Sofa Slipcovers
12,2021-02-28,13645.0,Sofa Slipcovers
13,2021-03-01,9127.0,Sofa Slipcovers
14,2021-03-02,11353.0,Sofa Slipcovers
15,2021-03-03,11353.0,Sofa Slipcovers
16,2021-03-04,11849.0,Sofa Slipcovers
17,2021-03-05,11849.0,Sofa Slipcovers
18,2021-03-06,8397.0,Sofa Slipcovers
19,2021-03-07,9773.0,Sofa Slipcovers
20,2021-03-08,10400.0,Sofa Slipcovers
21,2021-03-09,10655.0,Sofa Slipcovers
22,2021-03-10,10288.0,Sofa Slipcovers
23,2021-03-11,9471.0,Sofa Slipcovers
24,2021-03-12,9471.0,Sofa Slipcovers
25,2021-03-13,12578.0,Sofa Slipcovers
26,2021-03-14,9075.0,Sofa Slipcovers
27,2021-03-15,9299.0,Sofa Slipcovers
28,2021-03-16,9299.0,Sofa Slipcovers
29,2021-03-17,9299.0,Sofa Slipcovers
30,2021-03-18,7639.0,Sofa Slipcovers
31,2021-03-19,7976.0,Sofa Slipcovers
32,2021-03-20,7976.0,Sofa Slipcovers
33,2021-03-21,7976.0,Sofa Slipcovers
34,2021-03-22,11726.0,Sofa Slipcovers
35,2021-03-23,13414.0,Sofa Slipcovers
36,2021-03-24,13414.0,Sofa Slipcovers
37,2021-03-25,13414.0,Sofa Slipcovers
38,2021-03-26,9000.0,Sofa Slipcovers
39,2021-03-27,9000.0,Sofa Slipcovers
40,2021-03-28,8912.0,Sofa Slipcovers
41,2021-03-29,8912.0,Sofa Slipcovers
42,2021-03-30,8912.0,Sofa Slipcovers
43,2021-03-31,8086.0,Sofa Slipcovers
44,2021-04-01,8479.0,Sofa Slipcovers
45,2021-04-02,7979.0,Sofa Slipcovers
46,2021-04-03,7979.0,Sofa Slipcovers
47,2021-04-04,5840.0,Sofa Slipcovers
48,2021-04-05,7102.0,Sofa Slipcovers
49,2021-04-06,6219.0,Sofa Slipcovers
50,2021-04-07,6116.0,Sofa Slipcovers
51,2021-04-08,6116.0,Sofa Slipcovers
52,2021-04-09,6116.0,Sofa Slipcovers
53,2021-04-10,5399.0,Sofa Slipcovers
54,2021-04-11,5399.0,Sofa Slipcovers
55,2021-04-12,5358.0,Sofa Slipcovers
56,2021-04-13,5358.0,Sofa Slipcovers
57,2021-04-14,5358.0,Sofa Slipcovers
58,2021-04-15,4882.0,Sofa Slipcovers
59,2021-04-16,4882.0,Sofa Slipcovers
60,2021-04-17,3781.0,Sofa Slipcovers
61,2021-04-18,3781.0,Sofa Slipcovers
62,2021-04-19,3781.0,Sofa Slipcovers
63,2021-04-20,4680.0,Sofa Slipcovers
64,2021-04-21,4403.0,Sofa Slipcovers
65,2021-04-22,4509.0,Sofa Slipcovers
66,2021-04-23,4593.0,Sofa Slipcovers
67,2021-04-24,4593.0,Sofa Slipcovers
68,2021-04-25,4593.0,Sofa Slipcovers
69,2021-04-26,3758.0,Sofa Slipcovers
70,2021-04-27,4978.0,Sofa Slipcovers
71,2021-04-28,4978.0,Sofa Slipcovers
72,2021-04-29,5101.0,Sofa Slipcovers
73,2021-04-30,4894.0,Sofa Slipcovers
74,2021-05-01,5856.0,Sofa Slipcovers
75,2021-05-02,5305.0,Sofa Slipcovers
76,2021-05-03,5305.0,Sofa Slipcovers
77,2021-05-04,5305.0,Sofa Slipcovers
78,2021-05-05,6353.0,Sofa Slipcovers
79,2021-05-06,6182.0,Sofa Slipcovers
80,2021-05-07,6505.0,Sofa Slipcovers
81,2021-05-08,6505.0,Sofa Slipcovers
82,2021-05-09,5206.0,Sofa Slipcovers
83,2021-05-10,5466.0,Sofa Slipcovers
84,2021-05-11,5466.0,Sofa Slipcovers
85,2021-05-12,5627.0,Sofa Slipcovers
86,2021-05-13,4104.0,Sofa Slipcovers
87,2021-05-14,4871.0,Sofa Slipcovers
88,2021-05-15,4307.0,Sofa Slipcovers
89,2021-05-16,4760.0,Sofa Slipcovers
90,2021-05-17,5359.0,Sofa Slipcovers
91,2021-05-18,5826.0,Sofa Slipcovers
92,2021-05-19,5826.0,Sofa Slipcovers
93,2021-05-20,4613.0,Sofa Slipcovers
94,2021-05-21,4613.0,Sofa Slipcovers
95,2021-05-22,3654.0,Sofa Slipcovers
96,2021-05-23,3997.0,Sofa Slipcovers
97,2021-05-24,4583.0,Sofa Slipcovers
98,2021-05-25,4583.0,Sofa Slipcovers
99,2021-05-26,5052.0,Sofa Slipcovers
100,2021-05-27,6010.0,Sofa Slipcovers
101,2021-05-28,6303.0,Sofa Slipcovers
102,2021-05-29,6303.0,Sofa Slipcovers
103,2021-05-30,8493.0,Sofa Slipcovers
104,2021-05-31,8493.0,Sofa Slipcovers
105,2021-06-01,7392.0,Sofa Slipcovers
106,2021-06-02,7392.0,Sofa Slipcovers
107,2021-06-03,10741.0,Sofa Slipcovers
108,2021-06-04,11119.0,Sofa Slipcovers
109,2021-06-05,11119.0,Sofa Slipcovers
110,2021-06-06,11119.0,Sofa Slipcovers
111,2021-06-07,11010.0,Sofa Slipcovers
112,2021-06-08,10756.0,Sofa Slipcovers
113,2021-06-09,14311.0,Sofa Slipcovers
114,2021-06-10,14311.0,Sofa Slipcovers
115,2021-06-11,12771.0,Sofa Slipcovers
116,2021-06-12,12771.0,Sofa Slipcovers
117,2021-06-13,11908.0,Sofa Slipcovers
118,2021-06-14,11908.0,Sofa Slipcovers
119,2021-06-15,11908.0,Sofa Slipcovers
120,2021-06-16,13117.0,Sofa Slipcovers
121,2021-06-17,13117.0,Sofa Slipcovers
122,2021-06-18,14051.0,Sofa Slipcovers
123,2021-06-19,14051.0,Sofa Slipcovers
124,2021-06-20,11811.0,Sofa Slipcovers
125,2021-06-21,10768.0,Sofa Slipcovers
126,2021-06-22,18475.0,Sofa Slipcovers
127,2021-06-23,18940.0,Sofa Slipcovers
128,2021-06-24,16158.0,Sofa Slipcovers
129,2021-06-25,13434.0,Sofa Slipcovers
130,2021-06-26,13434.0,Sofa Slipcovers
131,2021-06-27,13434.0,Sofa Slipcovers
132,2021-06-28,12951.0,Sofa Slipcovers
133,2021-06-29,12951.0,Sofa Slipcovers
134,2021-06-30,12888.0,Sofa Slipcovers
135,2021-07-01,12888.0,Sofa Slipcovers
136,2021-07-02,9266.0,Sofa Slipcovers
137,2021-07-03,9644.0,Sofa Slipcovers
138,2021-07-04,9644.0,Sofa Slipcovers
139,2021-07-05,8942.0,Sofa Slipcovers
140,2021-07-06,13629.0,Sofa Slipcovers
141,2021-07-07,13629.0,Sofa Slipcovers
142,2021-07-08,13629.0,Sofa Slipcovers
143,2021-07-09,10112.0,Sofa Slipcovers
144,2021-07-10,10378.0,Sofa Slipcovers
145,2021-07-11,7881.0,Sofa Slipcovers
