,date,value,name_B08LMW8F4Y
0,2020-10-27,703.0,Outdoor Fryer Accessories
1,2020-10-28,703.0,Outdoor Fryer Accessories
2,2020-10-29,742.0,Outdoor Fryer Accessories
3,2020-10-30,742.0,Outdoor Fryer Accessories
4,2020-10-31,742.0,Outdoor Fryer Accessories
5,2020-11-01,628.0,Outdoor Fryer Accessories
6,2020-11-02,628.0,Outdoor Fryer Accessories
7,2020-11-03,628.0,Outdoor Fryer Accessories
8,2020-11-04,540.0,Outdoor Fryer Accessories
9,2020-11-05,540.0,Outdoor Fryer Accessories
10,2020-11-06,540.0,Outdoor Fryer Accessories
11,2020-11-07,689.0,Outdoor Fryer Accessories
12,2020-11-08,689.0,Outdoor Fryer Accessories
13,2020-11-09,689.0,Outdoor Fryer Accessories
14,2020-11-10,558.0,Outdoor Fryer Accessories
15,2020-11-11,662.0,Outdoor Fryer Accessories
16,2020-11-12,662.0,Outdoor Fryer Accessories
17,2020-11-13,662.0,Outdoor Fryer Accessories
18,2020-11-14,660.0,Outdoor Fryer Accessories
19,2020-11-15,660.0,Outdoor Fryer Accessories
20,2020-11-16,578.0,Outdoor Fryer Accessories
21,2020-11-17,578.0,Outdoor Fryer Accessories
22,2020-11-18,578.0,Outdoor Fryer Accessories
23,2020-11-19,542.0,Outdoor Fryer Accessories
24,2020-11-20,542.0,Outdoor Fryer Accessories
25,2020-11-21,587.0,Outdoor Fryer Accessories
26,2020-11-22,587.0,Outdoor Fryer Accessories
27,2020-11-23,474.0,Outdoor Fryer Accessories
28,2020-11-24,474.0,Outdoor Fryer Accessories
29,2020-11-25,474.0,Outdoor Fryer Accessories
30,2020-11-26,466.0,Outdoor Fryer Accessories
31,2020-11-27,466.0,Outdoor Fryer Accessories
32,2020-11-28,466.0,Outdoor Fryer Accessories
33,2020-11-29,477.0,Outdoor Fryer Accessories
34,2020-11-30,477.0,Outdoor Fryer Accessories
35,2020-12-01,387.0,Outdoor Fryer Accessories
36,2020-12-02,469.0,Outdoor Fryer Accessories
37,2020-12-03,469.0,Outdoor Fryer Accessories
38,2020-12-04,469.0,Outdoor Fryer Accessories
39,2020-12-05,447.0,Outdoor Fryer Accessories
40,2020-12-06,447.0,Outdoor Fryer Accessories
41,2020-12-07,614.0,Outdoor Fryer Accessories
42,2020-12-08,614.0,Outdoor Fryer Accessories
43,2020-12-09,614.0,Outdoor Fryer Accessories
44,2020-12-10,748.0,Outdoor Fryer Accessories
45,2020-12-11,748.0,Outdoor Fryer Accessories
46,2020-12-12,748.0,Outdoor Fryer Accessories
47,2020-12-13,748.0,Outdoor Fryer Accessories
48,2020-12-14,922.0,Outdoor Fryer Accessories
49,2020-12-15,1640.0,Outdoor Fryer Accessories
50,2020-12-16,1252.0,Outdoor Fryer Accessories
51,2020-12-17,2052.0,Outdoor Fryer Accessories
52,2020-12-18,1945.0,Outdoor Fryer Accessories
53,2020-12-19,1945.0,Outdoor Fryer Accessories
54,2020-12-20,2228.0,Outdoor Fryer Accessories
55,2020-12-21,3789.0,Outdoor Fryer Accessories
56,2020-12-22,3789.0,Outdoor Fryer Accessories
57,2020-12-23,5373.0,Outdoor Fryer Accessories
58,2020-12-24,5119.0,Outdoor Fryer Accessories
59,2020-12-25,4639.0,Outdoor Fryer Accessories
60,2020-12-26,4304.0,Outdoor Fryer Accessories
61,2020-12-27,5686.0,Outdoor Fryer Accessories
62,2020-12-28,6415.0,Outdoor Fryer Accessories
63,2020-12-29,4554.0,Outdoor Fryer Accessories
64,2020-12-30,4849.0,Outdoor Fryer Accessories
65,2020-12-31,5978.0,Outdoor Fryer Accessories
66,2021-01-01,4880.0,Outdoor Fryer Accessories
67,2021-01-02,4576.0,Outdoor Fryer Accessories
68,2021-01-03,5844.0,Outdoor Fryer Accessories
69,2021-01-04,3749.0,Outdoor Fryer Accessories
70,2021-01-05,4581.0,Outdoor Fryer Accessories
71,2021-01-06,2404.0,Outdoor Fryer Accessories
72,2021-01-07,1429.0,Outdoor Fryer Accessories
73,2021-01-08,1429.0,Outdoor Fryer Accessories
74,2021-01-09,1429.0,Outdoor Fryer Accessories
75,2021-01-10,1429.0,Outdoor Fryer Accessories
76,2021-01-11,828.0,Outdoor Fryer Accessories
77,2021-01-12,828.0,Outdoor Fryer Accessories
78,2021-01-13,1041.0,Outdoor Fryer Accessories
79,2021-01-14,1041.0,Outdoor Fryer Accessories
